domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;294756;116704;311130;1116;4213913;285407;1;425;0.782257;364851;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;325364;11913;306040;1263;4116051;297801;1;425;0.677941;439273;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;285177;334042;325332;417;3637123;230118;1;425;0.515401;446483;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;236480;66871;298333;755;3645074;286186;1;431;0.602693;474846;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;249937;358183;472602;1212;5848233;407220;1;513;0.940808;432841;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;278932;202424;435342;1208;5259206;399370;1;513;0.903844;441857;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;430744;255885;266258;720;2988208;187115;1;513;0.442908;422470;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;167653;110820;138354;451;1630652;109198;1;513;0.240042;454911;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;389224;209129;260241;869;3482878;259360;1;513;0.536551;483383;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;361295;369960;70402;203;826896;16489;1;513;0.039433;418152;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;63073;122016;95940;553;1057341;141046;1;513;0.295167;477852;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;377280;89101;315811;1018;3953934;184817;1;513;0.41942;440649;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;184086;9250;109711;412;1411330;87104;1;513;0.204097;426778;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;11558;157695;130280;475;1398938;182471;1;513;0.366162;498334;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;290606;380934;267174;899;3361700;119408;1;513;0.29744;401452;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;312872;335255;408561;1137;5080372;193343;1;513;0.540996;357384;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;172626;340963;140276;503;1825204;61422;1;513;0.143907;426818;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;71257;309332;258264;808;3137785;324725;1;513;0.660053;491968;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;197543;272443;316988;1206;3728256;339106;1;513;0.679274;499218;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;115849;293642;351263;1230;4552429;401886;1;513;0.913945;439726;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;96029;288190;438500;1381;5471958;406764;1;514;0.968294;420083;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;123302;388474;190603;610;2889335;302512;1;514;0.614301;492449;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;395621;154547;368186;1150;4759286;185602;1;514;0.528854;350951;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;223763;127629;151795;552;1965611;232772;1;514;0.440736;528143;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;327745;375938;416709;1194;5462085;401482;1;514;0.920582;436118;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;175197;5809;240840;865;2919985;157238;1;514;0.364108;431844;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;188424;158412;193137;800;2521863;248644;1;514;0.531406;467898;BELA*;? Unchecked;v1.6.0-12-g7668b80
