domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;294756;116704;1;471.078;0.192402;PSB;
roadmap;dimacs;1;1;325364;11913;1;471.328;0.190092;PSB;
roadmap;dimacs;2;1;285177;334042;1;471.328;0.163533;PSB;
roadmap;dimacs;3;1;236480;66871;1;471.328;0.202924;PSB;
roadmap;dimacs;4;1;249937;358183;1;471.328;0.175763;PSB;
roadmap;dimacs;5;1;278932;202424;1;471.328;0.193793;PSB;
roadmap;dimacs;6;1;430744;255885;1;471.328;0.143674;PSB;
roadmap;dimacs;7;1;167653;110820;1;471.328;0.11172;PSB;
roadmap;dimacs;8;1;389224;209129;1;471.328;0.172765;PSB;
roadmap;dimacs;9;1;361295;369960;1;471.328;0.0369882;PSB;
roadmap;dimacs;10;1;63073;122016;1;471.328;0.0880188;PSB;
roadmap;dimacs;11;1;377280;89101;1;471.328;0.210718;PSB;
roadmap;dimacs;12;1;184086;9250;1;471.328;0.103428;PSB;
roadmap;dimacs;13;1;11558;157695;1;471.328;0.0808625;PSB;
roadmap;dimacs;14;1;290606;380934;1;471.328;0.126652;PSB;
roadmap;dimacs;15;1;312872;335255;1;471.328;0.202159;PSB;
roadmap;dimacs;16;1;172626;340963;1;471.328;0.114369;PSB;
roadmap;dimacs;17;1;71257;309332;1;471.328;0.112856;PSB;
roadmap;dimacs;18;1;197543;272443;1;471.328;0.154854;PSB;
roadmap;dimacs;19;1;115849;293642;1;471.328;0.153599;PSB;
roadmap;dimacs;20;1;96029;288190;1;471.328;0.179273;PSB;
roadmap;dimacs;21;1;123302;388474;1;471.328;0.0991628;PSB;
roadmap;dimacs;22;1;395621;154547;1;471.328;0.209416;PSB;
roadmap;dimacs;23;1;223763;127629;1;471.328;0.0528726;PSB;
roadmap;dimacs;24;1;327745;375938;1;471.328;0.184277;PSB;
roadmap;dimacs;25;1;175197;5809;1;471.328;0.154163;PSB;
roadmap;dimacs;26;1;188424;158412;1;471.328;0.149713;PSB;
roadmap;dimacs;27;1;268346;359471;1;471.328;0.150261;PSB;
roadmap;dimacs;28;1;174382;236731;1;471.328;0.166681;PSB;
roadmap;dimacs;29;1;204045;159790;1;471.328;0.165397;PSB;
roadmap;dimacs;30;1;390757;318002;1;471.328;0.0297626;PSB;
roadmap;dimacs;31;1;91059;57980;1;471.328;0.175887;PSB;
roadmap;dimacs;32;1;72990;320575;1;471.328;0.201304;PSB;
roadmap;dimacs;33;1;65526;339114;1;471.328;0.147349;PSB;
roadmap;dimacs;34;1;349165;12701;1;471.328;0.0999484;PSB;
roadmap;dimacs;35;1;187769;228911;1;471.328;0.0979013;PSB;
roadmap;dimacs;36;1;190262;14733;1;471.328;0.186214;PSB;
roadmap;dimacs;37;1;143799;328188;1;471.328;0.100086;PSB;
roadmap;dimacs;38;1;96331;415538;1;471.328;0.179768;PSB;
roadmap;dimacs;39;1;65115;387688;1;471.328;0.151457;PSB;
roadmap;dimacs;40;1;332193;387507;1;471.328;0.192217;PSB;
roadmap;dimacs;41;1;127669;162338;1;471.328;0.168993;PSB;
roadmap;dimacs;42;1;263041;142943;1;471.328;0.140417;PSB;
roadmap;dimacs;43;1;390723;1064;1;471.328;0.175495;PSB;
roadmap;dimacs;44;1;304490;279242;1;471.328;0.207593;PSB;
roadmap;dimacs;45;1;26846;394583;1;471.328;0.11919;PSB;
roadmap;dimacs;46;1;233353;185925;1;471.328;0.178347;PSB;
roadmap;dimacs;47;1;323833;176822;1;471.328;0.0929619;PSB;
roadmap;dimacs;48;1;346446;63237;1;471.328;0.0888219;PSB;
roadmap;dimacs;49;1;113928;360799;1;471.328;0.0496036;PSB;
roadmap;dimacs;50;1;199421;266182;1;471.328;0.163772;PSB;
roadmap;dimacs;51;1;293869;25608;1;471.328;0.197409;PSB;
roadmap;dimacs;52;1;174170;272593;1;471.328;0.149432;PSB;
roadmap;dimacs;53;1;221325;434952;1;471.328;0.113072;PSB;
roadmap;dimacs;54;1;117635;105076;1;471.328;0.0645377;PSB;
roadmap;dimacs;55;1;193103;276461;1;471.328;0.138955;PSB;
roadmap;dimacs;56;1;4570;94284;1;471.328;0.131687;PSB;
roadmap;dimacs;57;1;131126;21354;1;471.328;0.109288;PSB;
roadmap;dimacs;58;1;235750;208824;1;471.328;0.149408;PSB;
roadmap;dimacs;59;1;489;261832;1;471.328;0.0863459;PSB;
roadmap;dimacs;60;1;318387;328863;1;471.328;0.189076;PSB;
roadmap;dimacs;61;1;274877;23528;1;471.328;0.161962;PSB;
roadmap;dimacs;62;1;220394;272522;1;471.328;0.0586029;PSB;
roadmap;dimacs;63;1;228259;177627;1;471.328;0.0997169;PSB;
roadmap;dimacs;64;1;319517;205274;1;471.328;0.169708;PSB;
roadmap;dimacs;65;1;312838;292039;1;471.328;0.0228655;PSB;
roadmap;dimacs;66;1;231105;325711;1;471.328;0.141021;PSB;
roadmap;dimacs;67;1;24598;413512;1;471.328;0.0623574;PSB;
roadmap;dimacs;68;1;23559;272815;1;471.328;0.0624835;PSB;
roadmap;dimacs;69;1;77506;341012;1;471.328;0.141192;PSB;
roadmap;dimacs;70;1;292092;386735;1;471.328;0.154218;PSB;
roadmap;dimacs;71;1;376744;379588;1;471.328;0.152925;PSB;
roadmap;dimacs;72;1;379408;158562;1;471.328;0.154463;PSB;
roadmap;dimacs;73;1;165998;242916;1;471.328;0.0622796;PSB;
roadmap;dimacs;74;1;273849;233106;1;471.328;0.161881;PSB;
roadmap;dimacs;75;1;128253;35195;1;471.328;0.131605;PSB;
roadmap;dimacs;76;1;183220;8889;1;471.328;0.112729;PSB;
roadmap;dimacs;77;1;272704;414613;1;471.328;0.0803076;PSB;
roadmap;dimacs;78;1;370469;78546;1;471.328;0.0371543;PSB;
roadmap;dimacs;79;1;89775;214561;1;471.328;0.13997;PSB;
roadmap;dimacs;80;1;189664;402552;1;471.328;0.134119;PSB;
roadmap;dimacs;81;1;152121;246814;1;471.328;0.100657;PSB;
roadmap;dimacs;82;1;322470;286921;1;471.328;0.201005;PSB;
roadmap;dimacs;83;1;299997;278967;1;471.328;0.198981;PSB;
roadmap;dimacs;84;1;250235;356746;1;471.328;0.172755;PSB;
roadmap;dimacs;85;1;163254;319164;1;471.328;0.113657;PSB;
roadmap;dimacs;86;1;140318;8074;1;471.328;0.113643;PSB;
roadmap;dimacs;87;1;185965;196301;1;471.328;0.109401;PSB;
roadmap;dimacs;88;1;359803;81858;1;471.328;0.0206329;PSB;
roadmap;dimacs;89;1;349089;308312;1;471.328;0.0726579;PSB;
roadmap;dimacs;90;1;347477;427675;1;471.328;0.0818563;PSB;
roadmap;dimacs;91;1;368929;215278;1;471.328;0.115052;PSB;
roadmap;dimacs;92;1;92275;285142;1;471.328;0.185837;PSB;
roadmap;dimacs;93;1;118818;384490;1;471.328;0.0901823;PSB;
roadmap;dimacs;94;1;413378;431648;1;471.328;0.0510107;PSB;
roadmap;dimacs;95;1;22320;400212;1;471.328;0.0407426;PSB;
roadmap;dimacs;96;1;110951;317115;1;471.328;0.131635;PSB;
roadmap;dimacs;97;1;153175;122456;1;471.328;0.0793735;PSB;
roadmap;dimacs;98;1;72512;386851;1;471.328;0.206611;PSB;
roadmap;dimacs;99;1;148594;414859;1;471.328;0.101194;PSB;
roadmap;dimacs;0;5;294756;116704;1;471.328;0.221721;PSB;
roadmap;dimacs;1;5;325364;11913;1;471.328;0.213536;PSB;
roadmap;dimacs;2;5;285177;334042;1;471.328;0.183157;PSB;
roadmap;dimacs;3;5;236480;66871;1;471.328;0.225048;PSB;
roadmap;dimacs;4;5;249937;358183;1;471.328;0.199278;PSB;
roadmap;dimacs;5;5;278932;202424;1;471.328;0.215291;PSB;
