domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;294756;116704;1;471.012;0.19045;PSBv2;
roadmap;dimacs;1;1;325364;11913;1;471.324;0.190627;PSBv2;
roadmap;dimacs;2;1;285177;334042;1;471.324;0.161844;PSBv2;
roadmap;dimacs;3;1;236480;66871;1;471.324;0.20316;PSBv2;
roadmap;dimacs;4;1;249937;358183;1;471.324;0.175043;PSBv2;
roadmap;dimacs;5;1;278932;202424;1;471.324;0.19412;PSBv2;
roadmap;dimacs;6;1;430744;255885;1;471.324;0.150396;PSBv2;
roadmap;dimacs;7;1;167653;110820;1;471.324;0.111956;PSBv2;
roadmap;dimacs;8;1;389224;209129;1;471.324;0.174259;PSBv2;
roadmap;dimacs;9;1;361295;369960;1;471.324;0.0215815;PSBv2;
roadmap;dimacs;10;1;63073;122016;1;471.324;0.0815514;PSBv2;
roadmap;dimacs;11;1;377280;89101;1;471.324;0.201283;PSBv2;
roadmap;dimacs;12;1;184086;9250;1;471.324;0.103409;PSBv2;
roadmap;dimacs;13;1;11558;157695;1;471.324;0.0823498;PSBv2;
roadmap;dimacs;14;1;290606;380934;1;471.324;0.12643;PSBv2;
roadmap;dimacs;15;1;312872;335255;1;471.324;0.20127;PSBv2;
roadmap;dimacs;16;1;172626;340963;1;471.324;0.123275;PSBv2;
roadmap;dimacs;17;1;71257;309332;1;471.324;0.113474;PSBv2;
roadmap;dimacs;18;1;197543;272443;1;471.324;0.155071;PSBv2;
roadmap;dimacs;19;1;115849;293642;1;471.324;0.152532;PSBv2;
roadmap;dimacs;20;1;96029;288190;1;471.324;0.182708;PSBv2;
roadmap;dimacs;21;1;123302;388474;1;471.324;0.098001;PSBv2;
roadmap;dimacs;22;1;395621;154547;1;471.324;0.208413;PSBv2;
roadmap;dimacs;23;1;223763;127629;1;471.324;0.0605172;PSBv2;
roadmap;dimacs;24;1;327745;375938;1;471.324;0.18128;PSBv2;
roadmap;dimacs;25;1;175197;5809;1;471.324;0.154379;PSBv2;
roadmap;dimacs;26;1;188424;158412;1;471.324;0.15052;PSBv2;
roadmap;dimacs;27;1;268346;359471;1;471.324;0.148864;PSBv2;
roadmap;dimacs;28;1;174382;236731;1;471.324;0.167504;PSBv2;
roadmap;dimacs;29;1;204045;159790;1;471.324;0.167308;PSBv2;
roadmap;dimacs;30;1;390757;318002;1;471.324;0.029606;PSBv2;
roadmap;dimacs;31;1;91059;57980;1;471.324;0.176021;PSBv2;
roadmap;dimacs;32;1;72990;320575;1;471.324;0.202016;PSBv2;
roadmap;dimacs;33;1;65526;339114;1;471.324;0.156036;PSBv2;
roadmap;dimacs;34;1;349165;12701;1;471.324;0.0992151;PSBv2;
roadmap;dimacs;35;1;187769;228911;1;471.324;0.0992934;PSBv2;
roadmap;dimacs;36;1;190262;14733;1;471.324;0.182793;PSBv2;
roadmap;dimacs;37;1;143799;328188;1;471.324;0.101055;PSBv2;
roadmap;dimacs;38;1;96331;415538;1;471.324;0.178669;PSBv2;
roadmap;dimacs;39;1;65115;387688;1;471.324;0.151174;PSBv2;
roadmap;dimacs;40;1;332193;387507;1;471.324;0.192294;PSBv2;
roadmap;dimacs;41;1;127669;162338;1;471.324;0.161828;PSBv2;
roadmap;dimacs;42;1;263041;142943;1;471.324;0.152857;PSBv2;
roadmap;dimacs;43;1;390723;1064;1;471.324;0.173609;PSBv2;
roadmap;dimacs;44;1;304490;279242;1;471.324;0.216235;PSBv2;
roadmap;dimacs;45;1;26846;394583;1;471.324;0.120181;PSBv2;
roadmap;dimacs;46;1;233353;185925;1;471.324;0.178188;PSBv2;
roadmap;dimacs;47;1;323833;176822;1;471.324;0.0954682;PSBv2;
roadmap;dimacs;48;1;346446;63237;1;471.324;0.0962259;PSBv2;
roadmap;dimacs;49;1;113928;360799;1;471.324;0.0493583;PSBv2;
roadmap;dimacs;50;1;199421;266182;1;471.324;0.161399;PSBv2;
roadmap;dimacs;51;1;293869;25608;1;471.324;0.196592;PSBv2;
roadmap;dimacs;52;1;174170;272593;1;471.324;0.155287;PSBv2;
roadmap;dimacs;53;1;221325;434952;1;471.324;0.112904;PSBv2;
roadmap;dimacs;54;1;117635;105076;1;471.324;0.0577597;PSBv2;
roadmap;dimacs;55;1;193103;276461;1;471.324;0.138151;PSBv2;
roadmap;dimacs;56;1;4570;94284;1;471.324;0.148635;PSBv2;
roadmap;dimacs;57;1;131126;21354;1;471.324;0.110525;PSBv2;
roadmap;dimacs;58;1;235750;208824;1;471.324;0.148837;PSBv2;
roadmap;dimacs;59;1;489;261832;1;471.324;0.0857265;PSBv2;
roadmap;dimacs;60;1;318387;328863;1;471.324;0.187225;PSBv2;
roadmap;dimacs;61;1;274877;23528;1;471.324;0.160553;PSBv2;
roadmap;dimacs;62;1;220394;272522;1;471.324;0.0584418;PSBv2;
roadmap;dimacs;63;1;228259;177627;1;471.324;0.0995307;PSBv2;
roadmap;dimacs;64;1;319517;205274;1;471.324;0.169905;PSBv2;
roadmap;dimacs;65;1;312838;292039;1;471.324;0.0229556;PSBv2;
roadmap;dimacs;66;1;231105;325711;1;471.324;0.139711;PSBv2;
roadmap;dimacs;67;1;24598;413512;1;471.324;0.0615885;PSBv2;
roadmap;dimacs;68;1;23559;272815;1;471.324;0.0622057;PSBv2;
roadmap;dimacs;69;1;77506;341012;1;471.324;0.140014;PSBv2;
roadmap;dimacs;70;1;292092;386735;1;471.324;0.155405;PSBv2;
roadmap;dimacs;71;1;376744;379588;1;471.324;0.151994;PSBv2;
roadmap;dimacs;72;1;379408;158562;1;471.324;0.154042;PSBv2;
roadmap;dimacs;73;1;165998;242916;1;471.324;0.0620098;PSBv2;
roadmap;dimacs;74;1;273849;233106;1;471.324;0.153496;PSBv2;
roadmap;dimacs;75;1;128253;35195;1;471.324;0.130096;PSBv2;
roadmap;dimacs;76;1;183220;8889;1;471.324;0.104444;PSBv2;
roadmap;dimacs;77;1;272704;414613;1;471.324;0.0815548;PSBv2;
roadmap;dimacs;78;1;370469;78546;1;471.324;0.0368191;PSBv2;
roadmap;dimacs;79;1;89775;214561;1;471.324;0.140148;PSBv2;
roadmap;dimacs;80;1;189664;402552;1;471.324;0.13433;PSBv2;
roadmap;dimacs;81;1;152121;246814;1;471.324;0.0929695;PSBv2;
roadmap;dimacs;82;1;322470;286921;1;471.324;0.20207;PSBv2;
roadmap;dimacs;83;1;299997;278967;1;471.324;0.19925;PSBv2;
roadmap;dimacs;84;1;250235;356746;1;471.324;0.179815;PSBv2;
roadmap;dimacs;85;1;163254;319164;1;471.324;0.122803;PSBv2;
roadmap;dimacs;86;1;140318;8074;1;471.324;0.101169;PSBv2;
roadmap;dimacs;87;1;185965;196301;1;471.324;0.111319;PSBv2;
roadmap;dimacs;88;1;359803;81858;1;471.324;0.0202301;PSBv2;
roadmap;dimacs;89;1;349089;308312;1;471.324;0.0820728;PSBv2;
roadmap;dimacs;90;1;347477;427675;1;471.324;0.0806905;PSBv2;
roadmap;dimacs;91;1;368929;215278;1;471.324;0.115987;PSBv2;
roadmap;dimacs;92;1;92275;285142;1;471.324;0.185858;PSBv2;
roadmap;dimacs;93;1;118818;384490;1;471.324;0.0912417;PSBv2;
roadmap;dimacs;94;1;413378;431648;1;471.324;0.0507966;PSBv2;
roadmap;dimacs;95;1;22320;400212;1;471.324;0.0406011;PSBv2;
roadmap;dimacs;96;1;110951;317115;1;471.324;0.130881;PSBv2;
roadmap;dimacs;97;1;153175;122456;1;471.324;0.0690059;PSBv2;
