domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version

roadmap;dimacs;0/1;1;294756;116704;1;471.234;0.194351;SB*;v2.0-53-g98db238
roadmap;dimacs;1/1;1;325364;11913;1;471.422;0.193764;SB*;v2.0-53-g98db238
roadmap;dimacs;2/1;1;285177;334042;1;471.422;0.165333;SB*;v2.0-53-g98db238
roadmap;dimacs;3/1;1;236480;66871;1;471.422;0.206512;SB*;v2.0-53-g98db238
roadmap;dimacs;4/1;1;249937;358183;1;471.422;0.187531;SB*;v2.0-53-g98db238
roadmap;dimacs;5/1;1;278932;202424;1;471.422;0.194578;SB*;v2.0-53-g98db238
roadmap;dimacs;6/1;1;430744;255885;1;471.422;0.155226;SB*;v2.0-53-g98db238
roadmap;dimacs;7/1;1;167653;110820;1;471.422;0.113372;SB*;v2.0-53-g98db238
roadmap;dimacs;8/1;1;389224;209129;1;471.422;0.192028;SB*;v2.0-53-g98db238
roadmap;dimacs;9/1;1;361295;369960;1;471.422;0.024771;SB*;v2.0-53-g98db238
roadmap;dimacs;10/1;1;63073;122016;1;471.422;0.0815657;SB*;v2.0-53-g98db238
roadmap;dimacs;11/1;1;377280;89101;1;471.422;0.20448;SB*;v2.0-53-g98db238
roadmap;dimacs;12/1;1;184086;9250;1;471.422;0.10337;SB*;v2.0-53-g98db238
roadmap;dimacs;13/1;1;11558;157695;1;471.422;0.0838439;SB*;v2.0-53-g98db238
roadmap;dimacs;14/1;1;290606;380934;1;471.422;0.127479;SB*;v2.0-53-g98db238
roadmap;dimacs;15/1;1;312872;335255;1;471.422;0.204635;SB*;v2.0-53-g98db238
roadmap;dimacs;16/1;1;172626;340963;1;471.422;0.115128;SB*;v2.0-53-g98db238
roadmap;dimacs;17/1;1;71257;309332;1;471.422;0.116184;SB*;v2.0-53-g98db238
roadmap;dimacs;18/1;1;197543;272443;1;471.422;0.155654;SB*;v2.0-53-g98db238
roadmap;dimacs;19/1;1;115849;293642;1;471.422;0.15311;SB*;v2.0-53-g98db238
roadmap;dimacs;20/1;1;96029;288190;1;471.422;0.181672;SB*;v2.0-53-g98db238
roadmap;dimacs;21/1;1;123302;388474;1;471.422;0.0982001;SB*;v2.0-53-g98db238
roadmap;dimacs;22/1;1;395621;154547;1;471.422;0.211264;SB*;v2.0-53-g98db238
roadmap;dimacs;23/1;1;223763;127629;1;471.422;0.0541549;SB*;v2.0-53-g98db238
roadmap;dimacs;24/1;1;327745;375938;1;471.422;0.182628;SB*;v2.0-53-g98db238
roadmap;dimacs;25/1;1;175197;5809;1;471.422;0.156391;SB*;v2.0-53-g98db238
roadmap;dimacs;26/1;1;188424;158412;1;471.422;0.15128;SB*;v2.0-53-g98db238
roadmap;dimacs;27/1;1;268346;359471;1;471.422;0.150609;SB*;v2.0-53-g98db238
roadmap;dimacs;28/1;1;174382;236731;1;471.422;0.171671;SB*;v2.0-53-g98db238
roadmap;dimacs;29/1;1;204045;159790;1;471.422;0.168635;SB*;v2.0-53-g98db238
roadmap;dimacs;30/1;1;390757;318002;1;471.422;0.0297495;SB*;v2.0-53-g98db238
roadmap;dimacs;31/1;1;91059;57980;1;471.422;0.17581;SB*;v2.0-53-g98db238
roadmap;dimacs;32/1;1;72990;320575;1;471.422;0.200117;SB*;v2.0-53-g98db238
