domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    294756;    116704;0;1116;4213913;306424;1;0;425;0.702524;436176;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;    325364;     11913;0;1263;4116051;307929;1;0;423;0.63822;482481;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;    285177;    334042;0;417;3637123;242801;1;0;423;0.440937;550648;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;    236480;     66871;0;755;3645074;292931;1;0;431;0.514397;569464;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;    249937;    358183;0;1212;5848233;417067;1;0;521;0.82119;507881;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;    278932;    202424;0;1208;5259206;416299;1;0;609;0.796135;522900;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;    430744;    255885;0;720;2988208;213555;1;0;609;0.399568;534464;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;    167653;    110820;0;451;1630652;125136;1;0;609;0.208465;600274;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;    389224;    209129;0;869;3482878;280995;1;0;609;0.47739;588606;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;    361295;    369960;0;203;826896;18750;1;0;609;0.0410438;456829;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;     63073;    122016;0;553;1057341;146433;1;0;609;0.249166;587694;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;    377280;     89101;0;1018;3953934;249419;1;0;609;0.435189;573128;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;    184086;      9250;0;412;1411330;102866;1;0;609;0.18165;566287;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;     11558;    157695;0;475;1398938;190773;1;0;609;0.30714;621127;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;    290606;    380934;0;899;3361700;128072;1;0;609;0.264217;484723;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;    312872;    335255;0;1137;5080372;215420;1;0;609;0.502737;428494;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;16/1;1;    172626;    340963;0;503;1825204;70076;1;0;609;0.129843;539698;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;17/1;1;     71257;    309332;0;808;3137785;361404;1;0;609;0.613053;589515;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;18/1;1;    197543;    272443;0;1206;3728256;358834;1;0;609;0.646506;555036;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;19/1;1;    115849;    293642;0;1230;4552429;408251;1;0;609;0.792164;515362;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;20/1;1;     96029;    288190;0;1381;5471958;411473;1;0;609;0.790551;520489;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;21/1;1;    123302;    388474;0;610;2889335;317123;1;0;609;0.539925;587346;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;22/1;1;    395621;    154547;0;1150;4759286;199616;1;0;609;0.489752;407585;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;23/1;1;    223763;    127629;0;552;1965611;249703;1;0;609;0.383605;650938;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;24/1;1;    327745;    375938;0;1194;5462085;405016;1;0;609;0.795675;509022;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;25/1;1;    175197;      5809;0;865;2919985;170946;1;0;609;0.335267;509881;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;26/1;1;    188424;    158412;0;800;2521863;259607;1;0;609;0.462023;561892;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;27/1;1;    268346;    359471;0;1014;3161795;296218;1;0;609;0.519521;570175;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;28/1;1;    174382;    236731;0;1139;4391949;392446;1;0;609;0.786431;499021;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;29/1;1;    204045;    159790;0;916;2894799;241255;1;0;609;0.476379;506435;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;30/1;1;    390757;    318002;0;345;1671346;37243;1;0;609;0.0971138;383499;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;31/1;1;     91059;     57980;0;823;3685668;214648;1;0;609;0.398551;538571;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;32/1;1;     72990;    320575;0;1202;5651921;372588;1;0;609;0.767521;485443;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;33/1;1;     65526;    339114;0;1130;4409623;402344;1;0;609;0.794047;506701;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;34/1;1;    349165;     12701;0;574;1338128;142473;1;0;609;0.241017;591132;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;35/1;1;    187769;    228911;0;354;1371751;61538;1;0;609;0.126609;486048;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;36/1;1;    190262;     14733;0;1116;3834232;296403;1;0;609;0.51247;578381;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;37/1;1;    143799;    328188;0;478;1975250;249320;1;0;609;0.385682;646439;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
