domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    294756;    116704;0;1116;4213913;306424;1;485;0.769058;398441;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;    325364;     11913;0;1263;4116051;307929;1;494;0.634389;485395;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    285177;    334042;0;417;3637123;242801;1;494;0.525097;462393;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    236480;     66871;0;755;3645074;292931;1;503;0.547189;535338;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;    249937;    358183;0;1212;5848233;417067;1;609;0.886085;470685;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;    278932;    202424;0;1208;5259206;416299;1;609;0.838919;496233;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    430744;    255885;0;720;2988208;213555;1;609;0.420123;508315;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;    167653;    110820;0;451;1630652;125136;1;609;0.225395;555186;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;    389224;    209129;0;869;3482878;280995;1;609;0.514994;545628;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;    361295;    369960;0;203;826896;18750;1;609;0.0409817;457521;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;     63073;    122016;0;553;1057341;146433;1;609;0.273729;534956;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;    377280;     89101;0;1018;3953934;249419;1;609;0.45457;548692;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;    184086;      9250;0;412;1411330;102866;1;609;0.195109;527223;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;     11558;    157695;0;475;1398938;190773;1;609;0.333311;572357;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;    290606;    380934;0;899;3361700;128072;1;609;0.286407;447168;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;    312872;    335255;0;1137;5080372;215420;1;609;0.524079;411045;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;    172626;    340963;0;503;1825204;70076;1;609;0.136851;512062;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;     71257;    309332;0;808;3137785;361404;1;609;0.660158;547450;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;    197543;    272443;0;1206;3728256;358834;1;609;0.701838;511277;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;    115849;    293642;0;1230;4552429;408251;1;609;0.844429;483464;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;     96029;    288190;0;1381;5471958;411473;1;669;0.858522;479281;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;    123302;    388474;0;610;2889335;317123;1;669;0.567245;559058;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;    395621;    154547;0;1150;4759286;199616;1;669;0.517271;385902;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;    223763;    127629;0;552;1965611;249703;1;669;0.405092;616411;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;    327745;    375938;0;1194;5462085;405016;1;669;0.846638;478381;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;    175197;      5809;0;865;2919985;170946;1;669;0.354603;482077;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;    188424;    158412;0;800;2521863;259607;1;669;0.486379;533754;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;    268346;    359471;0;1014;3161795;296218;1;669;0.545243;543277;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;    174382;    236731;0;1139;4391949;392446;1;669;0.832094;471637;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;    204045;    159790;0;916;2894799;241255;1;669;0.466212;517479;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;    390757;    318002;0;345;1671346;37243;1;669;0.102776;362370;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;     91059;     57980;0;823;3685668;214648;1;669;0.425768;504143;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;     72990;    320575;0;1202;5651921;372588;1;669;0.812861;458366;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;     65526;    339114;0;1130;4409623;402344;1;717;0.846558;475270;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;    349165;     12701;0;574;1338128;142473;1;717;0.256251;555991;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;    187769;    228911;0;354;1371751;61538;1;717;0.127544;482485;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
