domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    294756;    116704;311130;1116;4213913;285406;1;461;0.87492;326208;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;    325364;     11913;306055;1263;4116051;297799;1;496;0.714477;416807;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    285177;    334042;325332;417;3637123;230119;1;496;0.508987;452111;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    236480;     66871;298333;755;3645074;286191;1;504;0.616076;464538;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;    249937;    358183;472095;1212;5848233;407217;1;599;0.999061;407600;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;    278932;    202424;435342;1208;5259206;399371;1;599;0.954653;418342;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    430744;    255885;266258;720;2988208;187120;1;599;0.450125;415707;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;    167653;    110820;138354;451;1630652;109205;1;599;0.230257;474274;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;    389224;    209129;260241;869;3482878;259364;1;599;0.550564;471088;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;    361295;    369960;69880;203;826896;16494;1;599;0.0426496;386733;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;     63073;    122016;95854;553;1057341;141049;1;599;0.296094;476366;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;    377280;     89101;315819;1018;3953934;185182;1;599;0.433403;427274;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;    184086;      9250;109543;412;1411330;87108;1;599;0.204503;425951;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;     11558;    157695;130285;475;1398938;182472;1;599;0.368045;495787;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;    290606;    380934;267174;899;3361700;119413;1;599;0.302351;394949;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;    312872;    335255;408871;1137;5080372;193343;1;599;0.599201;322668;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;    172626;    340963;140325;503;1825204;61429;1;599;0.143582;427833;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;     71257;    309332;258155;808;3137785;324724;1;599;0.68082;476960;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;    197543;    272443;317014;1206;3728256;339106;1;599;0.697428;486224;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;    115849;    293642;351263;1230;4552429;401889;1;599;0.972121;413414;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;     96029;    288190;438500;1381;5471958;406763;1;600;0.977155;416273;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;    123302;    388474;190587;610;2889335;302517;1;600;0.64624;468119;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;    395621;    154547;368186;1150;4759286;185607;1;600;0.568148;326687;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;    223763;    127629;151795;552;1965611;232773;1;600;0.457771;508492;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;    327745;    375938;416651;1194;5462085;401482;1;600;0.969998;413900;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;    175197;      5809;240791;865;2919985;157250;1;600;0.386662;406686;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;    188424;    158412;192447;800;2521863;248686;1;600;0.610285;407492;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
