domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;294756;116704;311130;1116;4213913;285407;0;360;0.682215;418353;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;325364;11913;306040;1263;4116051;297801;0;360;0.5546;536965;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;285177;334042;325332;417;3637123;230118;0;360;0.457056;503478;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;236480;66871;298333;755;3645074;286186;0;364;0.5591;511869;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;249937;358183;472602;1212;5848233;407220;0;432;0.860535;473217;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;278932;202424;435342;1208;5259206;399370;0;490;0.867372;460437;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;430744;255885;266258;721;2988208;187115;0;490;0.398479;469573;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;167653;110820;138354;451;1630652;109198;0;490;0.207679;525801;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;389224;209129;260241;871;3482878;259360;0;490;0.493966;525056;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;361295;369960;70402;203;826896;16489;0;490;0.0362684;454638;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;63073;122016;95940;554;1057341;141046;0;490;0.267985;526321;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;377280;89101;315811;1018;3953934;184817;0;490;0.380028;486324;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;184086;9250;109711;412;1411330;87104;0;490;0.179705;484704;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;11558;157695;130280;475;1398938;182471;0;490;0.34312;531799;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;290606;380934;267174;899;3361700;119408;0;490;0.260879;457714;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;312872;335255;408561;1137;5080372;193343;0;490;0.466391;414552;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;172626;340963;140276;503;1825204;61422;0;490;0.124033;495209;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;71257;309332;258264;808;3137785;324725;0;490;0.602538;538929;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;197543;272443;316988;1207;3728256;339106;0;490;0.62381;543605;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;115849;293642;351263;1230;4552429;401886;0;493;0.817319;491713;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;96029;288190;438500;1381;5471958;406764;0;495;0.832972;488329;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;123302;388474;190603;610;2889335;302512;0;495;0.56414;536236;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;395621;154547;368186;1152;4759286;185602;0;495;0.46354;400402;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;223763;127629;151795;552;1965611;232772;0;495;0.416697;558611;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;327745;375938;416709;1194;5462085;401482;0;495;0.824957;486670;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;175197;5809;240840;865;2919985;157238;0;495;0.325156;483578;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;188424;158412;193137;800;2521863;248644;0;495;0.487391;510153;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;268346;359471;287840;1016;3162103;284343;0;495;0.538223;528299;mA*;? Unchecked;v1.6.0-12-g7668b80
