domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;294756;116704;0;1116;4213913;306424;0;361;0.59624;513927;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;325364;11913;0;1263;4116051;307929;0;361;0.458607;671444;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;285177;334042;0;417;3637123;242801;0;361;0.385346;630086;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;236480;66871;0;755;3645074;292931;0;364;0.460368;636297;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;249937;358183;0;1212;5848233;417067;0;439;0.7094;587915;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;278932;202424;0;1208;5259206;416299;0;502;0.695156;598857;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;430744;255885;0;721;2988208;213555;0;502;0.357003;598189;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;167653;110820;0;451;1630652;125136;0;502;0.187693;666707;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;389224;209129;0;871;3482878;280995;0;502;0.421643;666429;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;361295;369960;0;203;826896;18750;0;502;0.0454834;412238;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;63073;122016;0;554;1057341;146433;0;502;0.220561;663911;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;377280;89101;0;1018;3953934;249419;0;502;0.384036;649467;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;184086;9250;0;412;1411330;102866;0;502;0.163232;630182;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;11558;157695;0;475;1398938;190773;0;502;0.279751;681940;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;290606;380934;0;899;3361700;128072;0;502;0.229521;557998;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;312872;335255;0;1137;5080372;215420;0;502;0.418521;514717;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;172626;340963;0;503;1825204;70076;0;502;0.115074;608965;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;71257;309332;0;808;3137785;361404;0;502;0.549686;657473;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;197543;272443;0;1207;3728256;358834;0;502;0.550696;651601;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;115849;293642;0;1230;4552429;408251;0;502;0.683076;597666;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;96029;288190;0;1381;5471958;411473;0;502;0.686406;599460;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;123302;388474;0;610;2889335;317123;0;502;0.463521;684161;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;395621;154547;0;1152;4759286;199616;0;502;0.403636;494544;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;223763;127629;0;552;1965611;249703;0;502;0.351901;709582;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;327745;375938;0;1194;5462085;405016;0;502;0.681769;594067;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;175197;5809;0;865;2919985;170946;0;502;0.28419;601521;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;188424;158412;0;800;2521863;259607;0;502;0.400322;648496;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;268346;359471;0;1015;3161795;296218;0;502;0.445397;665065;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
