domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;8604326;9732876;0;3912;10670565;9749160;0;19233;32.1077;303639;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;13324678;1772686;0;2769;9533024;5530383;0;16767;16.2955;339381;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;7884719;12471248;0;4982;15376098;10757138;0;20846;31.9917;336247;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;8299861;7053926;0;7537;22083273;13963674;0;27520;41.0866;339860;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;12596053;1146316;0;1259;3797153;1853999;0;24072;4.77969;387891;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;11197166;11364939;0;669;1723844;379936;0;24072;0.91665;414483;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;6565953;5560140;0;3280;11515523;8249157;0;24072;24.9365;330806;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;1708459;1346398;0;1075;2415369;503634;0;24072;1.32708;379506;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;6430858;9605088;0;5279;14970175;9886282;0;24072;29.5073;335046;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;13360598;9176765;0;3952;11713884;8286814;0;24072;24.667;335947;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;9612662;13606339;0;4976;12922560;8907468;0;24072;27.8473;319868;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;12873279;10535256;0;5129;18708175;12449990;0;24699;36.1271;344617;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;4952316;5173679;0;2187;8079247;6525134;0;24699;19.8981;327927;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;5354799;6923423;0;3317;10402523;6796726;0;24699;19.4124;350124;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;13137590;9585261;0;3921;13398524;9887344;0;24699;29.3153;337276;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;11321713;2269866;0;2030;6650411;1952414;0;24699;5.29103;369004;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;1896709;12436478;0;1732;5398436;2423488;0;24699;6.73308;359937;K0;? Unchecked;v1.6.0-15-gb5144bf
