domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;8604326;9732876;959198;3912;10670565;8531635;0;17560;30.6789;278095;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;13324678;1772686;850725;2769;9533024;4937718;0;15285;16.4879;299476;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;7884719;12471248;1378603;4990;15378013;10336171;0;20323;34.7452;297485;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;8299861;7053926;1896543;7537;22083273;13770170;0;27268;45.3469;303663;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;12596053;1146316;333050;1259;3797153;1664137;0;23821;4.83375;344275;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;11197166;11364939;152598;669;1723844;305367;0;23821;0.83308;366552;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;6565953;5560140;1042292;3273;11515735;7306560;0;23821;23.8287;306629;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;1708459;1346398;201552;1075;2415369;373637;0;23821;1.02512;364482;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;6430858;9605088;1268975;5279;14970175;9134581;0;23821;31.2436;292367;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;13360598;9176765;1048485;3940;11714016;7710612;0;23821;25.9574;297049;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;9612662;13606339;1102875;4976;12922560;8270632;0;23821;27.5246;300481;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;12873279;10535256;1662331;5142;18712506;11676550;0;23821;37.1149;314606;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;4952316;5173679;717442;2187;8079779;5188349;0;23821;17.6221;294424;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;5354799;6923423;918210;3317;10402523;6239520;0;23821;20.7924;300086;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;13137590;9585261;1140566;3921;13398524;8910197;0;23821;31.2203;285397;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;11321713;2269866;601729;2030;6650411;1817631;0;23821;5.71194;318216;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;1896709;12436478;479658;1732;5398436;2042039;0;23821;6.26307;326044;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;17/1;1;5072861;2099840;1059436;3865;11543809;8847105;0;23821;31.1441;284070;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;18/1;1;4629132;1284015;1441353;5377;15870597;11894292;0;23821;38.5233;308756;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;19/1;1;3228092;5707300;925923;3369;10260992;7514717;0;23821;26.0067;288953;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;20/1;1;3381239;2583559;147249;489;1534696;168855;0;23821;0.448877;376172;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;21/1;1;13427477;6961189;691639;2271;7955981;3291831;0;23821;10.4737;314295;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;22/1;1;4283094;7334708;452757;1612;5009563;2475774;0;23821;7.99078;309829;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;23/1;1;9833087;2581438;740824;2613;8228884;5894587;0;23821;19.1477;307849;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;24/1;1;1457295;3812033;1306671;4620;14532190;7983557;0;23821;25.8603;308718;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;25/1;1;13874455;12339904;757660;2666;8170264;4453281;0;23821;15.6536;284489;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;26/1;1;12825483;8424124;668810;3393;9357451;3529210;0;23821;11.9775;294653;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;27/1;1;3071353;4084059;974162;3398;10692717;8989121;0;23821;31.6378;284126;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;28/1;1;8311316;5237274;1189782;3929;12864665;6332846;0;23821;20.7746;304836;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;29/1;1;4055997;6134610;299214;937;3208647;850326;0;23821;2.45054;346996;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;30/1;1;2618545;11678130;972188;3514;10864110;9839140;0;23821;34.5403;284860;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;31/1;1;3186480;8611705;1494810;5175;16999109;12530008;0;25357;42.0003;298331;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;32/1;1;6039179;9487758;487857;1739;5793309;2142994;0;23821;6.93085;309196;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;33/1;1;2971238;840499;817485;3313;8771345;6700609;0;23821;22.3456;299863;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;34/1;1;13605955;13008632;1332557;4505;15233394;10615615;0;23821;35.4115;299779;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;35/1;1;5886852;13289943;256853;722;3257647;226861;0;23821;0.628799;360784;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;36/1;1;11830138;3816630;1155402;3661;12634000;3999616;0;23821;13.0365;306802;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;37/1;1;10660407;281754;684184;2527;7568053;5411746;0;23821;18.4092;293970;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;38/1;1;1222396;7531961;894554;2576;9918368;7620339;0;23821;27.3127;279004;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;39/1;1;5609791;11905152;1038757;4195;11793259;10952566;0;23821;37.3829;292984;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;40/1;1;12720252;5756455;863541;2607;10220099;4313792;0;23821;15.342;281176;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;41/1;1;7096826;2732296;616584;3133;8061783;3477767;0;23821;11.3275;307021;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;42/1;1;10723933;7830129;738463;2989;8449382;6436731;0;23821;21.7426;296043;K*;? Unchecked;v1.6.0-15-gb5144bf
