domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;8604326;9732876;0;3912;10670565;9749159;1;13634;17.3009;563506;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;13324678;1772686;0;2769;9533024;5530382;1;13635;8.11563;681448;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;7884719;12471248;0;4982;15376098;10757137;1;15342;15.3949;698747;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;8299861;7053926;0;7537;22083273;13963673;1;17315;20.963;666110;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;12596053;1146316;0;1259;3797153;1853995;1;17315;2.56193;723672;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;11197166;11364939;0;669;1723844;379935;1;17315;0.504495;753100;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;6565953;5560140;0;3280;11515523;8249156;1;17315;12.5638;656579;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;1708459;1346398;0;1075;2415369;503633;1;17315;0.642443;783934;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;6430858;9605088;0;5279;14970175;9886281;1;17315;14.07;702651;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;13360598;9176765;0;3952;11713884;8286813;1;17315;11.9631;692697;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;9612662;13606339;0;4976;12922560;8907467;1;17315;12.8939;690830;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;12873279;10535256;0;5129;18708175;12449989;1;17465;18.8203;661518;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;4952316;5173679;0;2187;8079247;6525120;1;17465;10.7582;606522;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;5354799;6923423;0;3317;10402523;6796725;1;17465;10.5714;642933;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;13137590;9585261;0;3921;13398524;9887343;1;17465;14.605;676984;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;11321713;2269866;0;2030;6650411;1952412;1;17465;2.68997;725811;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;1896709;12436478;0;1732;5398436;2423487;1;17465;3.41964;708696;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;17/1;1;5072861;2099840;0;3863;11543652;9578264;1;17465;14.3061;669525;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;18/1;1;4629132;1284015;0;5377;15870597;12348435;1;17465;19.0506;648191;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;19/1;1;3228092;5707300;0;3369;10260992;8260610;1;17465;12.3406;669384;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;20/1;1;3381239;2583559;0;489;1534696;232234;1;17465;0.30745;755355;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;21/1;1;13427477;6961189;0;2271;7955981;3613755;1;17465;5.24904;688460;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;22/1;1;4283094;7334708;0;1612;5008852;3093773;1;17465;4.82606;641056;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;23/1;1;9833087;2581438;0;2613;8228884;6757328;1;17465;10.3996;649766;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;24/1;1;1457295;3812033;0;4620;14532190;8653933;1;17465;12.1357;713096;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;25/1;1;13874455;12339904;0;2666;8170264;5055944;1;17465;7.66105;659954;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;26/1;1;12825483;8424124;0;3393;9357368;4072421;1;17465;6.26551;649974;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;27/1;1;3071353;4084059;0;3398;10692717;9962356;1;17465;15.2242;654377;BELA0;? Unchecked;v1.6.0-15-gb5144bf
