domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;8604326;9732876;959198;3912;10670565;8531634;1;12453;17.851;477936;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;13324678;1772686;850725;2769;9533024;4937717;1;12453;8.59412;574546;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;7884719;12471248;1378603;4990;15378013;10336170;1;14957;17.8954;577587;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;8299861;7053926;1896543;7537;22083273;13770169;1;17134;24.5897;559996;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;12596053;1146316;333050;1259;3797153;1664134;1;17134;2.71467;613016;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;11197166;11364939;152598;669;1723844;305366;1;17134;0.457682;667201;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;6565953;5560140;1042292;3273;11515735;7306559;1;17134;13.4723;542340;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;1708459;1346398;201552;1075;2415369;373636;1;17134;0.586238;637345;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;6430858;9605088;1268975;5279;14970175;9134580;1;17134;15.8676;575674;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;13360598;9176765;1048485;3940;11714016;7710611;1;17134;13.3893;575880;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;9612662;13606339;1102875;4976;12922560;8270631;1;17134;14.0972;586688;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;12873279;10535256;1662331;5146;18712506;11676549;1;17134;19.8648;587801;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;4952316;5173679;717442;2186;8079779;5188343;1;17134;9.65667;537281;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;5354799;6923423;918210;3317;10402523;6239519;1;17134;11.7142;532647;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;13137590;9585261;1140566;3921;13398524;8910196;1;17134;15.9895;557254;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;11321713;2269866;601729;2030;6650411;1817630;1;17134;2.97581;610802;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;1896709;12436478;479658;1732;5398436;2042037;1;17134;3.34636;610226;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;17/1;1;5072861;2099840;1059436;3865;11543809;8847104;1;17134;16.0273;552002;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;18/1;1;4629132;1284015;1441353;5377;15870597;11894291;1;17134;20.7629;572863;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;19/1;1;3228092;5707300;925923;3369;10260992;7514716;1;17134;13.6517;550462;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;20/1;1;3381239;2583559;147249;489;1534696;168852;1;17134;0.259365;651021;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;21/1;1;13427477;6961189;691639;2271;7955981;3291830;1;17134;5.77567;569948;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;22/1;1;4283094;7334708;452757;1614;5009563;2475773;1;17134;4.22484;586004;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;23/1;1;9833087;2581438;740824;2613;8228884;5894586;1;17134;10.2733;573777;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;24/1;1;1457295;3812033;1306671;4620;14532190;7983556;1;17134;13.1791;605776;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;25/1;1;13874455;12339904;757660;2666;8170264;4453280;1;17134;8.0716;551722;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;26/1;1;12825483;8424124;668810;3390;9357451;3529209;1;17134;6.52571;540816;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;27/1;1;3071353;4084059;974162;3398;10692717;8989120;1;17134;16.6168;540967;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;28/1;1;8311316;5237274;1189782;3924;12864665;6332845;1;17134;11.3855;556221;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;29/1;1;4055997;6134610;299214;937;3208647;850318;1;17134;1.38651;613281;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;30/1;1;2618545;11678130;972188;3514;10864110;9839139;1;17134;18.755;524615;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;31/1;1;3186480;8611705;1494810;5175;16999109;12530007;1;17134;23.8548;525261;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;32/1;1;6039179;9487758;487857;1739;5793309;2142993;1;17134;3.5492;603796;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;33/1;1;2971238;840499;817485;3313;8771345;6700608;1;17134;12.5727;532950;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;34/1;1;13605955;13008632;1332557;4505;15233394;10615614;1;17134;18.4898;574135;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;35/1;1;5886852;13289943;256853;722;3257647;226860;1;17134;0.363816;623558;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;36/1;1;11830138;3816630;1155402;3657;12634000;3999615;1;17134;6.71922;595250;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;37/1;1;10660407;281754;684184;2527;7568053;5411745;1;17134;10.0668;537584;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;38/1;1;1222396;7531961;894554;2577;9918368;7620334;1;17134;15.2264;500467;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;39/1;1;5609791;11905152;1038757;4196;11793259;10952565;1;17134;21.5546;508131;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;40/1;1;12720252;5756455;863541;2603;10220099;4313791;1;17134;8.06708;534740;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;41/1;1;7096826;2732296;616584;3133;8061783;3477766;1;17134;6.38703;544505;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;42/1;1;10723933;7830129;738463;2989;8449382;6436730;1;17134;13.1127;490876;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;43/1;1;8904979;4215330;1035926;3099;12127573;6221893;1;17134;12.2956;506024;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;44/1;1;5650711;8980327;946132;3706;10970134;10241762;1;17134;20.3509;503259;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;45/1;1;39821;163816;714261;2026;7801644;1417301;1;17134;2.13045;665261;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;46/1;1;12061522;4707837;1427885;5551;15242363;9884764;1;17134;17.584;562147;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;47/1;1;8937092;4966176;813440;2511;8563670;3823693;1;17134;7.11413;537478;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;48/1;1;2006523;5019408;830720;2707;9436032;6247091;1;17134;12.6148;495219;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;49/1;1;4132174;6975399;1239398;3755;13531456;8546392;1;17134;16.3481;522777;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;50/1;1;7705896;1736157;869168;3507;9814252;5457169;1;17134;10.4316;523136;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;51/1;1;13236073;6452911;1149109;4595;12955505;5657495;1;17134;10.2081;554216;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;52/1;1;8860377;13775180;905567;3253;10178820;8002924;1;17134;15.9966;500290;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;53/1;1;7260181;11763625;1028119;3077;11332965;5012827;1;17134;9.00967;556383;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;54/1;1;2722598;3292629;1369730;4399;15081697;11960449;1;17134;21.8597;547145;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;55/1;1;13094170;10037551;779256;2319;9111737;4350124;1;17134;8.31843;522950;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;56/1;1;7630843;11415775;1588952;3745;16859602;6804324;1;17134;12.7621;533166;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;57/1;1;10835233;1339843;1695432;5780;19851341;10367489;1;17134;18.7744;552213;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;58/1;1;6527876;9522320;283824;1250;3033358;785318;1;17134;1.34325;584641;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;59/1;1;7336949;3559744;581774;2014;6474280;3285374;1;17134;6.20787;529228;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;60/1;1;9885673;5920969;594731;2213;6463682;4289384;1;17134;7.96527;538511;BELA*;? Unchecked;v1.6.0-15-gb5144bf
