domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   8604326;   9732876;0;3912;10670565;9749159;1;0;13637;16.6661;584969;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;  13324678;   1772686;0;2769;9533024;5530382;1;0;13637;7.7177;716584;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;   7884719;  12471248;0;4982;15376098;10757137;1;0;15349;14.7682;728397;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;   8299861;   7053926;0;7537;22083273;13963673;1;0;17318;20.2556;689374;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;  12596053;   1146316;0;1259;3797153;1853995;1;0;17319;2.46797;751222;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;  11197166;  11364939;0;669;1723844;379935;1;0;17319;0.478436;794120;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;   6565953;   5560140;0;3280;11515523;8249156;1;0;17319;11.9468;690491;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;   1708459;   1346398;0;1075;2415369;503633;1;0;17319;0.608112;828191;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;   6430858;   9605088;0;5279;14970175;9886281;1;0;17319;13.4793;733442;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;  13360598;   9176765;0;3952;11713884;8286813;1;0;17319;11.4365;724595;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
