domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   8604326;   9732876;0;3912;10670565;9749159;1;15937;18.5751;524852;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;  13324678;   1772686;0;2769;9533024;5530382;1;15937;8.42645;656312;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;   7884719;  12471248;0;4982;15376098;10757137;1;17797;16.169;665292;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;   8299861;   7053926;0;7537;22083273;13963673;1;20502;24.7471;564255;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;  12596053;   1146316;0;1259;3797153;1853995;1;20502;2.66686;695198;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;  11197166;  11364939;0;669;1723844;379935;1;20502;0.518205;733174;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;   6565953;   5560140;0;3280;11515523;8249156;1;20502;13.2601;622102;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;   1708459;   1346398;0;1075;2415369;503633;1;20502;0.655025;768876;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;   6430858;   9605088;0;5279;14970175;9886281;1;20502;14.9543;661098;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;  13360598;   9176765;0;3952;11713884;8286813;1;20502;12.5685;659330;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;   9612662;  13606339;0;4976;12922560;8907467;1;20502;13.6617;652003;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;  12873279;  10535256;0;5129;18708175;12449989;1;20684;19.9411;624338;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;   4952316;   5173679;0;2187;8079247;6525120;1;20684;11.1458;585431;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;   5354799;   6923423;0;3317;10402523;6796725;1;20684;10.9064;623184;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;  13137590;   9585261;0;3921;13398524;9887343;1;20684;15.2718;647426;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;  11321713;   2269866;0;2030;6650411;1952412;1;20684;2.74183;712084;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;   1896709;  12436478;0;1732;5398436;2423487;1;20684;3.56678;679461;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;   5072861;   2099840;0;3863;11543652;9578264;1;20684;15.1493;632260;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   4629132;   1284015;0;5377;15870597;12348435;1;20684;19.966;618472;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
