domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   8604326;   9732876;959296;3912;10670565;8531584;1;14477;19.2283;443700;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;  13324678;   1772686;851160;2769;9533024;4937629;1;14477;8.96078;551027;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;   7884719;  12471248;1378520;4982;15376098;10335049;1;17351;18.8467;548375;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;   8299861;   7053926;1896543;7537;22083273;13770166;1;20320;26.2626;524325;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;  12596053;   1146316;332923;1259;3797153;1664228;1;20320;2.8286;588357;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;  11197166;  11364939;152656;669;1723844;305362;1;20320;0.463968;658153;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;   6565953;   5560140;1042331;3280;11515523;7306344;1;20320;14.112;517739;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;   1708459;   1346398;201636;1075;2415369;373636;1;20320;0.592526;630581;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;   6430858;   9605088;1268717;5279;14970175;9134565;1;20320;16.7898;544054;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;  13360598;   9176765;1048461;3952;11713884;7710555;1;20320;14.0802;547617;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;   9612662;  13606339;1103092;4976;12922560;8270552;1;20320;14.8237;557928;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;  12873279;  10535256;1662354;5129;18708175;11673091;1;20320;21.4456;544311;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;   4952316;   5173679;717442;2187;8079247;5187736;1;20320;10.1127;512994;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;   5354799;   6923423;917805;3317;10402523;6239647;1;20320;12.4613;500722;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;  13137590;   9585261;1140608;3921;13398524;8910354;1;20320;17.2864;515454;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;  11321713;   2269866;601545;2030;6650411;1817625;1;20320;3.10825;584774;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;   1896709;  12436478;479906;1732;5398436;2042027;1;20320;3.54859;575447;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;   5072861;   2099840;1059815;3863;11543652;8846813;1;20320;17.3203;510778;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   4629132;   1284015;1441353;5377;15870597;11894272;1;20320;22.3494;532196;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;   3228092;   5707300;925863;3369;10260992;7514786;1;20320;14.8767;505137;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;   3381239;   2583559;146182;489;1534696;168856;1;20320;0.272508;619637;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;  13427477;   6961189;691639;2271;7955981;3291829;1;20320;6.04771;544310;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;   4283094;   7334708;452781;1612;5008852;2475128;1;20320;4.49099;551132;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;   9833087;   2581438;740668;2613;8228884;5894641;1;20320;11.1644;527985;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;   1457295;   3812033;1306815;4620;14532190;7983632;1;20320;14.1925;562525;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;  13874455;  12339904;757660;2666;8170264;4453293;1;20320;8.76058;508333;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;  12825483;   8424124;668810;3393;9357368;3529110;1;20320;6.93079;509193;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;   3071353;   4084059;974066;3398;10692717;8989213;1;20320;18.302;491159;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
