domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;2812817;1167904;0;649;899079;267214;0;1641;0.8743;305632;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;3370462;2740202;0;4078;10075029;2040672;0;5953;7.61775;267884;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;375732;2115296;0;1739;4943406;928295;0;4326;2.8767;322694;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;2696341;488393;0;2239;6162337;3187828;0;6271;9.95006;320383;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1015669;1608282;0;3002;7637545;3296428;0;6525;9.94969;331310;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1531009;2220134;0;1733;5475732;727641;0;6050;2.12671;342144;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1796728;3022556;0;1963;5038119;2624180;0;6050;7.96791;329344;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;3076540;348633;0;1640;3912147;1731910;0;6050;5.20684;332622;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;3066288;2768145;0;2263;6350379;2250397;0;6050;7.08615;317577;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1178125;1978876;0;1574;2979109;1261942;0;6050;3.9755;317430;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;2869938;1049793;0;3248;6218375;2312261;0;6050;7.29005;317180;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;3419615;308712;0;930;2276995;846724;0;6050;2.40718;351749;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;1657412;705191;0;1040;2369998;600908;0;6050;1.92399;312324;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;804226;2149998;0;1158;3027922;1041414;0;6050;3.32414;313288;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1679753;3477063;0;2131;5353501;3011611;0;6050;9.21858;326689;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;3234685;580806;0;1093;1481249;747179;0;6050;2.34761;318272;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;3494276;2525044;0;1397;3764499;1136571;0;6050;3.42097;332237;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1684832;899334;0;867;1234650;611048;0;6050;1.96385;311148;K0;? Unchecked;v1.6.0-12-g7668b80
