domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;2812817;1167904;79631;649;899079;248225;0;1618;0.935159;265436;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;3370462;2740202;894384;4078;10075039;1988404;0;5837;7.983;249080;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;375732;2115296;442937;1739;4943406;897843;0;4301;3.01473;297819;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;2696341;488393;541230;2239;6162337;3014562;0;6069;10.8558;277693;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1015669;1608282;668736;3002;7637648;3179004;0;6383;11.1009;286372;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1531009;2220134;477867;1733;5475732;677852;0;5908;2.20381;307581;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1796728;3022556;441792;1963;5038161;2299432;0;5908;8.3113;276663;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;3076540;348633;318818;1640;3912147;1462839;0;5908;5.11589;285940;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;3066288;2768145;566149;2263;6350738;2190989;0;5908;7.83562;279619;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1178125;1978876;214898;1574;2979109;1154278;0;5908;4.26049;270926;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;2869938;1049793;556205;3248;6218588;2260757;0;5908;8.15578;277197;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;3419615;308712;191813;930;2276995;727659;0;5908;2.4463;297452;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;1657412;705191;207867;1040;2369998;521358;0;5908;1.93197;269858;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;804226;2149998;266875;1158;3027922;789456;0;5908;2.639;299149;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1679753;3477063;469068;2132;5353510;2819955;0;5908;9.71653;290223;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;3234685;580806;131945;1093;1481249;644125;0;5908;2.32146;277465;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;3494276;2525044;331088;1397;3764499;1031752;0;5908;3.38343;304943;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1684832;899334;112709;867;1234650;545642;0;5908;2.09841;260027;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;2326731;2015380;294645;1525;3550929;968932;0;5908;3.31394;292381;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;1536963;3178092;535530;2359;5947855;1203098;0;5908;4.10103;293365;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;717033;875747;363235;1500;4188060;1150339;0;5908;4.05209;283888;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;2004465;517105;645289;2661;7269774;3193636;0;6336;11.045;289149;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;2523271;357779;737035;3271;8606551;3352678;0;7488;11.8988;281766;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1835542;2285912;803888;3508;8928368;3294371;0;7488;11.5891;284265;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1534383;150970;926100;4948;10208890;2997508;0;7488;10.7527;278767;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;1414604;53833;412574;1874;4567000;714523;0;6336;2.53973;281338;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;2645050;2905814;275733;1358;3098292;1616750;0;5952;5.77192;280106;K*;? Unchecked;v1.6.0-12-g7668b80
