domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;2812817;1167904;0;649;899079;267206;1;1555;0.487375;548256;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;3370462;2740202;0;4078;10075029;2040671;1;3033;3.82048;534140;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;375732;2115296;0;1739;4943406;928291;1;3033;1.5076;615741;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;2696341;488393;0;2239;6162337;3187827;1;4067;5.4386;586148;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1015669;1608282;0;3002;7637545;3296427;1;4542;5.35684;615368;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1531009;2220134;0;1733;5475732;727639;1;4542;1.19157;610655;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1796728;3022556;0;1963;5038119;2624179;1;4542;4.10142;639822;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;3076540;348633;0;1640;3912147;1731909;1;4542;2.77865;623292;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;3066288;2768145;0;2263;6350379;2250396;1;4542;3.47286;647995;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1178125;1978876;0;1574;2979109;1261941;1;4542;2.02264;623906;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;2869938;1049793;0;3248;6218375;2312260;1;4542;3.54222;652772;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;3419615;308712;0;930;2276995;846721;1;4542;1.34453;629750;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;1657412;705191;0;1040;2369998;600907;1;4542;1.00573;597485;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;804226;2149998;0;1158;3027922;1041413;1;4542;1.62837;639542;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1679753;3477063;0;2131;5353501;3011610;1;4631;4.97235;605671;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;3234685;580806;0;1093;1481249;747178;1;4631;1.28362;582089;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;3494276;2525044;0;1397;3764499;1136566;1;4631;1.73054;656768;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1684832;899334;0;867;1234650;611045;1;4631;1.02241;597651;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;2326731;2015380;0;1525;3550739;1006738;1;4631;1.52735;659139;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;1536963;3178092;0;2359;5947855;1237145;1;4631;1.87865;658529;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;717033;875747;0;1500;4188019;1394808;1;4631;2.26313;616317;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;2004465;517105;0;2661;7269316;3253335;1;4840;5.27624;616602;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;2523271;357779;0;3271;8606551;3451690;1;5354;5.69318;606285;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1835542;2285912;0;3508;8928368;3319420;1;4984;5.53927;599252;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1534383;150970;0;4948;10208667;3031234;1;4984;4.82806;627836;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;1414604;53833;0;1874;4567000;739861;1;4984;1.2372;598014;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;2645050;2905814;0;1358;3098292;1792301;1;4984;2.97679;602093;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1199265;732890;0;2041;5034426;1978603;1;4984;3.0833;641716;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;1813281;1843282;0;2133;5409574;1620352;1;4984;2.72208;595263;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;2635344;1986506;0;1469;2609076;1494788;1;4984;2.58055;579252;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;3430105;2268771;0;2064;5125980;2293672;1;4984;3.6392;630269;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;2951075;2910139;0;567;1699858;509319;1;4984;0.772051;659696;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1292333;856017;0;1203;2889966;1406541;1;4984;2.25608;623445;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;1280852;1933387;0;1931;3095325;1530844;1;4984;2.56207;597504;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;3590294;190932;0;3316;8137641;3174864;1;4984;5.01577;632976;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1189819;652029;0;1752;3181798;1407659;1;4984;2.25908;623113;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;3448868;1628366;0;2966;6143127;1980125;1;4984;3.04549;650184;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;543126;286557;0;2961;7253709;2632912;1;4984;4.06812;647206;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;2139013;53282;0;555;1405347;371443;1;4984;0.639046;581246;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;198489;1142903;0;681;1747837;579313;1;4984;0.910618;636176;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;2642040;635481;0;407;911085;289643;1;4984;0.460542;628917;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;1321964;187100;0;4116;6652001;3040373;1;4984;4.97185;611518;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;1824408;3283788;0;1694;5218643;1767955;1;4984;2.9157;606357;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;3411693;3298683;0;1423;2372563;896799;1;4984;1.41785;632504;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;3423640;254967;0;363;766337;212626;1;4984;0.325175;653882;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;1469011;1550666;0;525;921253;61027;1;4984;0.0976656;624857;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;3509967;695457;0;1834;4158950;1668132;1;4984;2.65429;628467;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;3540311;733158;0;2843;7792639;2707173;1;4984;4.07694;664021;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;2288902;1800182;0;3216;7953634;2481159;1;4984;3.73491;664315;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;2394687;1829005;0;588;1659243;286853;1;4984;0.455304;630025;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;117079;2400754;0;1559;3490380;1062259;1;4984;1.64513;645700;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;2830656;1321188;0;2365;6446591;804492;1;4984;1.32041;609273;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;160346;2384207;0;1201;2468076;776630;1;4984;1.27134;610875;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;2002304;2131753;0;1852;4293151;2526580;1;4984;4.06458;621609;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;2453533;1004026;0;1524;4252334;2413222;1;4984;3.86773;623938;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;2616874;2350860;0;1037;2512941;1327094;1;4984;2.17712;609564;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;2253577;3002926;0;4571;9690555;3075410;1;4984;5.08044;605343;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;57/1;1;3097137;1350752;0;3207;7619612;2658855;1;4984;4.09846;648745;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;58/1;1;2805668;695504;0;1559;3200920;1165671;1;4984;1.83896;633876;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;59/1;1;1802450;1113688;0;2847;4735355;2533222;1;4984;4.0335;628045;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;60/1;1;2792285;3449606;0;1473;3602185;1936864;1;4984;3.09476;625853;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;61/1;1;1129205;1002279;0;1246;3346033;1556499;1;4984;2.68248;580245;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;62/1;1;721598;2152430;0;1098;1975263;983865;1;4984;1.58027;622594;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;63/1;1;2567681;3274492;0;691;1631569;611634;1;4984;0.981522;623149;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;64/1;1;332500;775001;0;1267;4316036;996983;1;4984;1.61676;616654;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;65/1;1;1412157;2238289;0;439;1673007;67739;1;4984;0.118259;572801;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;66/1;1;3083484;2979802;0;4104;10208255;3230506;1;4984;5.32152;607064;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;67/1;1;484071;2040502;0;4118;9545983;2222094;1;4984;3.61165;615258;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;68/1;1;2206161;1141678;0;4204;7342189;3260595;1;4984;5.16701;631041;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;69/1;1;2369488;627486;0;533;1115597;360288;1;4984;0.661202;544899;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;70/1;1;2846010;3323594;0;2141;5565326;2091870;1;4984;3.31541;630954;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;71/1;1;2840049;3154231;0;1890;4002100;1241255;1;4984;1.88412;658800;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;72/1;1;2464153;699969;0;1147;2957912;1251770;1;4984;2.08581;600137;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;73/1;1;32767;1714493;0;763;1786645;656633;1;4984;1.05178;624307;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;74/1;1;2305362;3067420;0;1181;3028095;513050;1;4984;0.788002;651077;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;75/1;1;2011345;1569789;0;3737;8864173;3408161;1;4984;5.71488;596366;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;76/1;1;1379713;259020;0;3643;7399040;2293637;1;4984;3.6382;630431;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;77/1;1;2607744;2889258;0;1467;3654447;2054232;1;4984;3.42804;599245;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;78/1;1;197036;1481956;0;4965;10005671;3390078;1;4984;5.61462;603795;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;79/1;1;3530603;146833;0;4278;8840138;3068599;1;4984;5.10426;601184;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;80/1;1;815766;528649;0;1357;3202121;1464845;1;4984;2.56347;571430;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;81/1;1;1237830;3425715;0;4128;7437615;2878253;1;4984;4.44374;647710;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;82/1;1;3524305;368018;0;5581;11676418;3570978;1;4984;5.84638;610802;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;83/1;1;1350329;199554;0;3302;6527317;2877000;1;4984;4.54132;633516;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;84/1;1;1075130;2406884;0;1988;5732422;2825701;1;4984;4.49694;628361;BELA0;? Unchecked;v1.6.0-12-g7668b80
