domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;2812817;1167904;79631;649;899079;248218;1;1542;0.549684;451565;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;3370462;2740202;894384;4078;10075039;1988403;1;2983;4.4935;442507;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;375732;2115296;442937;1739;4943406;897841;1;2983;1.80642;497029;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;2696341;488393;541230;2239;6162337;3014561;1;3913;6.40833;470413;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1015669;1608282;668736;3002;7637648;3179003;1;4442;6.46043;492073;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1531009;2220134;477867;1733;5475732;677847;1;4442;1.26943;533976;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1796728;3022556;441792;1960;5038161;2299431;1;4442;4.54985;505386;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;3076540;348633;318818;1640;3912147;1462838;1;4442;2.97947;490973;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;3066288;2768145;566149;2266;6350738;2190988;1;4442;4.21867;519355;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1178125;1978876;214898;1574;2979109;1154276;1;4442;2.34024;493229;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;2869938;1049793;556205;3247;6218588;2260756;1;4442;4.40504;513221;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;3419615;308712;191813;930;2276995;727655;1;4442;1.48827;488928;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;1657412;705191;207867;1040;2369998;521357;1;4442;1.07785;483699;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;804226;2149998;266875;1158;3027922;789455;1;4442;1.57749;500451;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1679753;3477063;469068;2132;5353510;2819954;1;4442;5.54335;508710;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;3234685;580806;131945;1093;1481249;644124;1;4442;1.30934;491944;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;3494276;2525044;331088;1397;3764499;1031747;1;4442;1.91943;537528;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1684832;899334;112709;867;1234650;545641;1;4442;1.14757;475476;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;2326731;2015380;294645;1524;3550929;968931;1;4442;1.85348;522762;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;1536963;3178092;535530;2359;5947855;1203097;1;4442;2.26006;532330;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;717033;875747;363235;1501;4188060;1150337;1;4442;2.32601;494554;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;2004465;517105;645289;2655;7269774;3193635;1;4557;6.50044;491295;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;2523271;357779;737035;3271;8606551;3352677;1;4650;6.9232;484267;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1835542;2285912;803888;3508;8928368;3294370;1;4650;6.80116;484383;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1534383;150970;926100;4947;10208890;2997507;1;4650;6.02859;497215;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;1414604;53833;412574;1874;4567000;714519;1;4650;1.50059;476159;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;2645050;2905814;275733;1358;3098292;1616749;1;4650;3.34207;483756;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1199265;732890;455344;2014;5034619;1829117;1;4650;3.66363;499264;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;1813281;1843282;474161;2134;5409574;1436233;1;4650;2.91718;492336;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;2635344;1986506;240833;1469;2609076;1297922;1;4650;2.6209;495221;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;3430105;2268771;455325;2064;5125980;1915059;1;4650;3.78583;505849;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;2951075;2910139;150958;567;1699858;434607;1;4650;0.820057;529972;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1292333;856017;257795;1201;2890447;1297584;1;4650;2.6244;494431;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;1280852;1933387;280460;1930;3095538;1397637;1;4650;2.76396;505664;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;3590294;190932;728007;3316;8137641;3134836;1;4650;6.22818;503331;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1189819;652029;248181;1752;3181798;1303838;1;4650;2.5903;503355;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;3448868;1628366;517046;2965;6143340;1939912;1;4650;3.81286;508781;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;543126;286557;638459;2962;7254049;2592672;1;4650;5.04665;513742;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;2139013;53282;125012;555;1405347;311979;1;4650;0.607025;513947;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;198489;1142903;157520;681;1747837;512427;1;4650;0.99167;516731;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;2642040;635481;76428;407;911085;241612;1;4650;0.477209;506302;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;1321964;187100;611814;4115;6652214;2953151;1;4650;6.01654;490839;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;1824408;3283788;442669;1694;5218643;1639087;1;4650;3.44324;476031;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;3411693;3298683;218692;1423;2372563;807074;1;4650;1.58956;507736;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;3423640;254967;65295;363;766337;183856;1;4650;0.351618;522886;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;1469011;1550666;78618;525;921253;53295;1;4650;0.109007;488915;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;3509967;695457;375011;1834;4158950;1517602;1;4650;3.08588;491790;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;3540311;733158;689969;2843;7792639;2628255;1;4650;5.11437;513896;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;2288902;1800182;679719;3216;7953634;2437851;1;4650;4.72984;515420;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;2394687;1829005;145256;588;1659243;222119;1;4650;0.437521;507676;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;117079;2400754;293140;1559;3490380;1000214;1;4650;1.90899;523948;BELA*;? Unchecked;v1.6.0-12-g7668b80
