domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version

roadmap;dimacs;0/1;1;2812817;1167904;1;3850.21;0.138226;SB*;v2.0-53-g98db238
roadmap;dimacs;1/1;1;3370462;2740202;1;3850.46;2.20378;SB*;v2.0-53-g98db238
roadmap;dimacs;2/1;1;375732;2115296;1;3850.46;1.56072;SB*;v2.0-53-g98db238
roadmap;dimacs;3/1;1;2696341;488393;1;3850.46;0.7256;SB*;v2.0-53-g98db238
roadmap;dimacs;4/1;1;1015669;1608282;1;3850.46;1.58413;SB*;v2.0-53-g98db238
roadmap;dimacs;5/1;1;1531009;2220134;1;3850.46;1.54427;SB*;v2.0-53-g98db238
roadmap;dimacs;6/1;1;1796728;3022556;1;3850.46;1.28919;SB*;v2.0-53-g98db238
roadmap;dimacs;7/1;1;3076540;348633;1;3850.46;0.367177;SB*;v2.0-53-g98db238
roadmap;dimacs;8/1;1;3066288;2768145;1;3850.46;1.94455;SB*;v2.0-53-g98db238
roadmap;dimacs;9/1;1;1178125;1978876;1;3850.46;0.756132;SB*;v2.0-53-g98db238
roadmap;dimacs;10/1;1;2869938;1049793;1;3850.46;1.90204;SB*;v2.0-53-g98db238
roadmap;dimacs;11/1;1;3419615;308712;1;3850.46;0.257513;SB*;v2.0-53-g98db238
roadmap;dimacs;12/1;1;1657412;705191;1;3850.46;0.818867;SB*;v2.0-53-g98db238
roadmap;dimacs;13/1;1;804226;2149998;1;3850.46;0.738446;SB*;v2.0-53-g98db238
roadmap;dimacs;14/1;1;1679753;3477063;1;3850.46;0.985799;SB*;v2.0-53-g98db238
roadmap;dimacs;15/1;1;3234685;580806;1;3850.46;0.412229;SB*;v2.0-53-g98db238
roadmap;dimacs;16/1;1;3494276;2525044;1;3850.46;1.31424;SB*;v2.0-53-g98db238
roadmap;dimacs;17/1;1;1684832;899334;1;3850.46;0.324185;SB*;v2.0-53-g98db238
roadmap;dimacs;18/1;1;2326731;2015380;1;3850.46;1.3093;SB*;v2.0-53-g98db238
roadmap;dimacs;19/1;1;1536963;3178092;1;3850.46;1.83578;SB*;v2.0-53-g98db238
roadmap;dimacs;20/1;1;717033;875747;1;3850.46;1.45964;SB*;v2.0-53-g98db238
roadmap;dimacs;21/1;1;2004465;517105;1;3850.46;1.19546;SB*;v2.0-53-g98db238
roadmap;dimacs;22/1;1;2523271;357779;1;3850.46;1.40025;SB*;v2.0-53-g98db238
roadmap;dimacs;23/1;1;1835542;2285912;1;3850.46;1.48555;SB*;v2.0-53-g98db238
roadmap;dimacs;24/1;1;1534383;150970;1;3850.46;1.93254;SB*;v2.0-53-g98db238
roadmap;dimacs;25/1;1;1414604;53833;1;3850.46;1.24655;SB*;v2.0-53-g98db238
roadmap;dimacs;26/1;1;2645050;2905814;1;3850.46;0.689746;SB*;v2.0-53-g98db238
roadmap;dimacs;27/1;1;1199265;732890;1;3850.46;1.42763;SB*;v2.0-53-g98db238
roadmap;dimacs;28/1;1;1813281;1843282;1;3850.46;1.84425;SB*;v2.0-53-g98db238
roadmap;dimacs;29/1;1;2635344;1986506;1;3850.46;0.521045;SB*;v2.0-53-g98db238
roadmap;dimacs;30/1;1;3430105;2268771;1;3850.46;0.413615;SB*;v2.0-53-g98db238
roadmap;dimacs;31/1;1;2951075;2910139;1;3850.46;0.165205;SB*;v2.0-53-g98db238
roadmap;dimacs;32/1;1;1292333;856017;1;3850.46;1.0262;SB*;v2.0-53-g98db238
roadmap;dimacs;33/1;1;1280852;1933387;1;3850.46;0.958498;SB*;v2.0-53-g98db238
roadmap;dimacs;34/1;1;3590294;190932;1;3850.46;1.74499;SB*;v2.0-53-g98db238
roadmap;dimacs;35/1;1;1189819;652029;1;3850.46;0.928142;SB*;v2.0-53-g98db238
roadmap;dimacs;36/1;1;3448868;1628366;1;3850.46;1.94539;SB*;v2.0-53-g98db238
