domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   2812817;   1167904;0;649;899079;267206;1;0;1414;0.478286;558674;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;   3370462;   2740202;0;4078;10075029;2040671;1;0;3035;3.79937;537108;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;    375732;   2115296;0;1739;4943406;928291;1;0;3035;1.51953;610907;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;   2696341;    488393;0;2239;6162337;3187827;1;0;4067;5.40322;589987;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;   1015669;   1608282;0;3002;7637545;3296427;1;0;4542;5.30788;621044;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;   1531009;   2220134;0;1733;5475732;727639;1;0;4542;1.20216;605277;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;   1796728;   3022556;0;1963;5038119;2624179;1;0;4542;4.09014;641587;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;   3076540;    348633;0;1640;3912147;1731909;1;0;4542;2.75203;629320;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;   3066288;   2768145;0;2263;6350379;2250396;1;0;4542;3.46235;649962;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;   1178125;   1978876;0;1574;2979109;1261941;1;0;4542;2.01337;626780;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;   2869938;   1049793;0;3248;6218375;2312260;1;0;4542;3.55208;650960;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;   3419615;    308712;0;930;2276995;846721;1;0;4542;1.34594;629094;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;   1657412;    705191;0;1040;2369998;600907;1;0;4542;1.01236;593570;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;    804226;   2149998;0;1158;3027922;1041413;1;0;4542;1.6283;639570;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;   1679753;   3477063;0;2131;5353501;3011610;1;0;4631;4.96147;606999;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;   3234685;    580806;0;1093;1481249;747178;1;0;4631;1.26721;589627;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;16/1;1;   3494276;   2525044;0;1397;3764499;1136566;1;0;4631;1.72586;658549;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;17/1;1;   1684832;    899334;0;867;1234650;611045;1;0;4631;1.0126;603442;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;18/1;1;   2326731;   2015380;0;1525;3550739;1006738;1;0;4631;1.53189;657185;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;19/1;1;   1536963;   3178092;0;2359;5947855;1237145;1;0;4631;1.87441;660017;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;20/1;1;    717033;    875747;0;1500;4188019;1394808;1;0;4631;2.26661;615373;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;21/1;1;   2004465;    517105;0;2661;7269316;3253335;1;0;4840;5.27936;616237;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;22/1;1;   2523271;    357779;0;3271;8606551;3451690;1;0;4841;5.69916;605648;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;23/1;1;   1835542;   2285912;0;3508;8928368;3319420;1;0;4984;5.514;601999;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;24/1;1;   1534383;    150970;0;4948;10208667;3031234;1;0;4984;4.86946;622499;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;25/1;1;   1414604;     53833;0;1874;4567000;739861;1;0;4984;1.25648;588837;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;26/1;1;   2645050;   2905814;0;1358;3098292;1792301;1;0;4984;2.93027;611651;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;27/1;1;   1199265;    732890;0;2041;5034426;1978603;1;0;4984;3.08125;642143;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;28/1;1;   1813281;   1843282;0;2133;5409574;1620352;1;0;4984;2.69087;602166;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;29/1;1;   2635344;   1986506;0;1469;2609076;1494788;1;0;4984;2.55158;585829;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;30/1;1;   3430105;   2268771;0;2064;5125980;2293672;1;0;4984;3.58082;640543;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;31/1;1;   2951075;   2910139;0;567;1699858;509319;1;0;4984;0.776183;656184;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;32/1;1;   1292333;    856017;0;1203;2889966;1406541;1;0;4984;2.24087;627677;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;33/1;1;   1280852;   1933387;0;1931;3095325;1530844;1;0;4984;2.54708;601020;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;34/1;1;   3590294;    190932;0;3316;8137641;3174864;1;0;4984;4.9897;636283;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;35/1;1;   1189819;    652029;0;1752;3181798;1407659;1;0;4984;2.22839;631692;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;36/1;1;   3448868;   1628366;0;2966;6143127;1980125;1;0;4984;3.04575;650127;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;37/1;1;    543126;    286557;0;2961;7253709;2632912;1;0;4984;4.03178;653040;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;38/1;1;   2139013;     53282;0;555;1405347;371443;1;0;4984;0.623647;595599;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;39/1;1;    198489;   1142903;0;681;1747837;579313;1;0;4984;0.91591;632500;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;40/1;1;   2642040;    635481;0;407;911085;289643;1;0;4984;0.459534;630298;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;41/1;1;   1321964;    187100;0;4116;6652001;3040373;1;0;4984;4.9931;608915;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;42/1;1;   1824408;   3283788;0;1694;5218643;1767955;1;0;4984;2.91654;606183;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;43/1;1;   3411693;   3298683;0;1423;2372563;896799;1;0;4984;1.41702;632875;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;44/1;1;   3423640;    254967;0;363;766337;212626;1;0;4984;0.325192;653847;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;45/1;1;   1469011;   1550666;0;525;921253;61027;1;0;4984;0.100359;608087;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;46/1;1;   3509967;    695457;0;1834;4158950;1668132;1;0;4984;2.63018;634227;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;47/1;1;   3540311;    733158;0;2843;7792639;2707173;1;0;4984;4.07653;664087;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;48/1;1;   2288902;   1800182;0;3216;7953634;2481159;1;0;4984;3.74862;661886;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;49/1;1;   2394687;   1829005;0;588;1659243;286853;1;0;4984;0.454183;631580;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;50/1;1;    117079;   2400754;0;1559;3490380;1062259;1;0;4984;1.65363;642381;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;51/1;1;   2830656;   1321188;0;2365;6446591;804492;1;0;4984;1.30253;617637;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
