domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   2812817;   1167904;0;649;899079;267206;1;1575;0.558766;478208;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;   3370462;   2740202;0;4078;10075029;2040671;1;3479;4.26408;478572;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    375732;   2115296;0;1739;4943406;928291;1;3479;1.63958;566175;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;   2696341;    488393;0;2239;6162337;3187827;1;4788;5.90132;540189;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;   1015669;   1608282;0;3002;7637545;3296427;1;5284;5.71668;576633;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;   1531009;   2220134;0;1733;5475732;727639;1;5284;1.2735;571370;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;   1796728;   3022556;0;1963;5038119;2624179;1;5284;4.44248;590701;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;   3076540;    348633;0;1640;3912147;1731909;1;5284;2.93151;590790;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;   3066288;   2768145;0;2263;6350379;2250396;1;5284;3.72802;603643;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;   1178125;   1978876;0;1574;2979109;1261941;1;5284;2.14588;588077;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;   2869938;   1049793;0;3248;6218375;2312260;1;5284;3.85058;600497;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;   3419615;    308712;0;930;2276995;846721;1;5284;1.43044;591931;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;   1657412;    705191;0;1040;2369998;600907;1;5284;1.07658;558165;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;    804226;   2149998;0;1158;3027922;1041413;1;5284;1.77552;586539;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;   1679753;   3477063;0;2131;5353501;3011610;1;5575;5.35209;562698;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;   3234685;    580806;0;1093;1481249;747178;1;5575;1.39397;536009;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;   3494276;   2525044;0;1397;3764499;1136566;1;5575;1.84834;614912;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;   1684832;    899334;0;867;1234650;611045;1;5575;1.0894;560899;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   2326731;   2015380;0;1525;3550739;1006738;1;5575;1.62275;620390;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;   1536963;   3178092;0;2359;5947855;1237145;1;5575;2.0345;608082;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    717033;    875747;0;1500;4188019;1394808;1;5575;2.43358;573150;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;   2004465;    517105;0;2661;7269316;3253335;1;5837;5.6737;573406;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;   2523271;    357779;0;3271;8606551;3451690;1;6380;6.14265;561922;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;   1835542;   2285912;0;3508;8928368;3319420;1;6226;5.94812;558062;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;   1534383;    150970;0;4948;10208667;3031234;1;5837;5.25547;576777;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;   1414604;     53833;0;1874;4567000;739861;1;5837;1.3415;551519;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;   2645050;   2905814;0;1358;3098292;1792301;1;5837;3.15211;568604;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;   1199265;    732890;0;2041;5034426;1978603;1;5837;3.26772;605499;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;   1813281;   1843282;0;2133;5409574;1620352;1;5837;2.90635;557522;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;   2635344;   1986506;0;1469;2609076;1494788;1;5837;2.73076;547389;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;   3430105;   2268771;0;2064;5125980;2293672;1;5837;3.91464;585921;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;   2951075;   2910139;0;567;1699858;509319;1;5837;0.833718;610900;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;   1292333;    856017;0;1203;2889966;1406541;1;5837;2.4102;583579;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;   1280852;   1933387;0;1931;3095325;1530844;1;5837;2.76883;552884;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;   3590294;    190932;0;3316;8137641;3174864;1;5837;5.36614;591648;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;   1189819;    652029;0;1752;3181798;1407659;1;5837;2.46931;570063;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;36/1;1;   3448868;   1628366;0;2966;6143127;1980125;1;5837;3.29297;601318;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;37/1;1;    543126;    286557;0;2961;7253709;2632912;1;5837;4.45195;591406;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;38/1;1;   2139013;     53282;0;555;1405347;371443;1;5837;0.663316;559979;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;39/1;1;    198489;   1142903;0;681;1747837;579313;1;5837;0.974279;594607;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
