domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   2812817;   1167904;79979;649;899079;248209;1;1555;0.582899;425818;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;   3370462;   2740202;894384;4078;10075029;1988497;1;3420;5.0173;396328;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    375732;   2115296;442395;1739;4943406;897848;1;3420;1.81528;494605;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;   2696341;    488393;541080;2239;6162337;3014559;1;4603;6.77923;444676;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;   1015669;   1608282;668863;3002;7637545;3178988;1;5169;6.78284;468681;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;   1531009;   2220134;477867;1733;5475732;677847;1;5169;1.3409;505518;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;   1796728;   3022556;441753;1963;5038119;2299441;1;5169;4.80301;478750;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;   3076540;    348633;318818;1640;3912147;1462826;1;5169;3.07705;475399;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;   3066288;   2768145;566067;2263;6350379;2190864;1;5169;4.47463;489619;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;   1178125;   1978876;214786;1574;2979109;1154235;1;5169;2.40567;479797;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;   2869938;   1049793;556049;3248;6218375;2260730;1;5169;4.56259;495493;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;   3419615;    308712;191797;930;2276995;727655;1;5169;1.50649;483014;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;   1657412;    705191;207816;1040;2369998;521362;1;5169;1.10306;472650;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;    804226;   2149998;266777;1158;3027922;789454;1;5169;1.63255;483570;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;   1679753;   3477063;468941;2131;5353501;2819950;1;5169;5.82675;483966;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;   3234685;    580806;131818;1093;1481249;644159;1;5169;1.35427;475650;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;   3494276;   2525044;331325;1397;3764499;1031738;1;5169;2.00014;515832;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;   1684832;    899334;112675;867;1234650;545644;1;5169;1.19571;456334;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   2326731;   2015380;294602;1525;3550739;968912;1;5169;1.9165;505563;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;   1536963;   3178092;535563;2359;5947855;1203103;1;5169;2.35973;509848;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    717033;    875747;363362;1500;4188019;1150219;1;5169;2.45655;468226;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;   2004465;    517105;645275;2661;7269316;3193599;1;5292;6.74735;473312;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;   2523271;    357779;737067;3271;8606551;3352671;1;5407;7.25304;462244;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;   1835542;   2285912;803958;3508;8928368;3294368;1;5407;7.17661;459042;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;   1534383;    150970;925984;4948;10208667;2997522;1;5407;6.30605;475341;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;   1414604;     53833;412767;1874;4567000;714526;1;5407;1.56283;457201;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;   2645050;   2905814;275733;1358;3098292;1616765;1;5407;3.46167;467048;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;   1199265;    732890;455307;2041;5034426;1829005;1;5407;3.79757;481626;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;   1813281;   1843282;474041;2133;5409574;1436403;1;5407;3.06407;468789;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;   2635344;   1986506;240833;1469;2609076;1297915;1;5407;2.73105;475244;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;   3430105;   2268771;455325;2064;5125980;1915076;1;5407;3.96978;482414;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;   2951075;   2910139;150958;567;1699858;434611;1;5407;0.853256;509356;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;   1292333;    856017;257795;1203;2889966;1297380;1;5407;2.71817;477300;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;   1280852;   1933387;280178;1931;3095325;1397724;1;5407;2.9058;481011;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;   3590294;    190932;728007;3316;8137641;3134837;1;5407;6.46862;484622;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;   1189819;    652029;248181;1752;3181798;1303844;1;5407;2.68668;485300;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;36/1;1;   3448868;   1628366;517046;2966;6143127;1939906;1;5407;3.96922;488737;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;37/1;1;    543126;    286557;638459;2961;7253709;2592668;1;5407;5.20542;498070;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;38/1;1;   2139013;     53282;124989;555;1405347;311977;1;5407;0.633191;492706;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;39/1;1;    198489;   1142903;157520;681;1747837;512428;1;5407;1.02641;499245;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;40/1;1;   2642040;    635481;76464;407;911085;241601;1;5407;0.492288;490772;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;41/1;1;   1321964;    187100;611750;4116;6652001;2953124;1;5407;6.35937;464374;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
