domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;2812817;1167904;79631;649;899079;248218;0;1424;0.477401;519936;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;3370462;2740202;894384;4079;10075039;1988403;0;2549;3.91846;507445;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;375732;2115296;442937;1739;4943406;897841;0;2549;1.58678;565824;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;2696341;488393;541230;2241;6162337;3014561;0;3210;5.6769;531022;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1015669;1608282;668736;3002;7637648;3179003;0;3704;5.77764;550225;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1531009;2220134;477867;1733;5475732;677847;0;3704;1.15397;587405;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1796728;3022556;441792;1963;5038161;2299431;0;3704;4.08744;562560;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;3076540;348633;318818;1641;3912147;1462838;0;3704;2.68281;545264;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;3066288;2768145;566149;2267;6350738;2190988;0;3704;3.82257;573172;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1178125;1978876;214898;1574;2979109;1154276;0;3704;2.07911;555178;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;2869938;1049793;556205;3248;6218588;2260756;0;3704;3.95674;571368;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;3419615;308712;191813;930;2276995;727655;0;3704;1.31668;552646;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;1657412;705191;207867;1040;2369998;521357;0;3704;0.967961;538613;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;804226;2149998;266875;1161;3027922;789455;0;3704;1.42071;555676;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1679753;3477063;469068;2134;5353510;2819954;0;3704;4.97473;566856;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;3234685;580806;131945;1094;1481249;644124;0;3704;1.17057;550267;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;3494276;2525044;331088;1397;3764499;1031747;0;3704;1.78222;578911;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1684832;899334;112709;867;1234650;545641;0;3704;1.03787;525732;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;2326731;2015380;294645;1526;3550929;968931;0;3704;1.68358;575517;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;1536963;3178092;535530;2359;5947855;1203097;0;3704;2.0152;597012;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;717033;875747;363235;1501;4188060;1150337;0;3704;2.0436;562899;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;2004465;517105;645289;2660;7269774;3193635;0;3809;5.77178;553319;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;2523271;357779;737035;3275;8606551;3352677;0;3884;6.15021;545132;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1835542;2285912;803888;3508;8928368;3294370;0;3884;6.03961;545460;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1534383;150970;926100;4948;10208890;2997507;0;3884;5.36915;558284;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;1414604;53833;412574;1874;4567000;714519;0;3884;1.32481;539337;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;2645050;2905814;275733;1358;3098292;1616749;0;3884;3.00791;537500;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1199265;732890;455344;2017;5034619;1829117;0;3884;3.28591;556654;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;1813281;1843282;474161;2133;5409574;1436233;0;3884;2.53834;565816;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;2635344;1986506;240833;1470;2609076;1297922;0;3884;2.38002;545341;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;3430105;2268771;455325;2065;5125980;1915059;0;3884;3.37037;568205;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;2951075;2910139;150958;568;1699858;434607;0;3884;0.753401;576860;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1292333;856017;257795;1202;2890447;1297584;0;3884;2.35128;551862;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;1280852;1933387;280460;1930;3095538;1397637;0;3884;2.49821;559455;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;3590294;190932;728007;3316;8137641;3134836;0;3884;5.54525;565320;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1189819;652029;248181;1752;3181798;1303838;0;3884;2.33631;558076;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;3448868;1628366;517046;2968;6143340;1939912;0;3884;3.33957;580888;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;543126;286557;638459;2962;7254049;2592672;0;3884;4.43858;584122;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;2139013;53282;125012;556;1405347;311979;0;3884;0.554308;562826;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;198489;1142903;157520;681;1747837;512427;0;3884;0.901107;568664;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;2642040;635481;76428;407;911085;241612;0;3884;0.443838;544370;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;1321964;187100;611814;4117;6652214;2953151;0;3884;5.41568;545297;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;1824408;3283788;442669;1695;5218643;1639087;0;3884;3.08058;532071;mA*;? Unchecked;v1.6.0-12-g7668b80
