domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;2812817;1167904;0;649;899079;267206;0;1434;0.429945;621489;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;3370462;2740202;0;4079;10075029;2040671;0;2588;3.36698;606083;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;375732;2115296;0;1739;4943406;928291;0;2588;1.39533;665284;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;2696341;488393;0;2241;6162337;3187827;0;3325;4.91082;649144;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1015669;1608282;0;3002;7637545;3296427;0;3781;4.90093;672612;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1531009;2220134;0;1733;5475732;727639;0;3781;1.10078;661020;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1796728;3022556;0;1966;5038119;2624179;0;3781;3.75779;698331;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;3076540;348633;0;1641;3912147;1731909;0;3781;2.51971;687346;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;3066288;2768145;0;2264;6350379;2250396;0;3781;3.20532;702081;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1178125;1978876;0;1574;2979109;1261941;0;3781;1.86082;678163;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;2869938;1049793;0;3249;6218375;2312260;0;3781;3.21209;719861;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;3419615;308712;0;930;2276995;846721;0;3781;1.23924;683260;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;1657412;705191;0;1040;2369998;600907;0;3781;0.926832;648345;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;804226;2149998;0;1161;3027922;1041413;0;3781;1.49854;694950;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1679753;3477063;0;2133;5353501;3011610;0;3781;4.53509;664068;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;3234685;580806;0;1094;1481249;747178;0;3781;1.1659;640857;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;3494276;2525044;0;1397;3764499;1136566;0;3781;1.59896;710815;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1684832;899334;0;867;1234650;611045;0;3781;0.934172;654103;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;2326731;2015380;0;1527;3550739;1006738;0;3781;1.44512;696647;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;1536963;3178092;0;2359;5947855;1237145;0;3781;1.7098;723560;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;717033;875747;0;1500;4188019;1394808;0;3781;2.04024;683648;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;2004465;517105;0;2666;7269316;3253335;0;3887;4.80406;677205;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;2523271;357779;0;3275;8606551;3451690;0;3954;5.11894;674297;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1835542;2285912;0;3508;8928368;3319420;0;4023;4.96066;669148;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1534383;150970;0;4949;10208667;3031234;0;4023;4.49313;674637;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;1414604;53833;0;1874;4567000;739861;0;4023;1.1434;647073;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;2645050;2905814;0;1358;3098292;1792301;0;4023;2.73054;656390;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1199265;732890;0;2044;5034426;1978603;0;4023;2.83963;696783;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;1813281;1843282;0;2134;5409574;1620352;0;4023;2.46295;657891;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;2635344;1986506;0;1470;2609076;1494788;0;4023;2.3427;638062;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;3430105;2268771;0;2065;5125980;2293672;0;4023;3.26239;703066;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;2951075;2910139;0;568;1699858;509319;0;4023;0.726078;701466;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1292333;856017;0;1204;2889966;1406541;0;4023;2.11795;664104;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;1280852;1933387;0;1931;3095325;1530844;0;4023;2.3689;646224;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;3590294;190932;0;3316;8137641;3174864;0;4023;4.63014;685695;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1189819;652029;0;1752;3181798;1407659;0;4023;2.04387;688723;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;3448868;1628366;0;2969;6143127;1980125;0;4023;2.7697;714924;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;543126;286557;0;2961;7253709;2632912;0;4023;3.66213;718956;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;2139013;53282;0;556;1405347;371443;0;4023;0.582935;637194;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;198489;1142903;0;681;1747837;579313;0;4023;0.848901;682427;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;2642040;635481;0;407;911085;289643;0;4023;0.423933;683229;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;1321964;187100;0;4118;6652001;3040373;0;4023;4.51427;673503;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;1824408;3283788;0;1695;5218643;1767955;0;4023;2.62898;672486;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;3411693;3298683;0;1423;2372563;896799;0;4023;1.30619;686576;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;3423640;254967;0;363;766337;212626;0;4023;0.304019;699383;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;1469011;1550666;0;525;921253;61027;0;4023;0.101107;603586;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;3509967;695457;0;1835;4158950;1668132;0;4023;2.44232;683011;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;3540311;733158;0;2844;7792639;2707173;0;4023;3.79266;713793;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;2288902;1800182;0;3217;7953634;2481159;0;4023;3.39516;730792;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;2394687;1829005;0;588;1659243;286853;0;4023;0.419335;684067;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;117079;2400754;0;1559;3490380;1062259;0;4023;1.55157;684637;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;2830656;1321188;0;2366;6446591;804492;0;4023;1.18787;677253;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;160346;2384207;0;1203;2468076;776630;0;4023;1.17351;661799;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;2002304;2131753;0;1853;4293151;2526580;0;4023;3.64137;693854;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;2453533;1004026;0;1527;4252334;2413222;0;4023;3.49138;691194;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;2616874;2350860;0;1037;2512941;1327094;0;4023;1.98041;670111;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;2253577;3002926;0;4573;9690555;3075410;0;4023;4.67271;658164;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;57/1;1;3097137;1350752;0;3210;7619612;2658855;0;4023;3.72166;714428;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;58/1;1;2805668;695504;0;1561;3200920;1165671;0;4023;1.70826;682373;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;59/1;1;1802450;1113688;0;2849;4735355;2533222;0;4023;3.60489;702719;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;60/1;1;2792285;3449606;0;1473;3602185;1936864;0;4023;2.87946;672649;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;61/1;1;1129205;1002279;0;1246;3346033;1556499;0;4023;2.42757;641175;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;62/1;1;721598;2152430;0;1098;1975263;983865;0;4023;1.46304;672482;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;63/1;1;2567681;3274492;0;691;1631569;611634;0;4023;0.918348;666015;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;64/1;1;332500;775001;0;1268;4316036;996983;0;4023;1.44891;688093;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;65/1;1;1412157;2238289;0;439;1673007;67739;0;4023;0.10602;638926;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;66/1;1;3083484;2979802;0;4105;10208255;3230506;0;4023;4.80589;672197;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;67/1;1;484071;2040502;0;4122;9545983;2222094;0;4023;3.30632;672074;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;68/1;1;2206161;1141678;0;4205;7342189;3260595;0;4023;4.83491;674386;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;69/1;1;2369488;627486;0;534;1115597;360288;0;4023;0.578294;623019;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;70/1;1;2846010;3323594;0;2143;5565326;2091870;0;4023;3.06962;681476;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;71/1;1;2840049;3154231;0;1891;4002100;1241255;0;4023;1.77329;699972;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;72/1;1;2464153;699969;0;1152;2957912;1251770;0;4023;1.86543;671035;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
