domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;883356;105386;0;1710;4657642;922020;0;2472;3.10238;297197;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;149794;92632;0;1016;4590488;943758;0;2484;2.80775;336126;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;623571;945900;0;1104;4177511;497435;0;2100;1.5451;321943;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;294831;573571;0;722;2906673;747712;0;1908;2.16235;345787;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;936193;1006096;0;993;3086893;694096;0;1719;1.93979;357820;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;815886;19665;0;1207;2408799;510044;0;1719;1.51907;335760;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;298849;646451;0;2548;8494889;1031390;0;3514;3.51443;293473;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;310391;1015181;0;913;3124733;742661;0;1978;2.11631;350923;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;868761;91493;0;1822;4881165;941300;0;2746;2.83187;332395;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;890642;1062512;0;1091;5039189;906376;0;2746;2.69603;336189;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;582136;473282;0;1985;7200513;928041;0;2746;2.80254;331143;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;564482;405363;0;1209;4923841;888532;0;2746;2.64458;335982;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;291936;838165;0;591;2825486;509214;0;2170;1.51102;337001;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;955479;136626;0;1191;2744410;664694;0;2170;1.90562;348808;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;643325;1010122;0;1601;6038027;501632;0;2746;1.62217;309234;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;456649;695270;0;837;2401150;528967;0;2170;1.59456;331733;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;978938;710219;0;1208;3573732;640768;0;2170;1.82522;351063;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;875760;608511;0;1534;4978546;988242;0;2746;3.09316;319493;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;821322;475213;0;1517;3984698;907620;0;2170;2.6414;343614;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;690387;193137;0;1205;2917576;732118;0;2170;2.11609;345977;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;1026795;530173;0;1210;4467602;283819;0;2746;0.955525;297029;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;1013587;979915;0;750;2939875;689647;0;2170;1.95343;353044;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;344428;623929;0;1075;3900671;899527;0;2170;2.61188;344398;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1047069;734986;0;1767;5353943;866558;0;2746;2.51162;345019;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;916282;284238;0;2561;8113534;815624;0;2746;2.42641;336145;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;873798;670800;0;904;1591484;298317;0;1978;0.833951;357715;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;887865;489833;0;647;2035896;292669;0;1978;0.811324;360730;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;208817;287658;0;806;2904108;623132;0;2170;1.77653;350759;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;243713;720933;0;1740;4505637;830748;0;2746;2.45474;338426;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;704466;104814;0;782;3181549;812816;0;2170;2.2816;356248;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;710104;785562;0;443;1525444;375487;0;1978;1.04859;358088;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;1026321;586782;0;2584;9099213;1009199;0;3514;3.4191;295165;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;206993;152843;0;464;1239558;114682;0;1978;0.314077;365140;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;845953;150468;0;516;1553352;416455;0;1978;1.15145;361678;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;693526;1020576;0;2002;5686804;1016110;0;2746;3.2281;314771;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;879213;783527;0;901;2204765;449502;0;2362;1.32335;339671;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;367499;724519;0;985;3418714;771368;0;2362;2.17802;354160;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;979339;55064;0;1391;4097650;737639;0;2362;2.12129;347732;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;559162;220555;0;1058;4111286;814935;0;2362;2.26594;359645;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;762591;343284;0;893;2950918;557968;0;2362;1.66981;334150;K0;? Unchecked;v1.6.0-12-g7668b80
