domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;883356;105386;445644;1710;4657642;877407;0;2394;3.28349;267218;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;149794;92632;400214;1016;4590488;910770;0;2422;3.17707;286670;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;623571;945900;374997;1104;4177511;485645;0;2038;1.73971;279153;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;294831;573571;247060;722;2906673;687649;0;1846;2.25434;305033;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;936193;1006096;258045;993;3086893;586108;0;1846;1.96558;298186;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;815886;19665;223168;1207;2408799;461077;0;1846;1.56962;293750;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;298849;646451;714196;2548;8494889;1029345;0;3511;3.96268;259760;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;310391;1015181;264715;913;3124733;685256;0;2167;2.25853;303407;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;868761;91493;431498;1822;4881165;914058;0;2743;3.16595;288715;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;890642;1062512;468826;1091;5039189;904997;0;2743;3.13115;289030;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;582136;473282;626550;1985;7200513;926034;0;2743;3.20553;288886;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;564482;405363;445191;1207;4923979;886678;0;2743;3.09369;286608;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;291936;838165;269142;591;2825486;465624;0;2167;1.54939;300521;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;955479;136626;234942;1191;2744410;622403;0;2167;2.10413;295801;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;643325;1010122;541703;1601;6038027;477489;0;2743;1.73264;275584;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;456649;695270;213634;837;2401150;448965;0;2167;1.54828;289977;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;978938;710219;320692;1208;3573732;597904;0;2167;1.99635;299499;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;875760;608511;449153;1534;4978546;950914;0;2743;3.29091;288951;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;821322;475213;334591;1517;3984698;774053;0;2167;2.53515;305328;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;690387;193137;255035;1205;2917576;640325;0;2167;2.18302;293321;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;1026795;530173;397095;1210;4467602;269141;0;2743;1.03509;260018;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;1013587;979915;252415;750;2939875;624719;0;2167;2.0739;301229;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;344428;623929;328816;1075;3900672;848606;0;2167;2.77103;306242;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1047069;734986;505413;1767;5353943;819346;0;2743;2.7712;295665;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;916282;284238;663777;2561;8113534;807982;0;2743;2.79924;288643;K*;? Unchecked;v1.6.0-12-g7668b80
