domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;883356;105386;0;1710;4657642;922019;1;1220;1.7471;527743;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;149794;92632;0;1016;4590488;943756;1;1418;1.60404;588361;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;623571;945900;0;1104;4177511;497435;1;1418;0.891364;558061;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;294831;573571;0;722;2906673;747711;1;1445;1.25321;596637;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;936193;1006096;0;993;3086893;694095;1;1445;1.06252;653254;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;815886;19665;0;1207;2408799;510043;1;1445;0.785162;649602;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;298849;646451;0;2548;8494889;1031389;1;1500;1.84904;557798;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;310391;1015181;0;913;3124733;742657;1;1500;1.20573;615939;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;868761;91493;0;1822;4881165;941299;1;1503;1.5504;607134;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;890642;1062512;0;1091;5039189;906375;1;1547;1.48221;611503;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;582136;473282;0;1985;7200513;928040;1;1547;1.51224;613686;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;564482;405363;0;1209;4923841;888531;1;1547;1.45832;609285;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;291936;838165;0;591;2825486;509213;1;1547;0.79698;638928;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;955479;136626;0;1191;2744410;664693;1;1547;1.10271;602779;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;643325;1010122;0;1601;6038027;501630;1;1547;0.89071;563180;BELA0;? Unchecked;v1.6.0-12-g7668b80
