domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;883356;105386;445644;1710;4657642;877406;1;1181;1.9971;439339;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;149794;92632;400214;1016;4590488;910768;1;1323;1.85214;491737;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;623571;945900;374997;1104;4177511;485644;1;1181;1.03294;470156;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;294831;573571;247060;722;2906673;687648;1;1203;1.29978;529051;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;936193;1006096;258045;993;3086893;586107;1;1203;1.11171;527214;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;815886;19665;223168;1207;2408799;461076;1;1203;0.886481;520120;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;298849;646451;714196;2548;8494889;1029344;1;1322;2.23358;460850;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;310391;1015181;264715;913;3124733;685251;1;1368;1.28821;531941;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;868761;91493;431498;1822;4881165;914057;1;1463;1.78612;511755;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;890642;1062512;468826;1091;5039189;904996;1;1539;1.83607;492899;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;582136;473282;626550;1985;7200513;926033;1;1368;1.81102;511333;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;564482;405363;445191;1207;4923979;886677;1;1368;1.75019;506618;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;291936;838165;269142;591;2825486;465623;1;1368;0.91425;509295;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;955479;136626;234942;1191;2744410;622402;1;1368;1.19578;520499;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;643325;1010122;541703;1601;6038027;477488;1;1368;1.05362;453189;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;456649;695270;213634;837;2401150;448963;1;1368;0.894501;501914;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;978938;710219;320692;1208;3573732;597903;1;1368;1.14051;524243;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;875760;608511;449153;1534;4978546;950913;1;1427;1.85782;511844;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;821322;475213;334591;1517;3984698;774052;1;1427;1.46233;529327;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;690387;193137;255035;1205;2917576;640324;1;1427;1.25817;508932;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;1026795;530173;397095;1210;4467602;269139;1;1427;0.660182;407674;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;1013587;979915;252415;750;2939875;624717;1;1427;1.19668;522042;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;344428;623929;328816;1075;3900672;848605;1;1427;1.61561;525254;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1047069;734986;505413;1767;5353943;819345;1;1427;1.67074;490408;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;916282;284238;663777;2561;8113534;807981;1;1427;1.63892;492995;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;873798;670800;135502;904;1591484;263397;1;1427;0.498816;528044;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;887865;489833;167234;647;2035896;255723;1;1427;0.55487;460870;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;208817;287658;223731;806;2904108;576522;1;1427;1.13502;507940;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;243713;720933;427904;1740;4505637;775387;1;1427;1.60378;483474;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;704466;104814;279050;782;3181549;777641;1;1427;1.52925;508512;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;710104;785562;133823;443;1525444;329502;1;1427;0.630427;522665;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;1026321;586782;772233;2584;9099213;1007796;1;1427;2.1943;459278;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;206993;152843;104655;464;1239558;96171;1;1427;0.202387;475183;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;845953;150468;129558;516;1553352;354589;1;1427;0.725098;489022;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;693526;1020576;493138;2002;5686804;1014928;1;1427;2.03717;498205;BELA*;? Unchecked;v1.6.0-12-g7668b80
