domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;883356;105386;1;1168.49;0.354638;PSBv2;
roadmap;dimacs;1;1;149794;92632;1;1168.68;0.353599;PSBv2;
roadmap;dimacs;2;1;623571;945900;1;1168.68;0.485318;PSBv2;
roadmap;dimacs;3;1;294831;573571;1;1168.68;0.163976;PSBv2;
roadmap;dimacs;4;1;936193;1006096;1;1168.68;0.361438;PSBv2;
roadmap;dimacs;5;1;815886;19665;1;1168.68;0.289003;PSBv2;
roadmap;dimacs;6;1;298849;646451;1;1168.68;0.433801;PSBv2;
roadmap;dimacs;7;1;310391;1015181;1;1168.68;0.202624;PSBv2;
roadmap;dimacs;8;1;868761;91493;1;1168.68;0.367753;PSBv2;
roadmap;dimacs;9;1;890642;1062512;1;1168.68;0.407756;PSBv2;
roadmap;dimacs;10;1;582136;473282;1;1168.68;0.489877;PSBv2;
roadmap;dimacs;11;1;564482;405363;1;1168.68;0.462538;PSBv2;
roadmap;dimacs;12;1;291936;838165;1;1168.68;0.371616;PSBv2;
roadmap;dimacs;13;1;955479;136626;1;1168.68;0.275821;PSBv2;
roadmap;dimacs;14;1;643325;1010122;1;1168.68;0.521968;PSBv2;
roadmap;dimacs;15;1;456649;695270;1;1168.68;0.332709;PSBv2;
roadmap;dimacs;16;1;978938;710219;1;1168.68;0.472932;PSBv2;
roadmap;dimacs;17;1;875760;608511;1;1168.68;0.357809;PSBv2;
roadmap;dimacs;18;1;821322;475213;1;1168.68;0.322808;PSBv2;
roadmap;dimacs;19;1;690387;193137;1;1168.68;0.305524;PSBv2;
roadmap;dimacs;20;1;1026795;530173;1;1168.68;0.483669;PSBv2;
roadmap;dimacs;21;1;1013587;979915;1;1168.68;0.226367;PSBv2;
roadmap;dimacs;22;1;344428;623929;1;1168.68;0.257467;PSBv2;
roadmap;dimacs;23;1;1047069;734986;1;1168.68;0.435508;PSBv2;
roadmap;dimacs;24;1;916282;284238;1;1168.68;0.527978;PSBv2;
roadmap;dimacs;25;1;873798;670800;1;1168.68;0.185267;PSBv2;
roadmap;dimacs;26;1;887865;489833;1;1168.68;0.276331;PSBv2;
roadmap;dimacs;27;1;208817;287658;1;1168.68;0.0999264;PSBv2;
roadmap;dimacs;28;1;243713;720933;1;1168.68;0.38519;PSBv2;
roadmap;dimacs;29;1;704466;104814;1;1168.68;0.190642;PSBv2;
roadmap;dimacs;30;1;710104;785562;1;1168.68;0.141712;PSBv2;
roadmap;dimacs;31;1;1026321;586782;1;1168.68;0.492936;PSBv2;
roadmap;dimacs;32;1;206993;152843;1;1168.68;0.137591;PSBv2;
