domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;883356;105386;1;1168.38;0.355739;SB*;v2.0-53-g98db238
roadmap;dimacs;1;1;149794;92632;1;1168.57;0.356599;SB*;v2.0-53-g98db238
roadmap;dimacs;2;1;623571;945900;1;1168.57;0.488513;SB*;v2.0-53-g98db238
roadmap;dimacs;3;1;294831;573571;1;1168.57;0.164969;SB*;v2.0-53-g98db238
roadmap;dimacs;4;1;936193;1006096;1;1168.57;0.36334;SB*;v2.0-53-g98db238
roadmap;dimacs;5;1;815886;19665;1;1168.57;0.292061;SB*;v2.0-53-g98db238
roadmap;dimacs;6;1;298849;646451;1;1168.57;0.430572;SB*;v2.0-53-g98db238
roadmap;dimacs;7;1;310391;1015181;1;1168.57;0.197351;SB*;v2.0-53-g98db238
roadmap;dimacs;8;1;868761;91493;1;1168.57;0.371423;SB*;v2.0-53-g98db238
roadmap;dimacs;9;1;890642;1062512;1;1168.57;0.408335;SB*;v2.0-53-g98db238
roadmap;dimacs;10;1;582136;473282;1;1168.57;0.492943;SB*;v2.0-53-g98db238
roadmap;dimacs;11;1;564482;405363;1;1168.57;0.439597;SB*;v2.0-53-g98db238
roadmap;dimacs;12;1;291936;838165;1;1168.57;0.371172;SB*;v2.0-53-g98db238
roadmap;dimacs;13;1;955479;136626;1;1168.57;0.277293;SB*;v2.0-53-g98db238
roadmap;dimacs;14;1;643325;1010122;1;1168.57;0.556448;SB*;v2.0-53-g98db238
roadmap;dimacs;15;1;456649;695270;1;1168.57;0.335044;SB*;v2.0-53-g98db238
roadmap;dimacs;16;1;978938;710219;1;1168.57;0.473445;SB*;v2.0-53-g98db238
roadmap;dimacs;17;1;875760;608511;1;1168.57;0.35605;SB*;v2.0-53-g98db238
roadmap;dimacs;18;1;821322;475213;1;1168.57;0.323254;SB*;v2.0-53-g98db238
roadmap;dimacs;19;1;690387;193137;1;1168.57;0.296454;SB*;v2.0-53-g98db238
roadmap;dimacs;20;1;1026795;530173;1;1168.57;0.483707;SB*;v2.0-53-g98db238
roadmap;dimacs;21;1;1013587;979915;1;1168.57;0.229115;SB*;v2.0-53-g98db238
roadmap;dimacs;22;1;344428;623929;1;1168.57;0.262048;SB*;v2.0-53-g98db238
roadmap;dimacs;23;1;1047069;734986;1;1168.57;0.440925;SB*;v2.0-53-g98db238
roadmap;dimacs;24;1;916282;284238;1;1168.57;0.526576;SB*;v2.0-53-g98db238
roadmap;dimacs;25;1;873798;670800;1;1168.57;0.189036;SB*;v2.0-53-g98db238
roadmap;dimacs;26;1;887865;489833;1;1168.57;0.277677;SB*;v2.0-53-g98db238
roadmap;dimacs;27;1;208817;287658;1;1168.57;0.101399;SB*;v2.0-53-g98db238
roadmap;dimacs;28;1;243713;720933;1;1168.57;0.386212;SB*;v2.0-53-g98db238
roadmap;dimacs;29;1;704466;104814;1;1168.57;0.200039;SB*;v2.0-53-g98db238
roadmap;dimacs;30;1;710104;785562;1;1168.57;0.142878;SB*;v2.0-53-g98db238
roadmap;dimacs;31;1;1026321;586782;1;1168.57;0.489013;SB*;v2.0-53-g98db238
roadmap;dimacs;32;1;206993;152843;1;1168.57;0.141034;SB*;v2.0-53-g98db238
roadmap;dimacs;33;1;845953;150468;1;1168.57;0.176683;SB*;v2.0-53-g98db238
roadmap;dimacs;34;1;693526;1020576;1;1168.57;0.261932;SB*;v2.0-53-g98db238
roadmap;dimacs;35;1;879213;783527;1;1168.57;0.243807;SB*;v2.0-53-g98db238
roadmap;dimacs;36;1;367499;724519;1;1168.57;0.26761;SB*;v2.0-53-g98db238
roadmap;dimacs;37;1;979339;55064;1;1168.57;0.482998;SB*;v2.0-53-g98db238
roadmap;dimacs;38;1;559162;220555;1;1168.57;0.372898;SB*;v2.0-53-g98db238
roadmap;dimacs;39;1;762591;343284;1;1168.57;0.359565;SB*;v2.0-53-g98db238
roadmap;dimacs;40;1;1044400;117480;1;1168.57;0.432853;SB*;v2.0-53-g98db238
roadmap;dimacs;41;1;363248;170298;1;1168.57;0.231385;SB*;v2.0-53-g98db238
roadmap;dimacs;42;1;1009437;144357;1;1168.57;0.308001;SB*;v2.0-53-g98db238
roadmap;dimacs;43;1;543673;860935;1;1168.57;0.25074;SB*;v2.0-53-g98db238
roadmap;dimacs;44;1;261055;180190;1;1168.57;0.519839;SB*;v2.0-53-g98db238
roadmap;dimacs;45;1;618550;765686;1;1168.57;0.511976;SB*;v2.0-53-g98db238
roadmap;dimacs;46;1;75381;791488;1;1168.57;0.438896;SB*;v2.0-53-g98db238
roadmap;dimacs;47;1;957081;528466;1;1168.57;0.0628424;SB*;v2.0-53-g98db238
roadmap;dimacs;48;1;730492;1045754;1;1168.57;0.460839;SB*;v2.0-53-g98db238
roadmap;dimacs;49;1;873454;405061;1;1168.57;0.150527;SB*;v2.0-53-g98db238
roadmap;dimacs;50;1;242881;280556;1;1168.57;0.152849;SB*;v2.0-53-g98db238
roadmap;dimacs;51;1;1018486;744416;1;1168.57;0.465908;SB*;v2.0-53-g98db238
roadmap;dimacs;52;1;458576;200599;1;1168.57;0.433091;SB*;v2.0-53-g98db238
roadmap;dimacs;53;1;283625;404396;1;1168.57;0.423526;SB*;v2.0-53-g98db238
roadmap;dimacs;54;1;1008244;454501;1;1168.57;0.363258;SB*;v2.0-53-g98db238
roadmap;dimacs;55;1;639856;761049;1;1168.57;0.43816;SB*;v2.0-53-g98db238
roadmap;dimacs;56;1;1065961;78609;1;1168.57;0.460551;SB*;v2.0-53-g98db238
roadmap;dimacs;57;1;145287;644094;1;1168.57;0.383287;SB*;v2.0-53-g98db238
roadmap;dimacs;58;1;499326;463575;1;1168.57;0.462701;SB*;v2.0-53-g98db238
roadmap;dimacs;59;1;42027;799520;1;1168.57;0.316899;SB*;v2.0-53-g98db238
roadmap;dimacs;60;1;875815;99474;1;1168.57;0.365869;SB*;v2.0-53-g98db238
roadmap;dimacs;61;1;841151;944170;1;1168.57;0.0812421;SB*;v2.0-53-g98db238
roadmap;dimacs;62;1;1008492;209637;1;1168.57;0.304761;SB*;v2.0-53-g98db238
roadmap;dimacs;63;1;576155;823564;1;1168.57;0.443363;SB*;v2.0-53-g98db238
roadmap;dimacs;64;1;803438;501581;1;1168.57;0.235117;SB*;v2.0-53-g98db238
roadmap;dimacs;65;1;820228;432046;1;1168.57;0.162864;SB*;v2.0-53-g98db238
roadmap;dimacs;66;1;523760;399722;1;1168.57;0.191235;SB*;v2.0-53-g98db238
roadmap;dimacs;67;1;340158;180797;1;1168.57;0.26509;SB*;v2.0-53-g98db238
roadmap;dimacs;68;1;81505;409710;1;1168.57;0.45686;SB*;v2.0-53-g98db238
roadmap;dimacs;69;1;281091;233813;1;1168.57;0.0976764;SB*;v2.0-53-g98db238
roadmap;dimacs;70;1;286191;713292;1;1168.57;0.109654;SB*;v2.0-53-g98db238
roadmap;dimacs;71;1;927103;450702;1;1168.57;0.0591493;SB*;v2.0-53-g98db238
roadmap;dimacs;72;1;399509;654693;1;1168.57;0.0509792;SB*;v2.0-53-g98db238
roadmap;dimacs;73;1;69391;916399;1;1168.57;0.370329;SB*;v2.0-53-g98db238
roadmap;dimacs;74;1;95369;29852;1;1168.57;0.473647;SB*;v2.0-53-g98db238
roadmap;dimacs;75;1;399899;58855;1;1168.57;0.517433;SB*;v2.0-53-g98db238
roadmap;dimacs;76;1;860874;76988;1;1168.57;0.19236;SB*;v2.0-53-g98db238
roadmap;dimacs;77;1;756021;168045;1;1168.57;0.428441;SB*;v2.0-53-g98db238
roadmap;dimacs;78;1;955341;203191;1;1168.57;0.247554;SB*;v2.0-53-g98db238
roadmap;dimacs;79;1;206250;889026;1;1168.57;0.181768;SB*;v2.0-53-g98db238
roadmap;dimacs;80;1;925527;539386;1;1168.57;0.309634;SB*;v2.0-53-g98db238
roadmap;dimacs;81;1;63851;893869;1;1168.57;0.0494001;SB*;v2.0-53-g98db238
roadmap;dimacs;82;1;829760;490849;1;1168.57;0.128187;SB*;v2.0-53-g98db238
roadmap;dimacs;83;1;745383;65573;1;1168.57;0.309208;SB*;v2.0-53-g98db238
roadmap;dimacs;84;1;660170;779974;1;1168.57;0.308176;SB*;v2.0-53-g98db238
roadmap;dimacs;85;1;617638;129056;1;1168.57;0.515535;SB*;v2.0-53-g98db238
roadmap;dimacs;86;1;911994;444759;1;1168.57;0.529788;SB*;v2.0-53-g98db238
roadmap;dimacs;87;1;10763;141032;1;1168.57;0.394067;SB*;v2.0-53-g98db238
roadmap;dimacs;88;1;410479;564107;1;1168.57;0.28978;SB*;v2.0-53-g98db238
roadmap;dimacs;89;1;662614;317257;1;1168.57;0.0334462;SB*;v2.0-53-g98db238
roadmap;dimacs;90;1;678985;821905;1;1168.57;0.164905;SB*;v2.0-53-g98db238
roadmap;dimacs;91;1;782289;952811;1;1168.57;0.205613;SB*;v2.0-53-g98db238
roadmap;dimacs;92;1;514457;779839;1;1168.57;0.0987893;SB*;v2.0-53-g98db238
roadmap;dimacs;93;1;1012706;632574;1;1168.57;0.300285;SB*;v2.0-53-g98db238
roadmap;dimacs;94;1;451563;498369;1;1168.57;0.435106;SB*;v2.0-53-g98db238
roadmap;dimacs;95;1;42793;792875;1;1168.57;0.283769;SB*;v2.0-53-g98db238
roadmap;dimacs;96;1;870793;417684;1;1168.57;0.206514;SB*;v2.0-53-g98db238
roadmap;dimacs;97;1;675683;967864;1;1168.57;0.103556;SB*;v2.0-53-g98db238
roadmap;dimacs;98;1;190012;547880;1;1168.57;0.40476;SB*;v2.0-53-g98db238
roadmap;dimacs;99;1;581175;726674;1;1168.57;0.0660785;SB*;v2.0-53-g98db238
roadmap;dimacs;0;5;883356;105386;1;1168.57;0.400261;SB*;v2.0-53-g98db238
roadmap;dimacs;1;5;149794;92632;1;1168.57;0.393338;SB*;v2.0-53-g98db238
roadmap;dimacs;2;5;623571;945900;1;1168.57;0.529038;SB*;v2.0-53-g98db238
roadmap;dimacs;3;5;294831;573571;1;1168.57;0.199144;SB*;v2.0-53-g98db238
roadmap;dimacs;4;5;936193;1006096;1;1168.57;0.395198;SB*;v2.0-53-g98db238
roadmap;dimacs;5;5;815886;19665;1;1168.57;0.325825;SB*;v2.0-53-g98db238
roadmap;dimacs;6;5;298849;646451;1;1168.57;0.472379;SB*;v2.0-53-g98db238
roadmap;dimacs;7;5;310391;1015181;1;1168.57;0.227795;SB*;v2.0-53-g98db238
roadmap;dimacs;8;5;868761;91493;1;1168.57;0.413102;SB*;v2.0-53-g98db238
roadmap;dimacs;9;5;890642;1062512;5;1168.57;1.27546;SB*;v2.0-53-g98db238
roadmap;dimacs;10;5;582136;473282;1;1168.57;0.536043;SB*;v2.0-53-g98db238
roadmap;dimacs;11;5;564482;405363;5;1168.57;1.28295;SB*;v2.0-53-g98db238
roadmap;dimacs;12;5;291936;838165;1;1168.57;0.419663;SB*;v2.0-53-g98db238
roadmap;dimacs;13;5;955479;136626;1;1168.57;0.315303;SB*;v2.0-53-g98db238
roadmap;dimacs;14;5;643325;1010122;3;1168.57;0.622629;SB*;v2.0-53-g98db238
roadmap;dimacs;15;5;456649;695270;1;1168.57;0.370963;SB*;v2.0-53-g98db238
roadmap;dimacs;16;5;978938;710219;2;1168.57;0.519101;SB*;v2.0-53-g98db238
roadmap;dimacs;17;5;875760;608511;1;1168.57;0.396328;SB*;v2.0-53-g98db238
roadmap;dimacs;18;5;821322;475213;1;1168.57;0.361031;SB*;v2.0-53-g98db238
roadmap;dimacs;19;5;690387;193137;1;1168.57;0.333558;SB*;v2.0-53-g98db238
roadmap;dimacs;20;5;1026795;530173;1;1168.57;0.520628;SB*;v2.0-53-g98db238
roadmap;dimacs;21;5;1013587;979915;1;1168.57;0.264332;SB*;v2.0-53-g98db238
roadmap;dimacs;22;5;344428;623929;1;1168.57;0.294513;SB*;v2.0-53-g98db238
roadmap;dimacs;23;5;1047069;734986;1;1168.57;0.481481;SB*;v2.0-53-g98db238
roadmap;dimacs;24;5;916282;284238;1;1168.57;0.564349;SB*;v2.0-53-g98db238
roadmap;dimacs;25;5;873798;670800;1;1168.57;0.221372;SB*;v2.0-53-g98db238
roadmap;dimacs;26;5;887865;489833;1;1168.57;0.310078;SB*;v2.0-53-g98db238
roadmap;dimacs;27;5;208817;287658;1;1168.57;0.131571;SB*;v2.0-53-g98db238
