domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    883356;    105386;0;1710;4657642;922019;1;0;1220;1.72205;535418;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;    149794;     92632;0;1016;4590488;943756;1;0;1418;1.58784;594366;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;    623571;    945900;0;1104;4177511;497435;1;0;1418;0.900498;552400;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;    294831;    573571;0;722;2906673;747711;1;0;1444;1.21543;615183;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;    936193;   1006096;0;993;3086893;694095;1;0;1444;1.09417;634357;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;    815886;     19665;0;1207;2408799;510043;1;0;1444;0.774596;658463;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;    298849;    646451;0;2548;8494889;1031389;1;0;1500;1.84144;560101;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;    310391;   1015181;0;913;3124733;742657;1;0;1500;1.19421;621883;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;    868761;     91493;0;1822;4881165;941299;1;0;1503;1.5091;623749;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;    890642;   1062512;0;1091;5039189;906375;1;0;1547;1.52735;593429;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;    582136;    473282;0;1985;7200513;928040;1;0;1547;1.47623;628656;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;    564482;    405363;0;1209;4923841;888531;1;0;1547;1.44864;613354;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;    291936;    838165;0;591;2825486;509213;1;0;1547;0.771558;659980;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;    955479;    136626;0;1191;2744410;664693;1;0;1547;1.02769;646786;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;    643325;   1010122;0;1601;6038027;501630;1;0;1547;0.892893;561803;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;    456649;    695270;0;837;2401150;528966;1;0;1547;0.836551;632317;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;16/1;1;    978938;    710219;0;1208;3573732;640767;1;0;1547;0.98191;652572;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;17/1;1;    875760;    608511;0;1534;4978546;988241;1;0;1547;1.5849;623534;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;18/1;1;    821322;    475213;0;1517;3984698;907619;1;0;1547;1.3742;660469;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;19/1;1;    690387;    193137;0;1205;2917576;732117;1;0;1547;1.20515;607488;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;20/1;1;   1026795;    530173;0;1210;4467602;283818;1;0;1547;0.620677;457271;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;21/1;1;   1013587;    979915;0;750;2939875;689645;1;0;1547;1.06753;646018;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;22/1;1;    344428;    623929;0;1075;3900671;899526;1;0;1547;1.37676;653363;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;23/1;1;   1047069;    734986;0;1767;5353943;866557;1;0;1547;1.45303;596378;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;24/1;1;    916282;    284238;0;2561;8113534;815623;1;0;1547;1.33972;608801;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;25/1;1;    873798;    670800;0;904;1591484;298316;1;0;1547;0.443974;671923;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;26/1;1;    887865;    489833;0;647;2035896;292668;1;0;1547;0.48472;603788;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;27/1;1;    208817;    287658;0;806;2904108;623130;1;0;1547;0.999944;623165;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;28/1;1;    243713;    720933;0;1740;4505637;830747;1;0;1547;1.4148;587182;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
