domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    883356;    105386;445644;1710;4657642;877403;1;1374;2.19665;399428;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;    149794;     92632;400191;1016;4590488;910771;1;1504;1.92243;473761;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    623571;    945900;375013;1104;4177511;485633;1;1374;1.08793;446384;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    294831;    573571;247118;722;2906673;687655;1;1374;1.35828;506267;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;    936193;   1006096;258005;993;3086893;586113;1;1374;1.16745;502044;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;    815886;     19665;223168;1207;2408799;461076;1;1374;0.916603;503027;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    298849;    646451;714145;2548;8494889;1029350;1;1551;2.37981;432534;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;    310391;   1015181;265013;913;3124733;685217;1;1585;1.34204;510580;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;    868761;     91493;431498;1822;4881165;914053;1;1700;1.87995;486210;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;    890642;   1062512;468826;1091;5039189;904999;1;1700;1.88562;479948;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;    582136;    473282;626533;1985;7200513;926033;1;1700;1.88612;490973;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;    564482;    405363;444971;1209;4923841;886682;1;1700;1.8635;475816;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
