domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;883356;105386;445644;1710;4657642;877406;0;989;1.74664;502340;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;149794;92632;400214;1016;4590488;910768;0;1139;1.69163;538397;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;623571;945900;374997;1102;4177511;485644;0;1139;0.894481;542934;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;294831;573571;247060;722;2906673;687648;0;1139;1.16541;590046;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;936193;1006096;258045;993;3086893;586107;0;1139;0.987589;593473;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;815886;19665;223168;1208;2408799;461076;0;1139;0.784402;587806;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;298849;646451;714196;2548;8494889;1029344;0;1223;1.91035;538824;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;310391;1015181;264715;913;3124733;685251;0;1223;1.17808;581669;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;868761;91493;431498;1822;4881165;914057;0;1244;1.58117;578088;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;890642;1062512;468826;1092;5039189;904996;0;1244;1.60063;565402;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;582136;473282;626550;1985;7200513;926033;0;1244;1.61964;571753;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;564482;405363;445191;1208;4923979;886677;0;1244;1.56145;567856;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;291936;838165;269142;593;2825486;465623;0;1244;0.8163;570407;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;955479;136626;234942;1191;2744410;622402;0;1244;1.0782;577261;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;643325;1010122;541703;1601;6038027;477488;0;1244;0.904704;527784;mA*;? Unchecked;v1.6.0-12-g7668b80
