domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;883356;105386;0;1710;4657642;922019;0;1019;1.50814;611363;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;149794;92632;0;1016;4590488;943756;0;1034;1.44333;653876;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;623571;945900;0;1104;4177511;497435;0;1034;0.755098;658768;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;294831;573571;0;722;2906673;747711;0;1034;1.11458;670846;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;936193;1006096;0;993;3086893;694095;0;1051;0.965486;718907;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;815886;19665;0;1208;2408799;510043;0;1051;0.710338;718029;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;298849;646451;0;2548;8494889;1031389;0;1226;1.64669;626339;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;310391;1015181;0;913;3124733;742657;0;1226;1.14995;645816;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;868761;91493;0;1822;4881165;941299;0;1226;1.36039;691931;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;890642;1062512;0;1092;5039189;906375;0;1226;1.33663;678106;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;582136;473282;0;1985;7200513;928040;0;1226;1.35126;686794;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;564482;405363;0;1210;4923841;888531;0;1226;1.28909;689270;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;291936;838165;0;593;2825486;509213;0;1226;0.758188;671618;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;955479;136626;0;1191;2744410;664693;0;1226;0.951773;698373;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;643325;1010122;0;1601;6038027;501630;0;1226;0.791896;633455;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;456649;695270;0;837;2401150;528966;0;1226;0.785231;673644;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;978938;710219;0;1208;3573732;640767;0;1226;0.906954;706505;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;875760;608511;0;1534;4978546;988241;0;1226;1.40791;701920;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;821322;475213;0;1518;3984698;907619;0;1226;1.27496;711880;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;690387;193137;0;1208;2917576;732117;0;1226;1.10335;663543;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;1026795;530173;0;1210;4467602;283818;0;1226;0.505434;561534;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;1013587;979915;0;750;2939875;689645;0;1226;0.993194;694371;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;344428;623929;0;1075;3900671;899526;0;1226;1.24375;723235;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1047069;734986;0;1767;5353943;866557;0;1226;1.28311;675359;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;916282;284238;0;2561;8113534;815623;0;1226;1.22981;663210;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;873798;670800;0;904;1591484;298316;0;1226;0.414812;719160;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;887865;489833;0;647;2035896;292668;0;1226;0.409045;715491;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;208817;287658;0;806;2904108;623130;0;1226;0.895572;695790;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;243713;720933;0;1740;4505637;830747;0;1226;1.23987;670030;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;704466;104814;0;782;3181549;812815;0;1226;1.17342;692688;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;710104;785562;0;445;1525444;375486;0;1226;0.555063;676475;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
