domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1115366;838598;0;2711;8009583;2105663;0;4796;7.34063;286850;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;2359764;256548;0;2475;6746416;1187567;0;3937;3.6328;326901;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;851400;335671;0;3370;10749520;1720902;0;5120;5.37074;320422;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;2756143;1673213;0;5320;15274228;2597357;0;6814;8.33425;311649;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;2325653;428695;0;3750;12528931;1969479;0;5552;6.07421;324236;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1075433;2506558;0;1417;4462806;823455;0;5552;2.45136;335917;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;911091;2114343;0;4796;13781914;2216420;0;6187;7.27227;304777;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;239421;2586994;0;1755;4169117;1324429;0;6187;3.99124;331834;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;1824096;2728472;0;2366;5904116;1549727;0;6187;4.7459;326540;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;673698;985450;0;5066;13384913;2508779;0;6628;7.80035;321624;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;1460876;2226624;0;413;1673307;120043;0;6628;0.329417;364411;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;885859;653597;0;1231;3789559;628481;0;6628;1.79211;350693;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;70081;782690;0;1427;4034506;1167287;0;6628;3.53602;330113;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;873642;2448581;0;939;2066101;302820;0;6628;0.863988;350491;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1074276;1452981;0;3291;9257258;1812189;0;6628;5.76255;314477;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;2463664;2549808;0;4797;14829992;2510576;0;6628;7.76834;323181;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;2113788;1336254;0;1776;4643760;1035557;0;6628;3.30988;312869;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;2271635;2749283;0;1003;2597862;193730;0;6628;0.565885;342349;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;2000270;1596275;0;426;1578798;148381;0;6628;0.409547;362305;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;2348933;2566997;0;4777;12031740;1959948;0;6628;6.30632;310791;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;391489;1980211;0;2379;9567058;2628386;0;6628;7.66223;343031;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;2302230;2038397;0;1892;4667314;1424126;0;6628;4.29185;331821;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;1846005;2355404;0;2907;8161876;2314304;0;6628;7.03216;329103;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1602942;2159060;0;1620;5889466;1180100;0;6628;3.65922;322501;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1657551;1882245;0;1485;3898295;589148;0;6628;1.70527;345486;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;1094589;1739005;0;4269;13818569;2343082;0;6628;7.32622;319821;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;2291580;2193670;0;1366;3688917;748818;0;6628;2.18343;342955;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;2447287;757920;0;868;2468620;302743;0;6628;0.877067;345176;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;2143024;1938376;0;3229;9773066;2351566;0;6628;7.23421;325062;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;1588813;2591384;0;871;3310116;361705;0;6628;1.05147;344000;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;2430034;97705;0;1802;5246925;1115717;0;6628;3.52403;316602;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;131344;1935792;0;3463;10057523;2354013;0;6628;7.23273;325467;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;635607;2727895;0;4230;10248057;1932136;0;6628;6.08587;317479;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;2209937;1105166;0;2799;8704577;1950833;0;6628;5.97748;326364;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1675442;1951716;0;1137;3226059;459610;0;6628;1.33332;344711;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1992142;1079478;0;1323;3931392;933751;0;6628;2.82423;330621;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;733918;343910;0;5307;17258906;2584529;0;9700;8.49329;304303;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;1271188;1831769;0;942;2760307;812302;0;6628;2.45928;330301;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;2330867;2043573;0;1799;6368129;567729;0;6628;1.73037;328098;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;282474;146385;0;2262;5169740;1125102;0;6628;3.60239;312321;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;39669;1016737;0;675;2373397;288144;0;6628;0.857808;335907;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;869336;2256564;0;3410;8954100;1096151;0;7396;3.73445;293524;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;1485226;2523974;0;3081;7449081;1885269;0;6628;5.82966;323393;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;2315942;1275499;0;1375;4057862;922882;0;6628;2.78746;331084;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;2281834;617279;0;3379;8736214;2291490;0;7396;7.20014;318256;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;1769359;2145253;0;4774;12791602;1750834;0;7396;5.88856;297328;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;1771145;908426;0;1030;3410387;480318;0;6628;1.37422;349521;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;270771;1673843;0;3211;7556895;2079474;0;6628;6.74853;308137;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;2657384;1777886;0;4465;11342639;2304827;0;7396;7.36281;313036;K0;? Unchecked;v1.6.0-12-g7668b80
