domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1115366;838598;0;2711;8009583;2105662;1;2878;3.984;528530;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;2359764;256548;0;2475;6746416;1187566;1;2878;1.88582;629733;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;851400;335671;0;3370;10749520;1720901;1;2878;2.96265;580866;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;2756143;1673213;0;5320;15274228;2597356;1;3298;4.30326;603579;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;2325653;428695;0;3750;12528931;1969478;1;3298;3.25914;604294;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1075433;2506558;0;1417;4462806;823454;1;3298;1.45024;567807;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;911091;2114343;0;4796;13781914;2216419;1;3298;3.63265;610138;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;239421;2586994;0;1755;4169117;1324428;1;3298;2.21833;597039;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;1824096;2728472;0;2366;5904116;1549725;1;3298;2.60523;594852;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;673698;985450;0;5066;13384913;2508778;1;3298;4.00803;625937;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;1460876;2226624;0;413;1673307;120035;1;3298;0.19527;614714;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;885859;653597;0;1231;3789559;628480;1;3298;0.967217;649782;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;70081;782690;0;1427;4034506;1167285;1;3298;1.82114;640965;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;873642;2448581;0;939;2066101;302819;1;3298;0.503306;601660;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1074276;1452981;0;3291;9257258;1812188;1;3298;3.16703;572204;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;2463664;2549808;0;4797;14829992;2510575;1;3298;3.9875;629611;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;2113788;1336254;0;1776;4643760;1035556;1;3298;1.7732;584005;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;2271635;2749283;0;1003;2597862;193729;1;3298;0.349883;553696;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;2000270;1596275;0;426;1578798;148380;1;3298;0.245614;604117;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;2348933;2566997;0;4777;12031740;1959947;1;3298;3.32921;588713;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;391489;1980211;0;2379;9567058;2628383;1;3332;4.26874;615728;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;2302230;2038397;0;1892;4667314;1424125;1;3332;2.3576;604057;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;1846005;2355404;0;2907;8161876;2314303;1;3332;3.64958;634129;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1602942;2159060;0;1620;5889466;1180099;1;3332;2.0233;583255;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1657551;1882245;0;1485;3898295;589147;1;3332;0.898536;655674;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;1094589;1739005;0;4269;13818569;2343081;1;3332;3.99118;587065;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;2291580;2193670;0;1366;3688917;748817;1;3332;1.21369;616973;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;2447287;757920;0;868;2468620;302742;1;3332;0.504045;600625;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;2143024;1938376;0;3229;9773066;2351565;1;3332;4.01235;586082;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;1588813;2591384;0;871;3310116;361704;1;3332;0.611807;591206;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;2430034;97705;0;1802;5246925;1115715;1;3332;1.94319;574166;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;131344;1935792;0;3463;10057523;2354012;1;3332;3.99299;589536;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;635607;2727895;0;4230;10248057;1932135;1;3332;3.31796;582326;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;2209937;1105166;0;2799;8704577;1950832;1;3332;3.4074;572528;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1675442;1951716;0;1137;3226059;459604;1;3332;0.724967;633965;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1992142;1079478;0;1323;3931392;933750;1;3332;1.52028;614197;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;733918;343910;0;5307;17258906;2584528;1;3332;4.76284;542644;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;1271188;1831769;0;942;2760307;812301;1;3332;1.39588;581926;BELA0;? Unchecked;v1.6.0-12-g7668b80
