domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1115366;838598;768692;2711;8009583;2053109;1;2832;4.60583;445763;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;2359764;256548;613199;2464;6746691;1162941;1;2832;2.28744;508403;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;851400;335671;843339;3370;10749520;1614865;1;2832;3.42248;471841;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;2756143;1673213;1222526;5320;15274251;2583135;1;3285;5.28294;488958;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;2325653;428695;895203;3752;12529069;1965952;1;3285;3.93979;498999;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1075433;2506558;386666;1417;4462806;720226;1;3285;1.51925;474068;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;911091;2114343;1273528;4785;13782189;2171136;1;3285;4.34899;499228;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;239421;2586994;372249;1755;4169117;1122030;1;3285;2.3254;482511;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;1824096;2728472;487524;2366;5904116;1429839;1;3285;2.83265;504771;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;673698;985450;1028697;5066;13384913;2486680;1;3285;4.85199;512507;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;1460876;2226624;136340;413;1673307;105978;1;3285;0.212248;499313;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;885859;653597;344640;1230;3789907;587463;1;3285;1.11271;527957;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;70081;782690;368940;1427;4034506;1033400;1;3285;1.99567;517821;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;873642;2448581;178824;939;2066101;261671;1;3285;0.526614;496893;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1074276;1452981;794625;3291;9257402;1767233;1;3285;3.73611;473014;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;2463664;2549808;1116837;4797;14829992;2475938;1;3285;4.82057;513620;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;2113788;1336254;405405;1776;4643760;978094;1;3285;2.00218;488516;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;2271635;2749283;221088;1003;2597862;171425;1;3285;0.35693;480277;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;2000270;1596275;127848;426;1578798;126727;1;3285;0.254473;497998;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;2348933;2566997;900380;4777;12031740;1939092;1;3285;4.00201;484529;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;391489;1980211;704883;2379;9567058;2438955;1;3296;4.95533;492189;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;2302230;2038397;348411;1892;4667314;1333647;1;3296;2.78251;479296;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;1846005;2355404;721528;2908;8161940;2057420;1;3296;4.05669;507167;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1602942;2159060;502807;1620;5889466;1147881;1;3296;2.38626;481037;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1657551;1882245;359477;1485;3898295;500475;1;3296;0.956915;523009;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;1094589;1739005;1272094;4269;13818569;2335136;1;3296;4.79058;487444;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;2291580;2193670;307577;1366;3688917;716019;1;3296;1.45629;491673;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;2447287;757920;215661;868;2468620;248440;1;3296;0.503474;493451;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;2143024;1938376;885081;3229;9773066;2320114;1;3296;4.8136;481992;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;1588813;2591384;279229;871;3310116;334496;1;3296;0.643821;519548;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;2430034;97705;500839;1802;5246925;982777;1;3296;2.11225;465275;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;131344;1935792;921385;3463;10057523;2333957;1;3296;4.80214;486024;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;635607;2727895;788440;4230;10248799;1916879;1;3296;4.03798;474713;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;2209937;1105166;674803;2799;8704577;1847791;1;3296;3.93143;470005;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1675442;1951716;276285;1137;3226059;398034;1;3296;0.782417;508724;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1992142;1079478;327890;1323;3931392;852442;1;3296;1.686;505600;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;733918;343910;1242929;5307;17258906;2547070;1;3296;5.5096;462297;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;1271188;1831769;265040;942;2760307;686442;1;3296;1.37407;499567;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;2330867;2043573;547295;1801;6368267;526481;1;3296;1.1287;466450;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;282474;146385;410620;2262;5169740;1072349;1;3296;2.24759;477111;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;39669;1016737;206233;675;2373397;262363;1;3296;0.540289;485597;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;869336;2256564;647482;3410;8954100;1071422;1;3296;2.41991;442753;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;1485226;2523974;335823;3081;7449081;1791408;1;3296;3.64422;491575;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;2315942;1275499;363168;1375;4057862;838401;1;3296;1.65925;505290;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;2281834;617279;645286;3379;8736237;2031376;1;3296;4.2471;478298;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;1769359;2145253;1162629;4763;12791877;1703577;1;3296;3.63459;468713;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;1771145;908426;296466;1030;3410387;465803;1;3296;0.884903;526389;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;270771;1673843;606395;3211;7556918;1937721;1;3296;3.90638;496040;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;2657384;1777886;865470;4465;11342662;2299117;1;3296;4.79672;479310;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;95731;37867;341603;1077;3732310;918663;1;3296;1.85355;495624;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;518132;1667850;585086;2920;7683497;1768014;1;3296;3.6623;482760;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;2307373;303269;503626;1561;5514232;1503364;1;3296;3.25821;461408;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;1395776;582082;792415;3821;11344549;2561124;1;3296;5.24084;488686;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;973338;2386314;1231824;5338;14763153;2672015;1;3362;5.38926;495803;BELA*;? Unchecked;v1.6.0-12-g7668b80
