domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version

roadmap;dimacs;0/1;1;1115366;838598;1;2913.46;1.00946;SB*;v2.0-53-g98db238
roadmap;dimacs;1/1;1;2359764;256548;1;2913.59;1.15337;SB*;v2.0-53-g98db238
roadmap;dimacs;2/1;1;851400;335671;1;2913.59;1.3389;SB*;v2.0-53-g98db238
roadmap;dimacs;3/1;1;2756143;1673213;1;2913.59;1.22094;SB*;v2.0-53-g98db238
roadmap;dimacs;4/1;1;2325653;428695;1;2913.59;1.56133;SB*;v2.0-53-g98db238
roadmap;dimacs;5/1;1;1075433;2506558;1;2913.59;0.700685;SB*;v2.0-53-g98db238
roadmap;dimacs;6/1;1;911091;2114343;1;2913.59;1.35088;SB*;v2.0-53-g98db238
roadmap;dimacs;7/1;1;239421;2586994;1;2913.59;0.638101;SB*;v2.0-53-g98db238
roadmap;dimacs;8/1;1;1824096;2728472;1;2913.59;1.02814;SB*;v2.0-53-g98db238
roadmap;dimacs;9/1;1;673698;985450;1;2913.59;1.22002;SB*;v2.0-53-g98db238
roadmap;dimacs;10/1;1;1460876;2226624;1;2913.59;0.0954148;SB*;v2.0-53-g98db238
roadmap;dimacs;11/1;1;885859;653597;1;2913.59;0.240191;SB*;v2.0-53-g98db238
roadmap;dimacs;12/1;1;70081;782690;1;2913.59;0.61537;SB*;v2.0-53-g98db238
roadmap;dimacs;13/1;1;873642;2448581;1;2913.59;0.112004;SB*;v2.0-53-g98db238
roadmap;dimacs;14/1;1;1074276;1452981;1;2913.59;1.36484;SB*;v2.0-53-g98db238
roadmap;dimacs;15/1;1;2463664;2549808;1;2913.59;1.29203;SB*;v2.0-53-g98db238
roadmap;dimacs;16/1;1;2113788;1336254;1;2913.59;0.912008;SB*;v2.0-53-g98db238
roadmap;dimacs;17/1;1;2271635;2749283;1;2913.59;0.309123;SB*;v2.0-53-g98db238
roadmap;dimacs;18/1;1;2000270;1596275;1;2913.59;0.0716511;SB*;v2.0-53-g98db238
roadmap;dimacs;19/1;1;2348933;2566997;1;2913.59;1.3489;SB*;v2.0-53-g98db238
roadmap;dimacs;20/1;1;391489;1980211;1;2913.59;1.04264;SB*;v2.0-53-g98db238
roadmap;dimacs;21/1;1;2302230;2038397;1;2913.59;0.738405;SB*;v2.0-53-g98db238
roadmap;dimacs;22/1;1;1846005;2355404;1;2913.59;0.404155;SB*;v2.0-53-g98db238
roadmap;dimacs;23/1;1;1602942;2159060;1;2913.59;1.0418;SB*;v2.0-53-g98db238
roadmap;dimacs;24/1;1;1657551;1882245;1;2913.59;0.530865;SB*;v2.0-53-g98db238
roadmap;dimacs;25/1;1;1094589;1739005;1;2913.59;1.31465;SB*;v2.0-53-g98db238
roadmap;dimacs;26/1;1;2291580;2193670;1;2913.59;0.633366;SB*;v2.0-53-g98db238
roadmap;dimacs;27/1;1;2447287;757920;1;2913.59;0.158165;SB*;v2.0-53-g98db238
roadmap;dimacs;28/1;1;2143024;1938376;1;2913.59;0.826791;SB*;v2.0-53-g98db238
roadmap;dimacs;29/1;1;1588813;2591384;1;2913.59;0.477811;SB*;v2.0-53-g98db238
roadmap;dimacs;30/1;1;2430034;97705;1;2913.59;1.03602;SB*;v2.0-53-g98db238
roadmap;dimacs;31/1;1;131344;1935792;1;2913.59;0.88252;SB*;v2.0-53-g98db238
roadmap;dimacs;32/1;1;635607;2727895;1;2913.59;1.27466;SB*;v2.0-53-g98db238
roadmap;dimacs;33/1;1;2209937;1105166;1;2913.59;1.20668;SB*;v2.0-53-g98db238
roadmap;dimacs;34/1;1;1675442;1951716;1;2913.59;0.305513;SB*;v2.0-53-g98db238
roadmap;dimacs;35/1;1;1992142;1079478;1;2913.59;0.574895;SB*;v2.0-53-g98db238
roadmap;dimacs;36/1;1;733918;343910;1;2913.59;1.43676;SB*;v2.0-53-g98db238
roadmap;dimacs;37/1;1;1271188;1831769;1;2913.59;0.307139;SB*;v2.0-53-g98db238
roadmap;dimacs;38/1;1;2330867;2043573;1;2913.59;0.862041;SB*;v2.0-53-g98db238
roadmap;dimacs;39/1;1;282474;146385;1;2913.59;0.968176;SB*;v2.0-53-g98db238
roadmap;dimacs;40/1;1;39669;1016737;1;2913.59;0.225081;SB*;v2.0-53-g98db238
roadmap;dimacs;41/1;1;869336;2256564;1;2913.59;1.29586;SB*;v2.0-53-g98db238
roadmap;dimacs;42/1;1;1485226;2523974;1;2913.59;0.920022;SB*;v2.0-53-g98db238
roadmap;dimacs;43/1;1;2315942;1275499;1;2913.59;0.654584;SB*;v2.0-53-g98db238
roadmap;dimacs;44/1;1;2281834;617279;1;2913.59;0.527301;SB*;v2.0-53-g98db238
roadmap;dimacs;45/1;1;1769359;2145253;1;2913.59;1.5013;SB*;v2.0-53-g98db238
roadmap;dimacs;46/1;1;1771145;908426;1;2913.59;0.31705;SB*;v2.0-53-g98db238
roadmap;dimacs;47/1;1;270771;1673843;1;2913.59;0.690902;SB*;v2.0-53-g98db238
roadmap;dimacs;48/1;1;2657384;1777886;1;2913.59;1.06552;SB*;v2.0-53-g98db238
roadmap;dimacs;49/1;1;95731;37867;1;2913.59;0.303063;SB*;v2.0-53-g98db238
roadmap;dimacs;50/1;1;518132;1667850;1;2913.59;0.46291;SB*;v2.0-53-g98db238
roadmap;dimacs;51/1;1;2307373;303269;1;2913.59;0.447249;SB*;v2.0-53-g98db238
roadmap;dimacs;52/1;1;1395776;582082;1;2913.59;0.626596;SB*;v2.0-53-g98db238
roadmap;dimacs;53/1;1;973338;2386314;1;2913.59;1.08333;SB*;v2.0-53-g98db238
roadmap;dimacs;54/1;1;1677235;1450945;1;2913.59;0.751284;SB*;v2.0-53-g98db238
roadmap;dimacs;55/1;1;2526862;968256;1;2913.59;0.0782594;SB*;v2.0-53-g98db238
roadmap;dimacs;56/1;1;219840;466679;1;2913.59;0.416971;SB*;v2.0-53-g98db238
roadmap;dimacs;57/1;1;2616808;1747076;1;2913.59;1.01479;SB*;v2.0-53-g98db238
roadmap;dimacs;58/1;1;2141713;1609497;1;2913.59;0.61816;SB*;v2.0-53-g98db238
roadmap;dimacs;59/1;1;1092055;1854282;1;2913.59;1.20971;SB*;v2.0-53-g98db238
roadmap;dimacs;60/1;1;2593918;2504223;1;2913.59;0.130885;SB*;v2.0-53-g98db238
roadmap;dimacs;61/1;1;825906;1139625;1;2913.59;1.11621;SB*;v2.0-53-g98db238
roadmap;dimacs;62/1;1;1485659;1848089;1;2913.59;0.790702;SB*;v2.0-53-g98db238
roadmap;dimacs;63/1;1;35821;73026;1;2913.59;0.509809;SB*;v2.0-53-g98db238
roadmap;dimacs;64/1;1;889978;237218;1;2913.59;1.26157;SB*;v2.0-53-g98db238
roadmap;dimacs;65/1;1;2339487;289487;1;2913.59;1.53426;SB*;v2.0-53-g98db238
roadmap;dimacs;66/1;1;506631;886079;1;2913.59;0.646419;SB*;v2.0-53-g98db238
roadmap;dimacs;67/1;1;645622;417102;1;2913.59;1.51221;SB*;v2.0-53-g98db238
roadmap;dimacs;68/1;1;1507877;1262544;1;2913.59;0.429495;SB*;v2.0-53-g98db238
roadmap;dimacs;69/1;1;55298;1053459;1;2913.59;0.112773;SB*;v2.0-53-g98db238
roadmap;dimacs;70/1;1;2607626;1242105;1;2913.59;0.275888;SB*;v2.0-53-g98db238
roadmap;dimacs;71/1;1;227330;1860283;1;2913.59;0.443607;SB*;v2.0-53-g98db238
roadmap;dimacs;72/1;1;2416206;1083088;1;2913.59;1.14264;SB*;v2.0-53-g98db238
roadmap;dimacs;73/1;1;652407;1658414;1;2913.59;0.28947;SB*;v2.0-53-g98db238
roadmap;dimacs;74/1;1;747688;2038704;1;2913.59;1.50514;SB*;v2.0-53-g98db238
roadmap;dimacs;75/1;1;1006470;1079932;1;2913.59;0.404846;SB*;v2.0-53-g98db238
roadmap;dimacs;76/1;1;995516;69711;1;2913.59;0.0811913;SB*;v2.0-53-g98db238
roadmap;dimacs;77/1;1;634602;1133254;1;2913.59;1.3019;SB*;v2.0-53-g98db238
roadmap;dimacs;78/1;1;793982;2215456;1;2913.59;0.331544;SB*;v2.0-53-g98db238
roadmap;dimacs;79/1;1;2557782;1744210;1;2913.59;1.14353;SB*;v2.0-53-g98db238
roadmap;dimacs;80/1;1;1551049;386113;1;2913.59;0.122174;SB*;v2.0-53-g98db238
roadmap;dimacs;81/1;1;1947348;1653066;1;2913.59;0.322677;SB*;v2.0-53-g98db238
roadmap;dimacs;82/1;1;2104462;957116;1;2913.59;0.453064;SB*;v2.0-53-g98db238
roadmap;dimacs;83/1;1;1444947;376697;1;2913.59;0.114427;SB*;v2.0-53-g98db238
roadmap;dimacs;84/1;1;853368;2335283;1;2913.59;1.19746;SB*;v2.0-53-g98db238
roadmap;dimacs;85/1;1;1126904;2167762;1;2913.59;0.184674;SB*;v2.0-53-g98db238
roadmap;dimacs;86/1;1;829718;282946;1;2913.59;0.370446;SB*;v2.0-53-g98db238
