domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   1115366;    838598;0;2711;8009583;2105662;1;0;2878;3.81301;552231;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;   2359764;    256548;0;2475;6746416;1187566;1;0;2878;1.86075;638220;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;    851400;    335671;0;3370;10749520;1720901;1;0;2878;2.9263;588081;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;   2756143;   1673213;0;5320;15274228;2597356;1;0;3298;4.2317;613786;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;   2325653;    428695;0;3750;12528931;1969478;1;0;3298;3.2076;614004;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;   1075433;   2506558;0;1417;4462806;823454;1;0;3298;1.40277;587019;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;    911091;   2114343;0;4796;13781914;2216419;1;0;3298;3.60159;615399;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;    239421;   2586994;0;1755;4169117;1324428;1;0;3298;2.15206;615422;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;   1824096;   2728472;0;2366;5904116;1549725;1;0;3298;2.57806;601120;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;    673698;    985450;0;5066;13384913;2508778;1;0;3298;3.92941;638461;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;   1460876;   2226624;0;413;1673307;120035;1;0;3298;0.193858;619191;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
