domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   1115366;    838598;0;2711;8009583;2105662;1;3345;4.35027;484031;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;   2359764;    256548;0;2475;6746416;1187566;1;3345;1.98204;599163;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    851400;    335671;0;3370;10749520;1720901;1;3375;3.12353;550948;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;   2756143;   1673213;0;5320;15274228;2597356;1;3865;4.57558;567656;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;   2325653;    428695;0;3750;12528931;1969478;1;3936;3.42301;575365;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;   1075433;   2506558;0;1417;4462806;823454;1;3936;1.47523;558188;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    911091;   2114343;0;4796;13781914;2216419;1;3936;3.84143;576978;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;    239421;   2586994;0;1755;4169117;1324428;1;3936;2.31971;570945;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;   1824096;   2728472;0;2366;5904116;1549725;1;3936;2.73143;567368;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;    673698;    985450;0;5066;13384913;2508778;1;3936;4.23559;592309;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;   1460876;   2226624;0;413;1673307;120035;1;3936;0.206113;582375;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;    885859;    653597;0;1231;3789559;628480;1;3936;1.01192;621079;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;     70081;    782690;0;1427;4034506;1167285;1;3936;1.91719;608852;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;    873642;   2448581;0;939;2066101;302819;1;3936;0.533148;567983;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;   1074276;   1452981;0;3291;9257258;1812188;1;3936;3.30987;547511;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;   2463664;   2549808;0;4797;14829992;2510575;1;3936;4.19183;598921;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;   2113788;   1336254;0;1776;4643760;1035556;1;3936;1.81129;571724;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;   2271635;   2749283;0;1003;2597862;193729;1;3936;0.37038;523055;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   2000270;   1596275;0;426;1578798;148380;1;3936;0.26162;567158;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;   2348933;   2566997;0;4777;12031740;1959947;1;3936;3.48118;563013;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    391489;   1980211;0;2379;9567058;2628383;1;3979;4.57111;574998;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;   2302230;   2038397;0;1892;4667314;1424125;1;3979;2.5172;565757;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;   1846005;   2355404;0;2907;8161876;2314303;1;3979;3.98351;580970;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;   1602942;   2159060;0;1620;5889466;1180099;1;3979;2.1317;553596;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;   1657551;   1882245;0;1485;3898295;589147;1;3979;0.941159;625980;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;   1094589;   1739005;0;4269;13818569;2343081;1;3979;4.20702;556945;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;   2291580;   2193670;0;1366;3688917;748817;1;3979;1.26249;593125;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;   2447287;    757920;0;868;2468620;302742;1;3979;0.524156;577580;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;   2143024;   1938376;0;3229;9773066;2351565;1;3979;4.27146;550530;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;   1588813;   2591384;0;871;3310116;361704;1;3979;0.636199;568539;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;   2430034;     97705;0;1802;5246925;1115715;1;3979;2.04732;544963;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;    131344;   1935792;0;3463;10057523;2354012;1;3979;4.25062;553804;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;    635607;   2727895;0;4230;10248057;1932135;1;3979;3.47945;555299;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;   2209937;   1105166;0;2799;8704577;1950832;1;3979;3.55352;548985;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;   1675442;   1951716;0;1137;3226059;459604;1;3979;0.757176;606998;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
