domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   1115366;    838598;769060;2711;8009583;2053067;1;3292;4.76083;431241;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;   2359764;    256548;613199;2475;6746416;1162907;1;3292;2.30325;504899;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    851400;    335671;843478;3370;10749520;1614894;1;3292;3.50605;460602;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;   2756143;   1673213;1222464;5320;15274228;2583138;1;3854;5.27934;489292;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;   2325653;    428695;895203;3750;12528931;1965950;1;4416;4.08032;481812;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;   1075433;   2506558;386666;1417;4462806;720242;1;4416;1.54404;466465;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    911091;   2114343;1273894;4796;13781914;2171103;1;4416;4.43889;489110;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;    239421;   2586994;372249;1755;4169117;1122033;1;4416;2.31602;484466;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;   1824096;   2728472;487524;2366;5904116;1429844;1;4416;2.88756;495173;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;    673698;    985450;1028569;5066;13384913;2486679;1;4416;4.89073;508447;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;   1460876;   2226624;136340;413;1673307;105974;1;4416;0.223335;474507;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;    885859;    653597;344483;1231;3789559;587450;1;4416;1.15476;508719;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;     70081;    782690;368956;1427;4034506;1033383;1;4416;2.03529;507734;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;    873642;   2448581;178801;939;2066101;261682;1;4416;0.541336;483400;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;   1074276;   1452981;793437;3291;9257258;1767191;1;4416;3.68239;479903;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;   2463664;   2549808;1116837;4797;14829992;2475924;1;4416;4.90541;504733;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;   2113788;   1336254;405335;1776;4643760;978103;1;4416;1.9968;489835;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;   2271635;   2749283;220194;1003;2597862;171425;1;4416;0.366516;467715;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   2000270;   1596275;127684;426;1578798;126730;1;4416;0.258813;489659;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;   2348933;   2566997;901171;4777;12031740;1939156;1;4416;3.99025;485973;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    391489;   1980211;704959;2379;9567058;2438857;1;4416;4.99579;488182;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;   2302230;   2038397;348411;1892;4667314;1333648;1;4416;2.78974;478054;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
