domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1115366;838598;768692;2711;8009583;2053109;0;2375;3.97939;515935;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;2359764;256548;613199;2465;6746691;1162941;0;2375;2.01039;578466;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;851400;335671;843339;3371;10749520;1614865;0;2375;3.03914;531356;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;2756143;1673213;1222526;5321;15274251;2583135;0;2727;4.57907;564117;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;2325653;428695;895203;3752;12529069;1965952;0;2727;3.48574;563999;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1075433;2506558;386666;1417;4462806;720226;0;2727;1.35754;530536;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;911091;2114343;1273528;4786;13782189;2171136;0;2727;3.82798;567176;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;239421;2586994;372249;1755;4169117;1122030;0;2727;2.03766;550645;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;1824096;2728472;487524;2366;5904116;1429839;0;2727;2.53926;563093;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;673698;985450;1028697;5067;13384913;2486680;0;2727;4.29986;578317;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;1460876;2226624;136340;413;1673307;105978;0;2727;0.191344;553860;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;885859;653597;344640;1230;3789907;587463;0;2727;1.01451;579059;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;70081;782690;368940;1427;4034506;1033400;0;2727;1.80812;571532;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;873642;2448581;178824;940;2066101;261671;0;2727;0.467329;559929;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1074276;1452981;794625;3295;9257402;1767233;0;2727;3.30362;534938;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;2463664;2549808;1116837;4801;14829992;2475938;0;2727;4.28588;577697;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;2113788;1336254;405405;1776;4643760;978094;0;2727;1.79642;544470;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;2271635;2749283;221088;1003;2597862;171425;0;2727;0.31227;548963;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;2000270;1596275;127848;426;1578798;126727;0;2727;0.22784;556211;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;2348933;2566997;900380;4778;12031740;1939092;0;2727;3.55135;546015;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;391489;1980211;704883;2379;9567058;2438955;0;2727;4.37341;557678;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;2302230;2038397;348411;1893;4667314;1333647;0;2727;2.45983;542169;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;1846005;2355404;721528;2909;8161940;2057420;0;2727;3.6355;565925;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1602942;2159060;502807;1620;5889466;1147881;0;2727;2.1322;538354;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1657551;1882245;359477;1486;3898295;500475;0;2727;0.873957;572654;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;1094589;1739005;1272094;4269;13818569;2335136;0;2727;4.2035;555522;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;2291580;2193670;307577;1368;3688917;716019;0;2727;1.30786;547474;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;2447287;757920;215661;869;2468620;248440;0;2727;0.464021;535406;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;2143024;1938376;885081;3229;9773066;2320114;0;2727;4.21776;550082;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;1588813;2591384;279229;872;3310116;334496;0;2727;0.605037;552852;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;2430034;97705;500839;1802;5246925;982777;0;2727;1.85746;529099;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;131344;1935792;921385;3463;10057523;2333957;0;2727;4.2187;553241;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;635607;2727895;788440;4231;10248799;1916879;0;2727;3.52498;543798;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;2209937;1105166;674803;2806;8704577;1847791;0;2727;3.45637;534605;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1675442;1951716;276285;1137;3226059;398034;0;2727;0.722849;550646;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1992142;1079478;327890;1323;3931392;852442;0;2727;1.53131;556675;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;733918;343910;1242929;5309;17258906;2547070;0;2727;4.76578;534450;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;1271188;1831769;265040;945;2760307;686442;0;2727;1.25773;545779;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;2330867;2043573;547295;1801;6368267;526481;0;2727;0.995596;528810;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;282474;146385;410620;2263;5169740;1072349;0;2727;2.00242;535526;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;39669;1016737;206233;675;2373397;262363;0;2727;0.501692;522956;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;869336;2256564;647482;3411;8954100;1071422;0;2727;2.0807;514934;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;1485226;2523974;335823;3083;7449081;1791408;0;2727;3.24657;551784;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;2315942;1275499;363168;1375;4057862;838401;0;2727;1.52712;549008;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;2281834;617279;645286;3380;8736237;2031376;0;2727;3.73436;543969;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;1769359;2145253;1162629;4766;12791877;1703577;0;2727;3.21571;529767;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;1771145;908426;296466;1030;3410387;465803;0;2727;0.81886;568843;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;270771;1673843;606395;3213;7556918;1937721;0;2727;3.4859;555874;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;2657384;1777886;865470;4466;11342662;2299117;0;2727;4.17132;551173;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;95731;37867;341603;1077;3732310;918663;0;2727;1.64463;558585;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;518132;1667850;585086;2921;7683497;1768014;0;2727;3.20113;552309;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;2307373;303269;503626;1562;5514232;1503364;0;2727;2.87505;522901;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;1395776;582082;792415;3820;11344549;2561124;0;2727;4.54559;563431;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;973338;2386314;1231824;5339;14763153;2672015;0;2785;4.70231;568234;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;1677235;1450945;317037;2944;6210146;1027392;0;2785;1.84606;556534;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;2526862;968256;94981;259;1037193;76693;0;2785;0.141402;542376;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;219840;466679;394032;1108;4425188;1169223;0;2785;2.24089;521768;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;57/1;1;2616808;1747076;1242114;5044;13917377;2695454;0;2801;4.74955;567517;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;58/1;1;2141713;1609497;616516;2167;6932874;1990499;0;2801;3.56657;558099;mA*;? Unchecked;v1.6.0-12-g7668b80
