domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1115366;838598;0;2711;8009583;2105662;0;2411;3.40907;617665;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;2359764;256548;0;2476;6746416;1187566;0;2411;1.71076;694175;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;851400;335671;0;3371;10749520;1720901;0;2411;2.65993;646973;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;2756143;1673213;0;5321;15274228;2597356;0;2738;3.79422;684556;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;2325653;428695;0;3750;12528931;1969478;0;2738;2.86824;686650;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1075433;2506558;0;1417;4462806;823454;0;2738;1.26988;648451;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;911091;2114343;0;4797;13781914;2216419;0;2738;3.25985;679915;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;239421;2586994;0;1755;4169117;1324428;0;2738;1.93679;683825;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;1824096;2728472;0;2366;5904116;1549725;0;2738;2.31191;670321;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;673698;985450;0;5067;13384913;2508778;0;2738;3.5168;713369;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;1460876;2226624;0;413;1673307;120035;0;2738;0.17626;681010;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;885859;653597;0;1231;3789559;628480;0;2738;0.874639;718559;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;70081;782690;0;1427;4034506;1167285;0;2738;1.65112;706966;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;873642;2448581;0;940;2066101;302819;0;2738;0.452081;669833;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1074276;1452981;0;3295;9257258;1812188;0;2738;2.74942;659115;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;2463664;2549808;0;4801;14829992;2510575;0;2738;3.56537;704155;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;2113788;1336254;0;1776;4643760;1035556;0;2738;1.55911;664197;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;2271635;2749283;0;1003;2597862;193729;0;2738;0.309903;625128;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;2000270;1596275;0;426;1578798;148380;0;2738;0.236116;628419;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;2348933;2566997;0;4778;12031740;1959947;0;2738;2.92217;670717;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;391489;1980211;0;2379;9567058;2628383;0;2757;3.77664;695959;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;2302230;2038397;0;1893;4667314;1424125;0;2757;2.08438;683236;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;1846005;2355404;0;2908;8161876;2314303;0;2757;3.30434;700382;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1602942;2159060;0;1620;5889466;1180099;0;2757;1.78958;659428;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1657551;1882245;0;1486;3898295;589147;0;2757;0.810932;726506;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;1094589;1739005;0;4269;13818569;2343081;0;2757;3.51146;667267;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
