domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1472205;1037501;0;2155;3562387;1200132;0;2674;3.95768;303241;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;840261;665095;0;705;1748294;673124;0;2290;1.92519;349640;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;1113303;159676;0;884;1998377;636795;0;2290;1.8174;350388;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;170927;936423;0;2120;4701263;1248260;0;3106;3.64926;342059;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1089842;933368;0;1833;3155055;1206641;0;2632;3.5002;344735;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;754643;1448642;0;1923;2394838;860038;0;2440;2.53814;338845;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;744848;55159;0;1213;1897498;700467;0;2440;2.03349;344466;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1066240;613162;0;1026;2689236;1182899;0;2632;3.43355;344512;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;892607;946543;0;394;1580776;280307;0;2440;0.772756;362737;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1245397;1102353;0;2849;4974910;1520483;0;3590;4.55558;333763;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;42548;622075;0;1122;3102514;1385377;0;2822;3.90158;355081;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1234612;1499257;0;481;1175537;557242;0;2822;1.65233;337246;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;337131;79712;0;1050;2273415;526043;0;2822;1.54915;339568;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;359225;43209;0;769;1483865;741934;0;2822;2.17542;341054;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1281094;1427749;0;824;1695223;883986;0;2822;2.64395;334343;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;430711;346325;0;2481;4597932;1501076;0;3590;4.39903;341229;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;1286522;1346508;0;386;666646;205482;0;2822;0.553581;371187;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;543105;1060109;0;1476;2344002;1049095;0;2822;3.15817;332184;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;720307;163788;0;1650;3416141;1464998;0;3014;4.2679;343259;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;951174;105559;0;311;656871;219725;0;2822;0.675975;325049;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;1238169;133741;0;2693;5339675;1496825;0;3590;4.42046;338613;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;732959;1232599;0;812;2401392;606263;0;2822;1.73383;349668;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;428635;901254;0;513;1033329;489329;0;2822;1.54755;316196;K0;? Unchecked;v1.6.0-12-g7668b80
