domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1472205;1037501;313186;2155;3562387;1189085;0;2660;4.5619;260656;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;840261;665095;158845;705;1748294;644058;0;2276;2.1552;298839;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;1113303;159676;180232;884;1998377;537839;0;2276;1.85648;289709;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;170927;936423;411646;2120;4701263;1205773;0;3051;4.06803;296402;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1089842;933368;273852;1833;3155055;1166071;0;2580;4.00888;290872;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;754643;1448642;220988;1923;2394838;786317;0;2388;2.70975;290180;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;744848;55159;98794;1213;1897498;585306;0;2388;2.01414;290599;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1066240;613162;231864;1026;2689236;1076942;0;2396;3.7179;289664;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;892607;946543;136706;394;1580776;236161;0;2396;0.741702;318404;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1245397;1102353;431920;2849;4974910;1519581;0;3588;5.24897;289501;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;42548;622075;265132;1122;3102514;1238797;0;2820;4.13447;299627;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1234612;1499257;98445;481;1175537;470973;0;2820;1.67465;281237;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;337131;79712;207578;1050;2273415;503378;0;2820;1.68998;297860;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;359225;43209;124545;769;1483865;621137;0;2820;2.09877;295953;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1281094;1427749;151615;824;1695223;797645;0;2820;2.68381;297206;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;430711;346325;422202;2481;4597932;1490906;0;3588;5.04688;295411;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;1286522;1346508;59841;386;666646;172104;0;2820;0.553335;311030;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;543105;1060109;208508;1476;2344002;1026395;0;2820;3.61975;283554;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;720307;163788;291639;1650;3416141;1453841;0;3012;4.93856;294386;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;951174;105559;57322;311;656871;188309;0;2820;0.61408;306652;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;1238169;133741;437339;2693;5339675;1483269;0;3588;5.05015;293708;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;732959;1232599;218797;812;2401392;538609;0;3012;1.83686;293223;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;428635;901254;88908;513;1033329;373493;0;2820;1.26152;296067;K*;? Unchecked;v1.6.0-12-g7668b80
