domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1472205;1037501;0;2155;3562387;1200131;1;1659;2.14936;558367;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;840261;665095;0;705;1748294;673122;1;1659;1.01614;662430;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;1113303;159676;0;884;1998377;636789;1;1659;0.973314;654248;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;170927;936423;0;2120;4701263;1248259;1;1864;1.95995;636883;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1089842;933368;0;1833;3155055;1206640;1;1692;1.82259;662046;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;754643;1448642;0;1923;2394838;860037;1;1719;1.43099;601006;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;744848;55159;0;1213;1897498;700466;1;1719;1.07482;651705;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1066240;613162;0;1026;2689236;1182898;1;1719;1.83888;643271;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;892607;946543;0;394;1580776;280305;1;1719;0.416966;672249;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1245397;1102353;0;2849;4974910;1520482;1;1967;2.52288;602677;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;42548;622075;0;1122;3102514;1385376;1;2027;2.10367;658551;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1234612;1499257;0;481;1175537;557239;1;2027;0.876602;635681;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;337131;79712;0;1050;2273415;526042;1;2027;0.787415;668062;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;359225;43209;0;769;1483865;741933;1;2027;1.20573;615341;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1281094;1427749;0;824;1695223;883982;1;2027;1.38172;639767;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;430711;346325;0;2481;4597932;1501075;1;2039;2.43944;615335;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;1286522;1346508;0;386;666646;205481;1;2039;0.333524;616091;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;543105;1060109;0;1476;2344002;1049094;1;2039;1.66291;630878;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;720307;163788;0;1650;3416141;1464997;1;2039;2.36809;618640;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;951174;105559;0;311;656871;219724;1;2039;0.352307;623672;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;1238169;133741;0;2693;5339675;1496824;1;2039;2.43587;614494;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;732959;1232599;0;812;2401392;606262;1;2039;0.980841;618104;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;428635;901254;0;513;1033329;489328;1;2039;0.791082;618556;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;677786;1305669;0;508;760638;213234;1;2039;0.330902;644402;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1061490;756533;0;1150;2169484;927469;1;2039;1.4965;619757;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;797834;613193;0;561;1683862;607043;1;2039;0.988642;614017;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;209950;596109;0;1252;2861466;634946;1;2039;0.976037;650535;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1199260;869047;0;2532;5267001;1480929;1;2039;2.41938;612111;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;1286923;376349;0;447;930775;423984;1;2039;0.669213;633556;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;123295;434095;0;2600;4458071;1114284;1;2039;1.81738;613126;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;562796;1211165;0;668;2208914;504029;1;2039;0.815934;617733;BELA0;? Unchecked;v1.6.0-12-g7668b80
