domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1472205;1037501;313186;2155;3562387;1189084;1;1651;2.61236;455176;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;840261;665095;158845;705;1748294;644055;1;1651;1.20452;534701;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;1113303;159676;180232;884;1998377;537833;1;1651;1.00747;533848;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;170927;936423;411646;2120;4701263;1205772;1;1825;2.30035;524168;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1089842;933368;273852;1833;3155055;1166070;1;1695;2.21274;526980;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;754643;1448642;220988;1923;2394838;786316;1;1695;1.58675;495550;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;744848;55159;98794;1213;1897498;585305;1;1695;1.11211;526300;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1066240;613162;231864;1026;2689236;1076941;1;1695;2.07141;519906;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;892607;946543;136706;394;1580776;236160;1;1695;0.428835;550702;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1245397;1102353;431920;2849;4974910;1519580;1;1967;3.07317;494467;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;42548;622075;265132;1122;3102514;1238796;1;1967;2.3142;535301;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1234612;1499257;98445;481;1175537;470972;1;1967;0.906635;519473;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;337131;79712;207578;1050;2273415;503377;1;1967;0.912765;551486;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;359225;43209;124545;769;1483865;621136;1;1967;1.22357;507642;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1281094;1427749;151615;824;1695223;797643;1;1967;1.54564;516062;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;430711;346325;422202;2481;4597932;1490905;1;2010;2.93487;507996;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;1286522;1346508;59841;386;666646;172103;1;2010;0.319538;538600;BELA*;? Unchecked;v1.6.0-12-g7668b80
