domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version

roadmap;dimacs;0/1;1;1472205;1037501;1;1656.3;0.650589;SB*;v2.0-53-g98db238
roadmap;dimacs;1/1;1;840261;665095;1;1656.54;0.487223;SB*;v2.0-53-g98db238
roadmap;dimacs;2/1;1;1113303;159676;1;1656.54;0.258007;SB*;v2.0-53-g98db238
roadmap;dimacs;3/1;1;170927;936423;1;1656.54;0.810898;SB*;v2.0-53-g98db238
roadmap;dimacs;4/1;1;1089842;933368;1;1656.54;0.667078;SB*;v2.0-53-g98db238
roadmap;dimacs;5/1;1;754643;1448642;1;1656.54;0.4338;SB*;v2.0-53-g98db238
roadmap;dimacs;6/1;1;744848;55159;1;1656.54;0.413711;SB*;v2.0-53-g98db238
roadmap;dimacs;7/1;1;1066240;613162;1;1656.54;0.232527;SB*;v2.0-53-g98db238
roadmap;dimacs;8/1;1;892607;946543;1;1656.54;0.312047;SB*;v2.0-53-g98db238
roadmap;dimacs;9/1;1;1245397;1102353;1;1656.54;0.587656;SB*;v2.0-53-g98db238
roadmap;dimacs;10/1;1;42548;622075;1;1656.54;0.289628;SB*;v2.0-53-g98db238
roadmap;dimacs;11/1;1;1234612;1499257;1;1656.54;0.132977;SB*;v2.0-53-g98db238
roadmap;dimacs;12/1;1;337131;79712;1;1656.54;0.630027;SB*;v2.0-53-g98db238
roadmap;dimacs;13/1;1;359225;43209;1;1656.54;0.264303;SB*;v2.0-53-g98db238
roadmap;dimacs;14/1;1;1281094;1427749;1;1656.54;0.280085;SB*;v2.0-53-g98db238
roadmap;dimacs;15/1;1;430711;346325;1;1656.54;0.587569;SB*;v2.0-53-g98db238
roadmap;dimacs;16/1;1;1286522;1346508;1;1656.54;0.176228;SB*;v2.0-53-g98db238
roadmap;dimacs;17/1;1;543105;1060109;1;1656.54;0.526978;SB*;v2.0-53-g98db238
roadmap;dimacs;18/1;1;720307;163788;1;1656.54;0.366572;SB*;v2.0-53-g98db238
roadmap;dimacs;19/1;1;951174;105559;1;1656.54;0.0716742;SB*;v2.0-53-g98db238
roadmap;dimacs;20/1;1;1238169;133741;1;1656.54;0.769567;SB*;v2.0-53-g98db238
roadmap;dimacs;21/1;1;732959;1232599;1;1656.54;0.673831;SB*;v2.0-53-g98db238
roadmap;dimacs;22/1;1;428635;901254;1;1656.54;0.090119;SB*;v2.0-53-g98db238
roadmap;dimacs;23/1;1;677786;1305669;1;1656.54;0.189151;SB*;v2.0-53-g98db238
roadmap;dimacs;24/1;1;1061490;756533;1;1656.54;0.456048;SB*;v2.0-53-g98db238
roadmap;dimacs;25/1;1;797834;613193;1;1656.54;0.0755622;SB*;v2.0-53-g98db238
roadmap;dimacs;26/1;1;209950;596109;1;1656.54;0.808533;SB*;v2.0-53-g98db238
roadmap;dimacs;27/1;1;1199260;869047;1;1656.54;0.778497;SB*;v2.0-53-g98db238
roadmap;dimacs;28/1;1;1286923;376349;1;1656.54;0.192203;SB*;v2.0-53-g98db238
roadmap;dimacs;29/1;1;123295;434095;1;1656.54;0.820524;SB*;v2.0-53-g98db238
roadmap;dimacs;30/1;1;562796;1211165;1;1656.54;0.641004;SB*;v2.0-53-g98db238
roadmap;dimacs;31/1;1;627055;287907;1;1656.54;0.403288;SB*;v2.0-53-g98db238
roadmap;dimacs;32/1;1;1425837;880809;1;1656.54;0.114491;SB*;v2.0-53-g98db238
roadmap;dimacs;33/1;1;688933;322817;1;1656.54;0.361676;SB*;v2.0-53-g98db238
roadmap;dimacs;34/1;1;1249136;275614;1;1656.54;0.529728;SB*;v2.0-53-g98db238
roadmap;dimacs;35/1;1;887830;1459081;1;1656.54;0.112302;SB*;v2.0-53-g98db238
roadmap;dimacs;36/1;1;1458335;847567;1;1656.54;0.169837;SB*;v2.0-53-g98db238
roadmap;dimacs;37/1;1;998229;333252;1;1656.54;0.596923;SB*;v2.0-53-g98db238
roadmap;dimacs;38/1;1;66963;453054;1;1656.54;0.51496;SB*;v2.0-53-g98db238
roadmap;dimacs;39/1;1;1056118;711207;1;1656.54;0.257394;SB*;v2.0-53-g98db238
roadmap;dimacs;40/1;1;156333;548644;1;1656.54;0.808962;SB*;v2.0-53-g98db238
roadmap;dimacs;41/1;1;653850;1205339;1;1656.54;0.4131;SB*;v2.0-53-g98db238
roadmap;dimacs;42/1;1;524389;607798;1;1656.54;0.448833;SB*;v2.0-53-g98db238
roadmap;dimacs;43/1;1;65626;436159;1;1656.54;0.521472;SB*;v2.0-53-g98db238
roadmap;dimacs;44/1;1;1111042;952937;1;1656.54;0.657683;SB*;v2.0-53-g98db238
roadmap;dimacs;45/1;1;265278;1131380;1;1656.54;0.143071;SB*;v2.0-53-g98db238
roadmap;dimacs;46/1;1;1326409;489661;1;1656.54;0.690934;SB*;v2.0-53-g98db238
roadmap;dimacs;47/1;1;1495365;328022;1;1656.54;0.702372;SB*;v2.0-53-g98db238
roadmap;dimacs;48/1;1;117811;1078105;1;1656.54;0.878921;SB*;v2.0-53-g98db238
roadmap;dimacs;49/1;1;852370;624417;1;1656.54;0.734249;SB*;v2.0-53-g98db238
roadmap;dimacs;50/1;1;597288;351639;1;1656.54;0.326027;SB*;v2.0-53-g98db238
roadmap;dimacs;51/1;1;1037036;854011;1;1656.54;0.626932;SB*;v2.0-53-g98db238
roadmap;dimacs;52/1;1;352236;77547;1;1656.54;0.147955;SB*;v2.0-53-g98db238
roadmap;dimacs;53/1;1;1258144;1499601;1;1656.54;0.367017;SB*;v2.0-53-g98db238
roadmap;dimacs;54/1;1;416381;97723;1;1656.54;0.806196;SB*;v2.0-53-g98db238
roadmap;dimacs;55/1;1;144271;858266;1;1656.54;0.586692;SB*;v2.0-53-g98db238
roadmap;dimacs;56/1;1;473992;144045;1;1656.54;0.333569;SB*;v2.0-53-g98db238
roadmap;dimacs;57/1;1;578201;865033;1;1656.54;0.472847;SB*;v2.0-53-g98db238
roadmap;dimacs;58/1;1;417655;81041;1;1656.54;0.835021;SB*;v2.0-53-g98db238
roadmap;dimacs;59/1;1;376749;1209270;1;1656.54;0.328827;SB*;v2.0-53-g98db238
