domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   1472205;   1037501;0;2155;3562387;1200131;1;0;1659;2.11851;566499;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;    840261;    665095;0;705;1748294;673122;1;0;1659;1.01486;663266;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;   1113303;    159676;0;884;1998377;636789;1;0;1659;0.971012;655799;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;    170927;    936423;0;2120;4701263;1248259;1;0;1864;1.96115;636492;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;   1089842;    933368;0;1833;3155055;1206640;1;0;1692;1.85437;650701;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;    754643;   1448642;0;1923;2394838;860037;1;0;1692;1.43156;600770;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;    744848;     55159;0;1213;1897498;700466;1;0;1692;1.07313;652729;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;   1066240;    613162;0;1026;2689236;1182898;1;0;1698;1.82575;647896;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;    892607;    946543;0;394;1580776;280305;1;0;1698;0.418737;669407;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;   1245397;   1102353;0;2849;4974910;1520482;1;0;1967;2.61221;582068;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;     42548;    622075;0;1122;3102514;1385376;1;0;1967;2.098;660333;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;   1234612;   1499257;0;481;1175537;557239;1;0;1967;0.865489;643843;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;    337131;     79712;0;1050;2273415;526042;1;0;1967;0.825883;636945;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;    359225;     43209;0;769;1483865;741933;1;0;1967;1.21548;610401;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;   1281094;   1427749;0;824;1695223;883982;1;0;1967;1.37316;643756;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
