domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   1472205;   1037501;313186;2155;3562387;1189088;1;1930;2.87492;413607;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;    840261;    665095;158838;705;1748294;644064;1;1930;1.31889;488338;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;   1113303;    159676;180170;884;1998377;537843;1;1930;1.06166;506606;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    170927;    936423;411770;2120;4701263;1205761;1;1930;2.48021;486153;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;   1089842;    933368;273800;1833;3155055;1165942;1;2004;2.31831;502928;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;    754643;   1448642;221037;1923;2394838;786326;1;2004;1.6909;465033;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    744848;     55159;98794;1213;1897498;585301;1;2004;1.16206;503674;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;   1066240;    613162;231864;1026;2689236;1076938;1;1930;2.1967;490252;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;    892607;    946543;136640;394;1580776;236210;1;1930;0.45788;515878;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;   1245397;   1102353;431831;2849;4974910;1519583;1;2317;3.2428;468602;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;     42548;    622075;265144;1122;3102514;1238795;1;2317;2.45037;505553;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;   1234612;   1499257;98411;481;1175537;470979;1;2317;0.94156;500211;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;    337131;     79712;207762;1050;2273415;503371;1;2317;0.956063;526504;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;    359225;     43209;124897;769;1483865;621128;1;2317;1.23194;504185;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;   1281094;   1427749;151583;824;1695223;797652;1;2317;1.60898;495749;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;    430711;    346325;422122;2481;4597932;1490895;1;2330;3.0968;481431;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;   1286522;   1346508;59993;386;666646;172041;1;2330;0.339334;506996;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;    543105;   1060109;208508;1476;2344002;1026393;1;2330;2.05032;500601;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;    720307;    163788;292426;1650;3416141;1453845;1;2330;3.05389;476063;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;    951174;    105559;57322;311;656871;188318;1;2330;0.387628;485821;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;   1238169;    133741;437277;2693;5339675;1483273;1;2644;3.09389;479420;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;    732959;   1232599;218815;812;2401392;538624;1;2644;1.08746;495304;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;    428635;    901254;88963;513;1033329;373509;1;2644;0.79846;467787;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;    677786;   1305669;59733;508;760638;186485;1;2644;0.374638;497774;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;   1061490;    756533;114090;1150;2169484;859859;1;2644;1.78161;482631;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;    797834;    613193;137072;561;1683862;433003;1;2644;0.852277;508054;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;    209950;    596109;255726;1252;2861466;624458;1;2644;1.19138;524149;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;   1199260;    869047;469673;2532;5267001;1470987;1;2644;2.94591;499332;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;   1286923;    376349;83462;447;930775;341504;1;2644;0.692671;493025;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;    123295;    434095;382916;2600;4458071;1084445;1;2644;2.15689;502782;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;    562796;   1211165;200875;668;2208914;452241;1;2644;0.896697;504341;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;    627055;    287907;283162;1457;3264828;931394;1;2644;1.85762;501392;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;   1425837;    880809;60436;325;692819;79484;1;2644;0.159593;498043;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;    688933;    322817;222000;1127;2629216;1188700;1;2644;2.39412;496507;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;   1249136;    275614;363150;2353;4034669;1440385;1;2644;2.74879;524008;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;    887830;   1459081;71181;501;796618;219911;1;2644;0.442701;496748;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;36/1;1;   1458335;    847567;67688;317;763097;121572;1;2644;0.238092;510609;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;37/1;1;    998229;    333252;351841;1724;4240595;1361652;1;2644;2.77495;490695;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;38/1;1;     66963;    453054;151293;1407;1717350;533466;1;2644;1.11938;476574;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;39/1;1;   1056118;    711207;181622;682;2018390;748375;1;2644;1.53471;487632;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;40/1;1;    156333;    548644;336984;1697;4029347;1063562;1;2644;2.10256;505842;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;41/1;1;    653850;   1205339;307008;1822;3615989;1461940;1;2644;2.98092;490432;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;42/1;1;    524389;    607798;195970;930;2197005;941845;1;2644;1.93986;485521;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;43/1;1;     65626;    436159;192408;1579;2110766;769383;1;2644;1.62389;473790;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;44/1;1;   1111042;    952937;327442;1583;3635402;1293323;1;2644;2.58287;500731;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;45/1;1;    265278;   1131380;92348;751;1065242;191579;1;2644;0.389356;492040;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;46/1;1;   1326409;    489661;351442;1704;4042284;1293898;1;2644;2.63531;490986;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;47/1;1;   1495365;    328022;406160;2395;4536584;1369171;1;2644;2.82125;485306;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;48/1;1;    117811;   1078105;253886;1508;2969042;454650;1;2644;0.896173;507324;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;49/1;1;    852370;    624417;312046;1288;3622777;1150394;1;2644;2.32047;495759;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;50/1;1;    597288;    351639;111825;626;1243770;242551;1;2644;0.469334;516798;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;51/1;1;   1037036;    854011;288698;2004;3218826;1080597;1;2644;2.14219;504436;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;52/1;1;    352236;     77547;109647;585;1257480;491681;1;2644;0.988671;497315;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;53/1;1;   1258144;   1499601;172696;953;1963652;771899;1;2644;1.58398;487317;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;54/1;1;    416381;     97723;316193;1781;3502138;1025753;1;2644;2.03804;503304;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;55/1;1;    144271;    858266;257432;1257;2929089;1184700;1;2644;2.43193;487144;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;56/1;1;    473992;    144045;159574;834;1877937;850870;1;2644;1.75884;483768;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;57/1;1;    578201;    865033;225454;905;2517835;539740;1;2644;1.07591;501658;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;58/1;1;    417655;     81041;265202;1604;2909800;910894;1;2644;1.82899;498031;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;59/1;1;    376749;   1209270;118225;938;1253858;496444;1;2644;1.01712;488087;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;60/1;1;    466108;   1061066;232380;1490;2869294;1000856;1;2644;1.97815;505956;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;61/1;1;    149345;    511977;281411;1457;3288750;814307;1;2644;1.61361;504649;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;62/1;1;    898008;    698768;171380;1007;1946429;551024;1;2644;1.09596;502779;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;63/1;1;    711871;   1522987;57828;255;742532;53457;1;2644;0.112058;477048;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;64/1;1;    785364;   1078872;184852;971;2125689;752921;1;2644;1.59738;471347;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;65/1;1;    907000;   1091864;294444;1476;3366246;1121497;1;2644;2.20686;508186;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;66/1;1;    217912;   1198605;71374;507;770175;182459;1;2644;0.355343;513472;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;67/1;1;    584469;    654225;140295;686;1690120;489829;1;2644;0.978876;500399;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;68/1;1;    723535;   1469815;128024;767;1628206;653939;1;2644;1.32981;491752;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;69/1;1;    622713;    445772;282311;1162;3275931;591522;1;2644;1.17773;502254;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;70/1;1;    395356;   1319491;265758;1285;2936004;929525;1;2644;1.92032;484048;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
