domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1472205;1037501;313186;2155;3562387;1189084;0;1367;2.29724;517614;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;840261;665095;158845;705;1748294;644055;0;1367;1.13301;568446;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;1113303;159676;180232;884;1998377;537833;0;1367;0.935331;575019;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;170927;936423;411646;2121;4701263;1205772;0;1550;2.08478;578370;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1089842;933368;273852;1833;3155055;1166070;0;1464;1.96483;593473;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;754643;1448642;220988;1924;2394838;786316;0;1367;1.4591;538903;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;744848;55159;98794;1213;1897498;585305;0;1367;1.03053;567966;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1066240;613162;231864;1028;2689236;1076941;0;1394;1.89684;567756;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;892607;946543;136706;394;1580776;236160;0;1394;0.39942;591257;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1245397;1102353;431920;2850;4974910;1519580;0;1612;2.78378;545870;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;42548;622075;265132;1124;3102514;1238796;0;1612;2.13121;581264;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1234612;1499257;98445;481;1175537;470972;0;1612;0.837578;562302;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;337131;79712;207578;1050;2273415;503377;0;1612;0.844498;596067;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;359225;43209;124545;770;1483865;621136;0;1612;1.13665;546460;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1281094;1427749;151615;824;1695223;797643;0;1612;1.43875;554399;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;430711;346325;422202;2482;4597932;1490905;0;1612;2.69556;553096;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;1286522;1346508;59841;386;666646;172103;0;1612;0.299582;574477;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;543105;1060109;208508;1476;2344002;1026393;0;1612;1.79469;571906;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;720307;163788;291639;1652;3416141;1453840;0;1612;2.6511;548390;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;951174;105559;57322;312;656871;188308;0;1612;0.34252;549773;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;1238169;133741;437339;2694;5339675;1483268;0;1612;2.64688;560382;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;732959;1232599;218797;817;2401392;538608;0;1612;0.953365;564955;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;428635;901254;88908;513;1033329;373492;0;1612;0.69505;537360;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;677786;1305669;59963;508;760638;186421;0;1612;0.356874;522372;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1061490;756533;114090;1150;2169484;859845;0;1612;1.55806;551869;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;797834;613193;137087;562;1683862;432992;0;1612;0.753623;574547;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;209950;596109;255672;1252;2861466;624450;0;1612;1.05751;590490;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1199260;869047;469582;2532;5267001;1470991;0;1612;2.64145;556887;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;1286923;376349;83540;447;930775;341427;0;1612;0.591408;577312;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;123295;434095;382755;2601;4458071;1084449;0;1612;1.96429;552081;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;562796;1211165;200850;673;2208914;452237;0;1612;0.807095;560327;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;627055;287907;282601;1457;3264828;931342;0;1612;1.66388;559742;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1425837;880809;60452;326;692819;79471;0;1612;0.139161;571071;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;688933;322817;221987;1127;2629216;1188701;0;1612;2.13996;555478;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1249136;275614;363159;2354;4034669;1440378;0;1612;2.46697;583864;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;887830;1459081;71181;501;796618;219915;0;1612;0.389802;564170;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;1458335;847567;67731;317;763097;121582;0;1612;0.216529;561504;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;998229;333252;352091;1724;4240595;1361532;0;1612;2.42001;562614;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;66963;453054;151324;1407;1717350;533425;0;1612;0.952965;559753;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;1056118;711207;181641;682;2018390;748382;0;1612;1.40039;534409;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;156333;548644;336984;1708;4029519;1063609;0;1612;1.81896;584733;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;653850;1205339;307008;1822;3615989;1461940;0;1612;2.66662;548237;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;524389;607798;195949;930;2197005;941846;0;1612;1.69374;556075;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;65626;436159;192482;1580;2110766;769350;0;1612;1.50201;512214;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;1111042;952937;327431;1584;3635402;1293332;0;1612;2.25599;573289;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;265278;1131380;92336;751;1065242;191584;0;1612;0.338615;565787;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;1326409;489661;352120;1704;4042284;1293857;0;1612;2.26039;572405;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;1495365;328022;406160;2396;4536584;1369170;0;1612;2.44592;559777;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;117811;1078105;253886;1517;2969076;454646;0;1612;0.814457;558220;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;852370;624417;312012;1291;3622777;1150385;0;1612;2.04438;562707;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;597288;351639;111558;626;1243770;242588;0;1612;0.4091;592979;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;1037036;854011;288686;2005;3218826;1080597;0;1612;1.88471;573348;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;352236;77547;109647;586;1257480;491711;0;1612;0.883973;556251;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;1258144;1499601;172662;954;1963652;771879;0;1612;1.44237;535145;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;416381;97723;316014;1782;3502138;1025754;0;1612;1.85365;553371;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;144271;858266;257359;1257;2929089;1184686;0;1612;2.13579;554682;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;473992;144045;159574;835;1877937;850866;0;1612;1.55384;547588;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;57/1;1;578201;865033;225454;906;2517835;539726;0;1612;1.01825;530054;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;58/1;1;417655;81041;265152;1605;2909800;910891;0;1612;1.66414;547363;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;59/1;1;376749;1209270;117694;938;1253858;496445;0;1612;0.907067;547308;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;60/1;1;466108;1061066;232476;1490;2869294;1000853;0;1612;1.78521;560635;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;61/1;1;149345;511977;281502;1458;3288750;814332;0;1612;1.44104;565100;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;62/1;1;898008;698768;171340;1007;1946429;551005;0;1612;1.03811;530776;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;63/1;1;711871;1522987;57828;255;742532;53456;0;1612;0.0982318;544182;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;64/1;1;785364;1078872;184852;971;2125689;752936;0;1612;1.44663;520474;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;65/1;1;907000;1091864;294444;1476;3366246;1121501;0;1612;2.01864;555573;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;66/1;1;217912;1198605;71374;508;770175;182460;0;1612;0.311496;585754;mA*;? Unchecked;v1.6.0-12-g7668b80
