domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1472205;1037501;0;2155;3562387;1200131;0;1374;1.87806;639026;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;840261;665095;0;705;1748294;673122;0;1374;0.923181;729133;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;1113303;159676;0;884;1998377;636789;0;1374;0.881295;722560;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;170927;936423;0;2121;4701263;1248259;0;1456;1.74723;714422;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1089842;933368;0;1833;3155055;1206640;0;1456;1.62114;744317;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;754643;1448642;0;1924;2394838;860037;0;1456;1.27674;673617;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;744848;55159;0;1213;1897498;700466;0;1456;0.972846;720017;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1066240;613162;0;1028;2689236;1182898;0;1456;1.63461;723657;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;892607;946543;0;394;1580776;280305;0;1456;0.380095;737460;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;1245397;1102353;0;2850;4974910;1520482;0;1613;2.27594;668069;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;42548;622075;0;1124;3102514;1385376;0;1694;1.88527;734842;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1234612;1499257;0;481;1175537;557239;0;1694;0.808954;688839;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;337131;79712;0;1050;2273415;526042;0;1694;0.713492;737278;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;359225;43209;0;770;1483865;741933;0;1694;1.09309;678745;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1281094;1427749;0;824;1695223;883982;0;1694;1.28458;688146;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;430711;346325;0;2482;4597932;1501075;0;1708;2.1704;691613;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;1286522;1346508;0;386;666646;205481;0;1708;0.291578;704720;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;543105;1060109;0;1476;2344002;1049094;0;1708;1.47892;709365;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;720307;163788;0;1652;3416141;1464997;0;1708;2.11552;692500;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;951174;105559;0;312;656871;219724;0;1708;0.318975;688844;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;1238169;133741;0;2694;5339675;1496824;0;1708;2.17614;687835;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;732959;1232599;0;817;2401392;606262;0;1708;0.857237;707228;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;428635;901254;0;513;1033329;489328;0;1708;0.706367;692739;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;677786;1305669;0;508;760638;213234;0;1708;0.302165;705686;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1061490;756533;0;1150;2169484;927469;0;1708;1.3032;711684;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;797834;613193;0;562;1683862;607043;0;1708;0.909041;667784;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;209950;596109;0;1252;2861466;634946;0;1708;0.857548;740421;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1199260;869047;0;2532;5267001;1480929;0;1708;2.11126;701444;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;1286923;376349;0;447;930775;423984;0;1708;0.602691;703485;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;123295;434095;0;2601;4458071;1114284;0;1708;1.56638;711374;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;562796;1211165;0;673;2208914;504029;0;1708;0.722361;697752;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;627055;287907;0;1457;3264828;1070673;0;1708;1.56176;685554;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1425837;880809;0;326;692819;93745;0;1708;0.14716;637029;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;688933;322817;0;1127;2629216;1276786;0;1708;1.8113;704902;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1249136;275614;0;2354;4034669;1455849;0;1708;2.04182;713016;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;887830;1459081;0;501;796618;235424;0;1708;0.331727;709693;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;1458335;847567;0;317;763097;134865;0;1708;0.189309;712406;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;998229;333252;0;1724;4240595;1386485;0;1708;1.99007;696702;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;66963;453054;0;1407;1717350;631412;0;1708;0.904243;698277;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;1056118;711207;0;682;2018390;891715;0;1708;1.30663;682452;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;156333;548644;0;1698;4029347;1093596;0;1708;1.50739;725489;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;653850;1205339;0;1822;3615989;1477731;0;1708;2.14853;687786;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;524389;607798;0;930;2197005;964463;0;1708;1.39018;693768;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;65626;436159;0;1580;2110766;928445;0;1708;1.37737;674072;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;1111042;952937;0;1584;3635402;1322944;0;1708;1.83103;722514;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;265278;1131380;0;751;1065242;204122;0;1708;0.28817;708339;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;1326409;489661;0;1704;4042284;1422660;0;1708;1.96494;724021;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
