domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1184114;193764;0;1161;4668772;843127;0;2308;2.60076;324185;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;457060;1134187;0;827;3674166;756932;0;1798;2.10895;358914;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;648367;958789;0;529;1578123;70034;0;1606;0.192037;364690;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;485078;567556;0;1406;6183289;979819;0;2511;2.82638;346670;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1175334;1035537;0;750;3674030;297274;0;1743;0.825249;360223;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;626886;437084;0;804;1776748;308455;0;1743;0.832525;370505;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;635719;734204;0;965;2314470;457890;0;1743;1.24122;368904;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;316104;997118;0;1634;5530990;691413;0;2158;1.91797;360492;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;47649;976084;0;1290;6555144;697662;0;2158;2.00247;348401;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;915484;1137906;0;637;2219966;248306;0;1774;0.675921;367360;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;72419;669854;0;1509;6188684;851236;0;2542;2.38236;357308;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1121375;296229;0;939;2972476;455366;0;2158;1.24235;366536;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;873937;1184806;0;895;1799018;281847;0;1774;0.750286;375653;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;193531;355264;0;251;1753516;108315;0;1774;0.296063;365851;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;147031;633056;0;544;2055676;276216;0;1966;0.806588;342450;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;362446;482465;0;712;2280332;347266;0;2158;0.973297;356794;K0;? Unchecked;v1.6.0-12-g7668b80
