domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1184114;193764;365785;1161;4668772;781984;0;2232;2.7886;280422;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;457060;1134187;306581;827;3674166;707056;0;1728;2.23288;316656;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;648367;958789;129851;529;1578123;64284;0;1536;0.207241;310190;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;485078;567556;537613;1406;6183289;964296;0;2493;3.2072;300666;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1175334;1035537;284229;750;3674030;251044;0;1725;0.78615;319333;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;626886;437084;155699;804;1776748;259065;0;1725;0.84545;306422;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;635719;734204;195681;965;2314470;425311;0;1725;1.34439;316361;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;316104;997118;458606;1634;5530990;648213;0;2109;2.10682;307674;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;47649;976084;558601;1290;6555144;523347;0;2109;1.7641;296665;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;915484;1137906;165384;637;2219966;230049;0;1725;0.690658;333087;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;72419;669854;530353;1509;6188684;797910;0;2493;2.58994;308081;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1121375;296229;257576;939;2972476;408610;0;1917;1.28675;317551;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;873937;1184806;135445;895;1799018;264003;0;1725;0.822203;321092;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;193531;355264;127968;251;1753516;92906;0;1725;0.285118;325851;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;147031;633056;115137;544;2055676;251147;0;1725;0.780745;321676;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;362446;482465;186548;712;2280332;309612;0;1917;1.00438;308260;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;770308;417500;737077;1746;8930044;1203466;0;3606;4.14157;290582;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;908330;720411;128933;291;1791568;189933;0;2070;0.599174;316991;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;1038933;130295;221765;838;3271273;565447;0;2070;1.82729;309445;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;652846;858648;268507;625;3457795;371980;0;2070;1.16968;318018;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;676969;283827;564197;2077;6738959;955913;0;2838;3.13439;304976;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;910826;680529;199319;778;2574537;417089;0;2070;1.32263;315349;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;515058;865076;359426;1219;4602631;709650;0;2838;2.38675;297329;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;348482;108720;485999;1426;5713066;815521;0;2838;2.63473;309527;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1204965;881288;191225;703;2391428;217818;0;2070;0.685023;317972;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;907042;523545;158040;508;2344892;416673;0;2070;1.30919;318268;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;752817;293040;341689;1042;4298020;692896;0;2838;2.22959;310772;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;491779;520998;507666;1493;6000959;946372;0;2838;3.11986;303338;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;1009615;1162067;145499;790;1606040;109125;0;2070;0.326555;334171;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;701030;1127091;404708;1086;4938716;776710;0;2838;2.4937;311469;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;472756;557148;52516;334;573047;102004;0;2070;0.29874;341447;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;155407;436004;101400;424;1196121;142838;0;2070;0.447817;318965;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;456711;311070;380512;1193;4546914;861230;0;2838;2.77686;310145;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;442126;981906;201739;981;2240093;324691;0;2262;1.05165;308745;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;245025;364323;287329;885;3395675;261199;0;2262;0.90302;289251;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;5294;359682;498124;1055;5856522;377275;0;2838;1.34018;281510;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;971272;420382;454380;1015;5522996;544419;0;2838;1.89522;287259;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;1085133;900426;525389;1649;6548895;1146787;0;2838;3.83034;299396;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;428123;175918;164528;509;2188148;316017;0;2454;1.02783;307461;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;371133;254310;339463;825;4059009;503124;0;2454;1.59068;316295;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;145885;494504;351426;936;4004045;653282;0;2454;2.09565;311732;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;1033980;1115849;254172;954;3386370;571065;0;2454;1.87026;305341;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;678373;779275;239722;984;2863584;401261;0;2454;1.26422;317398;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;1204962;531023;234648;817;2886868;460374;0;2454;1.53842;299251;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;1004218;821966;178454;1280;3036130;238413;0;2454;0.816308;292062;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;675354;512610;558692;1634;7038241;954368;0;2838;3.12674;305228;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;86859;596027;874057;2716;11007481;1200209;0;3734;4.28824;279884;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;681418;478587;221147;1149;2669597;464158;0;2582;1.44266;321738;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;760397;372153;402478;1933;4697477;721988;0;2966;2.43062;297039;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;93813;542722;495814;1384;5909708;606712;0;2966;2.12812;285093;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;447380;364700;339858;951;4094396;552303;0;2582;1.88038;293719;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;247986;234915;335229;564;4052621;211426;0;2582;0.74264;284695;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;980356;494879;326360;621;3778449;227777;0;2582;0.766861;297025;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;892807;798084;85167;233;1210536;193839;0;2198;0.567568;341526;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;720503;1090045;559274;2110;6796518;1095483;0;2966;3.6706;298448;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;489387;1078166;235843;898;3124023;390641;0;2582;1.24419;313972;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;32771;17233;493899;1491;6118602;566126;0;2966;1.99736;283437;K*;? Unchecked;v1.6.0-12-g7668b80
