domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1184114;193764;0;1161;4668772;843126;1;1167;1.56627;538300;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;457060;1134187;0;827;3674166;756931;1;1286;1.25218;604492;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;648367;958789;0;529;1578123;70033;1;1286;0.122856;570043;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;485078;567556;0;1406;6183289;979818;1;1286;1.57702;621308;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1175334;1035537;0;750;3674030;297271;1;1286;0.466705;636957;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;626886;437084;0;804;1776748;308454;1;1286;0.496531;621219;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;635719;734204;0;965;2314470;457887;1;1286;0.741773;617287;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;316104;997118;0;1634;5530990;691412;1;1286;1.11592;619588;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;47649;976084;0;1290;6555144;697661;1;1286;1.17418;594171;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;915484;1137906;0;637;2219966;248305;1;1286;0.383078;648184;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;72419;669854;0;1509;6188684;851235;1;1355;1.40312;606672;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1121375;296229;0;939;2972476;455365;1;1355;0.72056;631960;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;873937;1184806;0;895;1799018;281846;1;1355;0.406568;693233;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;193531;355264;0;251;1753516;108311;1;1355;0.183782;589345;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;147031;633056;0;544;2055676;276215;1;1355;0.481275;573923;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;362446;482465;0;712;2280332;347264;1;1355;0.554767;625964;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;770308;417500;0;1747;8930013;1204223;1;1472;2.10382;572398;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;908330;720411;0;291;1791568;228281;1;1472;0.356919;639587;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;1038933;130295;0;838;3271273;643934;1;1472;0.965136;667195;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;652846;858648;0;625;3457795;426551;1;1472;0.691311;617018;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;676969;283827;0;2077;6738959;1053982;1;1517;1.6306;646378;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;910826;680529;0;778;2574537;483164;1;1517;0.774577;623778;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;515058;865076;0;1219;4602631;800531;1;1517;1.384;578420;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;348482;108720;0;1426;5713066;861287;1;1517;1.43555;599968;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1204965;881288;0;703;2391428;265231;1;1517;0.45001;589390;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;907042;523545;0;508;2344892;474322;1;1517;0.764707;620266;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;752817;293040;0;1042;4298020;732469;1;1517;1.24831;586768;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;491779;520998;0;1493;6000959;964048;1;1517;1.56241;617024;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;1009615;1162067;0;790;1605959;110549;1;1517;0.174121;634899;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;701030;1127091;0;1086;4938716;848109;1;1517;1.39898;606233;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;472756;557148;0;334;573047;109867;1;1517;0.166178;661142;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;155407;436004;0;424;1196121;150663;1;1517;0.238064;632867;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;456711;311070;0;1193;4546914;933778;1;1517;1.53108;609881;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;442126;981906;0;981;2240093;353061;1;1517;0.61638;572797;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;245025;364323;0;885;3395675;352553;1;1517;0.625149;563951;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;5294;359682;0;1055;5856522;451597;1;1517;0.905623;498659;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;971272;420382;0;1018;5522898;636985;1;1517;1.09251;583045;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;1085133;900426;0;1649;6548895;1161831;1;1517;1.86872;621725;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;428123;175918;0;509;2186889;344267;1;1517;0.575762;597932;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;371133;254310;0;825;4059009;547150;1;1517;0.945381;578762;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;145885;494504;0;936;4004045;697563;1;1517;1.17728;592522;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;1033980;1115849;0;954;3386370;635804;1;1517;1.03049;616990;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;678373;779275;0;984;2863584;432344;1;1517;0.689755;626808;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;1204962;531023;0;817;2886868;529917;1;1517;0.861851;614860;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;1004218;821966;0;1280;3036130;253476;1;1517;0.434385;583528;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;675354;512610;0;1634;7038241;1020215;1;1517;1.60843;634292;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;86859;596027;0;2716;11007481;1200310;1;1517;2.13444;562354;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;681418;478587;0;1149;2669597;504580;1;1517;0.813003;620637;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;760397;372153;0;1933;4697477;790048;1;1517;1.3609;580534;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;93813;542722;0;1384;5909708;665506;1;1517;1.18102;563501;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;447380;364700;0;951;4094396;662443;1;1517;1.14523;578435;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;247986;234915;0;564;4052621;223524;1;1517;0.413094;541097;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;980356;494879;0;621;3778449;236556;1;1517;0.418827;564807;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;892807;798084;0;233;1210536;211176;1;1517;0.32626;647262;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;720503;1090045;0;2110;6796518;1124705;1;1517;1.83934;611471;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;489387;1078166;0;898;3124023;440633;1;1517;0.739873;595552;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;32771;17233;0;1470;6115589;700261;1;1517;1.2212;573418;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;57/1;1;746419;325594;0;1482;5966143;1017274;1;1517;1.63977;620376;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;58/1;1;884332;577380;0;572;2950078;541599;1;1517;0.882902;613431;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;59/1;1;1095690;484726;0;1192;4904242;487598;1;1517;0.904274;539215;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;60/1;1;949870;966567;0;426;1397091;100514;1;1517;0.183528;547678;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;61/1;1;682839;783539;0;922;2854969;262371;1;1517;0.500378;524345;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;62/1;1;1002602;269552;0;1354;6618351;1164254;1;1517;1.91967;606487;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;63/1;1;599356;815289;0;1608;6407530;737291;1;1517;1.30621;564449;BELA0;? Unchecked;v1.6.0-12-g7668b80
