domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1184114;193764;365785;1161;4668772;781983;1;1113;1.71786;455208;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;457060;1134187;306581;827;3674166;707054;1;1232;1.3152;537604;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;648367;958789;129851;529;1578123;64283;1;1232;0.131657;488259;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;485078;567556;537613;1406;6183289;964295;1;1269;1.84179;523565;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1175334;1035537;284229;750;3674030;251041;1;1269;0.464779;540129;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;626886;437084;155699;804;1776748;259064;1;1269;0.467228;554470;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;635719;734204;195681;965;2314470;425307;1;1269;0.883428;481428;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;316104;997118;458606;1634;5530990;648212;1;1269;1.24137;522176;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;47649;976084;558601;1290;6555144;523346;1;1269;1.0882;480928;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;915484;1137906;165384;637;2219966;230048;1;1269;0.445088;516860;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;72419;669854;530353;1509;6188684;797909;1;1309;1.56099;511156;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1121375;296229;257576;939;2972476;408609;1;1309;0.772686;528816;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;873937;1184806;135445;895;1799018;264002;1;1309;0.463477;569612;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;193531;355264;127968;251;1753516;92901;1;1309;0.191621;484816;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;147031;633056;115137;544;2055676;251146;1;1309;0.509573;492856;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;362446;482465;186548;712;2280332;309610;1;1309;0.618499;500583;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;770308;417500;737077;1746;8930044;1203465;1;1471;2.43452;494333;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;908330;720411;128933;291;1791568;189922;1;1471;0.366446;518281;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;1038933;130295;221765;838;3271273;565446;1;1471;1.04027;543555;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;652846;858648;268507;625;3457795;371974;1;1471;0.727052;511619;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;676969;283827;564197;2077;6738959;955912;1;1471;1.77229;539365;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;910826;680529;199319;778;2574537;417084;1;1471;0.815438;511484;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;515058;865076;359426;1219;4602631;709647;1;1471;1.41181;502649;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;348482;108720;485999;1426;5713066;815520;1;1471;1.57561;517589;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1204965;881288;191225;703;2391428;217815;1;1471;0.44429;490254;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;907042;523545;158040;508;2344892;416668;1;1471;0.825678;504638;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;752817;293040;341689;1042;4298020;692895;1;1471;1.34692;514430;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;491779;520998;507666;1493;6000959;946371;1;1471;1.83561;515562;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;1009615;1162067;145499;787;1606040;109123;1;1471;0.201332;542005;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;701030;1127091;404708;1086;4938716;776709;1;1471;1.56709;495638;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;472756;557148;52516;334;573047;102003;1;1471;0.18637;547314;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;155407;436004;101400;424;1196121;142836;1;1471;0.270425;528192;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;456711;311070;380512;1193;4546914;861228;1;1471;1.72718;498633;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;442126;981906;201739;981;2240093;324690;1;1471;0.63174;513962;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;245025;364323;287329;885;3395675;261198;1;1471;0.513501;508661;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;5294;359682;498124;1055;5856522;377270;1;1471;0.910362;414418;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;971272;420382;454380;1015;5522996;544415;1;1471;1.13943;477796;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;1085133;900426;525389;1649;6548895;1146786;1;1471;2.19548;522339;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;428123;175918;164528;512;2188148;316015;1;1471;0.624897;505707;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;371133;254310;339463;825;4059009;503123;1;1471;1.00244;501898;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;145885;494504;351426;936;4004045;653281;1;1471;1.27577;512069;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;1033980;1115849;254172;954;3386370;571064;1;1471;1.10888;514994;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;678373;779275;239722;984;2863584;401260;1;1471;0.765645;524081;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;1204962;531023;234648;817;2886868;460373;1;1471;0.892098;516057;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;1004218;821966;178454;1280;3036130;238412;1;1471;0.481112;495544;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;675354;512610;558692;1634;7038241;954367;1;1471;1.79017;533117;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;86859;596027;874057;2716;11007481;1200208;1;1476;2.47982;483989;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;681418;478587;221147;1149;2669597;464157;1;1476;0.88308;525611;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;760397;372153;402478;1933;4697477;721987;1;1476;1.45618;495808;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;93813;542722;495814;1384;5909708;606705;1;1476;1.25884;481956;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;447380;364700;339858;951;4094396;552302;1;1476;1.1468;481605;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;247986;234915;335229;564;4052621;211424;1;1476;0.461975;457653;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;980356;494879;326360;621;3778449;227776;1;1476;0.468011;486690;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;892807;798084;85167;233;1210536;193836;1;1476;0.360488;537705;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;720503;1090045;559274;2110;6796518;1095482;1;1476;2.10325;520851;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;489387;1078166;235843;898;3124023;390638;1;1476;0.771901;506072;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;32771;17233;493899;1493;6118602;566125;1;1476;1.18043;479591;BELA*;? Unchecked;v1.6.0-12-g7668b80
