domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   1184114;    193764;0;1161;4668772;843126;1;0;1167;1.542;546775;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;    457060;   1134187;0;827;3674166;756931;1;0;1286;1.226;617401;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;    648367;    958789;0;529;1578123;70033;1;0;1286;0.124896;560730;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;    485078;    567556;0;1406;6183289;979818;1;0;1286;1.57947;620347;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;   1175334;   1035537;0;750;3674030;297271;1;0;1286;0.467149;636351;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;    626886;    437084;0;804;1776748;308454;1;0;1286;0.463929;664873;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;    635719;    734204;0;965;2314470;457887;1;0;1286;0.774767;591000;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;    316104;    997118;0;1634;5530990;691412;1;0;1286;1.12234;616047;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;     47649;    976084;0;1290;6555144;697661;1;0;1286;1.1619;600447;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;    915484;   1137906;0;637;2219966;248305;1;0;1286;0.39249;632641;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;     72419;    669854;0;1509;6188684;851235;1;0;1354;1.40825;604463;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;   1121375;    296229;0;939;2972476;455365;1;0;1354;0.718589;633693;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;    873937;   1184806;0;895;1799018;281846;1;0;1354;0.406054;694110;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;    193531;    355264;0;251;1753516;108311;1;0;1354;0.18634;581254;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;    147031;    633056;0;544;2055676;276215;1;0;1354;0.48207;572977;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;    362446;    482465;0;712;2280332;347264;1;0;1354;0.55568;624935;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;16/1;1;    770308;    417500;0;1747;8930013;1204223;1;0;1472;2.08014;578916;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;17/1;1;    908330;    720411;0;291;1791568;228281;1;0;1472;0.354537;643884;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;18/1;1;   1038933;    130295;0;838;3271273;643934;1;0;1472;0.962145;669269;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;19/1;1;    652846;    858648;0;625;3457795;426551;1;0;1472;0.68945;618683;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;20/1;1;    676969;    283827;0;2077;6738959;1053982;1;0;1517;1.62204;649790;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;21/1;1;    910826;    680529;0;778;2574537;483164;1;0;1517;0.800894;603281;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;22/1;1;    515058;    865076;0;1219;4602631;800531;1;0;1517;1.36921;584668;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;23/1;1;    348482;    108720;0;1426;5713066;861287;1;0;1517;1.42472;604531;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;24/1;1;   1204965;    881288;0;703;2391428;265231;1;0;1517;0.450753;588418;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;25/1;1;    907042;    523545;0;508;2344892;474322;1;0;1517;0.755881;627509;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;26/1;1;    752817;    293040;0;1042;4298020;732469;1;0;1517;1.25649;582948;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;27/1;1;    491779;    520998;0;1493;6000959;964048;1;0;1517;1.55823;618683;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;28/1;1;   1009615;   1162067;0;790;1605959;110549;1;0;1517;0.174205;634591;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;29/1;1;    701030;   1127091;0;1086;4938716;848109;1;0;1517;1.39129;609586;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;30/1;1;    472756;    557148;0;334;573047;109867;1;0;1517;0.165371;664367;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;31/1;1;    155407;    436004;0;424;1196121;150663;1;0;1517;0.24164;623503;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;32/1;1;    456711;    311070;0;1193;4546914;933778;1;0;1517;1.56042;598413;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;33/1;1;    442126;    981906;0;981;2240093;353061;1;0;1517;0.616159;573003;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;34/1;1;    245025;    364323;0;885;3395675;352553;1;0;1517;0.627266;562047;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;35/1;1;      5294;    359682;0;1055;5856522;451597;1;0;1517;0.875526;515801;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;36/1;1;    971272;    420382;0;1018;5522898;636985;1;0;1517;1.09239;583114;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;37/1;1;   1085133;    900426;0;1649;6548895;1161831;1;0;1517;1.8617;624069;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;38/1;1;    428123;    175918;0;509;2186889;344267;1;0;1517;0.573248;600555;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;39/1;1;    371133;    254310;0;825;4059009;547150;1;0;1517;0.946575;578031;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;40/1;1;    145885;    494504;0;936;4004045;697563;1;0;1517;1.17296;594701;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;41/1;1;   1033980;   1115849;0;954;3386370;635804;1;0;1517;1.0107;629075;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;42/1;1;    678373;    779275;0;984;2863584;432344;1;0;1517;0.687921;628479;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;43/1;1;   1204962;    531023;0;817;2886868;529917;1;0;1517;0.860518;615811;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;44/1;1;   1004218;    821966;0;1280;3036130;253476;1;0;1517;0.45316;559352;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;45/1;1;    675354;    512610;0;1634;7038241;1020215;1;0;1517;1.59559;639395;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;46/1;1;     86859;    596027;0;2716;11007481;1200310;1;0;1517;2.12622;564527;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;47/1;1;    681418;    478587;0;1149;2669597;504580;1;0;1517;0.798732;631726;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;48/1;1;    760397;    372153;0;1933;4697477;790048;1;0;1517;1.34951;585434;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;49/1;1;     93813;    542722;0;1384;5909708;665506;1;0;1517;1.15604;575676;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;50/1;1;    447380;    364700;0;951;4094396;662443;1;0;1517;1.13948;581354;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;51/1;1;    247986;    234915;0;564;4052621;223524;1;0;1517;0.413978;539942;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;52/1;1;    980356;    494879;0;621;3778449;236556;1;0;1517;0.416667;567734;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;53/1;1;    892807;    798084;0;233;1210536;211176;1;0;1517;0.324023;651731;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;54/1;1;    720503;   1090045;0;2110;6796518;1124705;1;0;1517;1.78901;628676;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;55/1;1;    489387;   1078166;0;898;3124023;440633;1;0;1517;0.731609;602279;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;56/1;1;     32771;     17233;0;1470;6115589;700261;1;0;1517;1.21288;577356;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;57/1;1;    746419;    325594;0;1482;5966143;1017274;1;0;1517;1.62967;624220;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;58/1;1;    884332;    577380;0;572;2950078;541599;1;0;1517;0.868718;623446;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;59/1;1;   1095690;    484726;0;1192;4904242;487598;1;0;1517;0.893648;545627;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;60/1;1;    949870;    966567;0;426;1397091;100514;1;0;1517;0.18419;545707;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;61/1;1;    682839;    783539;0;922;2854969;262371;1;0;1517;0.459955;570428;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;62/1;1;   1002602;    269552;0;1354;6618351;1164254;1;0;1517;1.92833;603764;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;63/1;1;    599356;    815289;0;1608;6407530;737291;1;0;1517;1.28906;571959;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;64/1;1;    609510;    868976;0;623;2015215;349506;1;0;1517;0.593576;588814;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;65/1;1;   1056417;   1197904;0;1475;6133933;828701;1;0;1517;1.46281;566513;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;66/1;1;    483230;    807734;0;904;2618377;343101;1;0;1517;0.577632;593979;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;67/1;1;    521120;    311174;0;1152;6961077;1114707;1;0;1517;1.86765;596851;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;68/1;1;    181514;     70872;0;1022;5810724;1040320;1;0;1517;1.68974;615668;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;69/1;1;    831298;    692941;0;1598;5456489;612134;1;0;1517;1.09493;559062;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;70/1;1;    576531;    928353;0;839;3354474;598162;1;0;1517;0.987091;605984;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;71/1;1;    890413;    335170;0;1593;7709198;1184480;1;0;1517;1.86426;635364;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;72/1;1;    505669;    752733;0;1123;4318602;697019;1;0;1517;1.28198;543706;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;73/1;1;   1190825;   1005135;0;583;1512598;211955;1;0;1517;0.339936;623514;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
