domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   1184114;    193764;0;1161;4668772;843126;1;1342;1.71751;490899;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;    457060;   1134187;0;827;3674166;756931;1;1444;1.33185;568331;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    648367;    958789;0;529;1578123;70033;1;1444;0.132485;528612;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    485078;    567556;0;1406;6183289;979818;1;1485;1.68121;582804;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;   1175334;   1035537;0;750;3674030;297271;1;1485;0.490693;605819;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;    626886;    437084;0;804;1776748;308454;1;1485;0.486835;633590;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    635719;    734204;0;965;2314470;457887;1;1485;0.752216;608718;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;    316104;    997118;0;1634;5530990;691412;1;1485;1.18536;583294;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;     47649;    976084;0;1290;6555144;697661;1;1485;1.23225;566167;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;    915484;   1137906;0;637;2219966;248305;1;1485;0.424394;585081;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;     72419;    669854;0;1509;6188684;851235;1;1597;1.49623;568920;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;   1121375;    296229;0;939;2972476;455365;1;1597;0.760293;598933;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;    873937;   1184806;0;895;1799018;281846;1;1597;0.429773;655802;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;    193531;    355264;0;251;1753516;108311;1;1597;0.195946;552760;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;    147031;    633056;0;544;2055676;276215;1;1597;0.506844;544970;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;    362446;    482465;0;712;2280332;347264;1;1597;0.584162;594465;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;    770308;    417500;0;1747;8930013;1204223;1;1721;2.25658;533651;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;    908330;    720411;0;291;1791568;228281;1;1721;0.371745;614079;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   1038933;    130295;0;838;3271273;643934;1;1721;1.02811;626329;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;    652846;    858648;0;625;3457795;426551;1;1721;0.705101;604950;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    676969;    283827;0;2077;6738959;1053982;1;1721;1.77714;593078;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;    910826;    680529;0;778;2574537;483164;1;1721;0.808162;597855;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;    515058;    865076;0;1219;4602631;800531;1;1721;1.48375;539531;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;    348482;    108720;0;1426;5713066;861287;1;1721;1.53997;559288;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;   1204965;    881288;0;703;2391428;265231;1;1721;0.475926;557295;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;    907042;    523545;0;508;2344892;474322;1;1721;0.794919;596692;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;    752817;    293040;0;1042;4298020;732469;1;1721;1.32725;551870;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;    491779;    520998;0;1493;6000959;964048;1;1721;1.64263;586893;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;   1009615;   1162067;0;790;1605959;110549;1;1721;0.183391;602804;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;    701030;   1127091;0;1086;4938716;848109;1;1721;1.53237;553462;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;    472756;    557148;0;334;573047;109867;1;1721;0.173166;634461;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;    155407;    436004;0;424;1196121;150663;1;1721;0.251403;599288;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;    456711;    311070;0;1193;4546914;933778;1;1721;1.66397;561173;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;    442126;    981906;0;981;2240093;353061;1;1721;0.651216;542157;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;    245025;    364323;0;885;3395675;352553;1;1721;0.666499;528962;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;      5294;    359682;0;1055;5856522;451597;1;1721;0.929541;485828;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;36/1;1;    971272;    420382;0;1018;5522898;636985;1;1721;1.17539;541937;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
