domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   1184114;    193764;365827;1161;4668772;781988;1;1276;1.84706;423369;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;    457060;   1134187;306698;827;3674166;707046;1;1381;1.37289;515005;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    648367;    958789;129341;529;1578123;64279;1;1381;0.142928;449731;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    485078;    567556;537678;1406;6183289;964307;1;1470;1.95507;493234;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;   1175334;   1035537;284229;750;3674030;251040;1;1470;0.492984;509226;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;    626886;    437084;155658;804;1776748;259056;1;1470;0.49049;528158;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    635719;    734204;195593;965;2314470;425322;1;1470;0.842708;504708;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;    316104;    997118;457827;1634;5530990;648225;1;1470;1.33152;486831;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;     47649;    976084;558601;1290;6555144;523349;1;1470;1.12719;464297;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;    915484;   1137906;165806;637;2219966;230049;1;1470;0.468219;491328;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;     72419;    669854;530352;1509;6188684;797905;1;1470;1.66523;479156;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;   1121375;    296229;257314;939;2972476;408635;1;1470;0.830684;491926;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;    873937;   1184806;135547;895;1799018;264000;1;1470;0.494821;533526;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;    193531;    355264;127820;251;1753516;92911;1;1470;0.200927;462412;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;    147031;    633056;115065;544;2055676;251141;1;1470;0.559808;448620;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;    362446;    482465;186548;712;2280332;309612;1;1470;0.641705;482483;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;    770308;    417500;737243;1747;8930013;1203465;1;1721;2.63797;456209;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;    908330;    720411;129050;291;1791568;189964;1;1721;0.38416;494492;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   1038933;    130295;221765;838;3271273;565451;1;1721;1.09514;516327;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;    652846;    858648;268696;625;3457795;371968;1;1721;0.760454;489140;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    676969;    283827;563880;2077;6738959;956041;1;1721;1.90209;502626;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;    910826;    680529;199319;778;2574537;417078;1;1721;0.850777;490232;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;    515058;    865076;359432;1219;4602631;709660;1;1721;1.5117;469444;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;    348482;    108720;485606;1426;5713066;815534;1;1721;1.68833;483042;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;   1204965;    881288;191225;703;2391428;217815;1;1721;0.465757;467658;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;    907042;    523545;158819;508;2344892;416445;1;1721;0.852697;488386;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;    752817;    293040;341704;1042;4298020;692893;1;1721;1.41859;488437;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;    491779;    520998;507666;1493;6000959;946379;1;1721;1.89491;499433;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;   1009615;   1162067;145474;790;1605959;109108;1;1721;0.211446;516009;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;    701030;   1127091;405109;1086;4938716;776671;1;1721;1.60566;483710;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;    472756;    557148;52516;334;573047;102010;1;1721;0.202794;503023;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;    155407;    436004;101676;424;1196121;142844;1;1721;0.285798;499807;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;    456711;    311070;380520;1193;4546914;861232;1;1721;1.7965;479395;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;    442126;    981906;201739;981;2240093;324686;1;1721;0.680575;477076;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;    245025;    364323;287766;885;3395675;261212;1;1721;0.542984;481068;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;      5294;    359682;497906;1055;5856522;377282;1;1721;0.897488;420375;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;36/1;1;    971272;    420382;454529;1018;5522898;544450;1;1721;1.17176;464644;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;37/1;1;   1085133;    900426;525527;1649;6548895;1146781;1;1721;2.2932;500079;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;38/1;1;    428123;    175918;164463;509;2186889;315855;1;1721;0.652029;484418;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;39/1;1;    371133;    254310;338822;825;4059009;503126;1;1721;1.0808;465511;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;40/1;1;    145885;    494504;351426;936;4004045;653315;1;1721;1.34753;484824;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;41/1;1;   1033980;   1115849;253936;954;3386370;571066;1;1721;1.12693;506743;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;42/1;1;    678373;    779275;238222;984;2863584;401387;1;1721;0.805367;498390;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;43/1;1;   1204962;    531023;234648;817;2886868;460378;1;1721;0.936412;491641;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;44/1;1;   1004218;    821966;177842;1280;3036130;238410;1;1721;0.504525;472543;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;45/1;1;    675354;    512610;558235;1634;7038241;954381;1;1721;1.89525;503565;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;46/1;1;     86859;    596027;873518;2716;11007481;1200211;1;1729;2.67274;449057;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;47/1;1;    681418;    478587;221147;1149;2669597;464150;1;1729;0.910902;509550;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;48/1;1;    760397;    372153;402374;1933;4697477;721982;1;1729;1.53941;468998;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;49/1;1;     93813;    542722;495968;1384;5909708;606689;1;1729;1.33298;455137;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;50/1;1;    447380;    364700;339858;951;4094396;552303;1;1729;1.25663;439512;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;51/1;1;    247986;    234915;335229;564;4052621;211426;1;1729;0.48556;435427;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;52/1;1;    980356;    494879;326387;621;3778449;227781;1;1729;0.492848;462173;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
