domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1184114;193764;365785;1163;4668772;781983;0;955;1.52593;512463;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;457060;1134187;306581;827;3674166;707054;0;955;1.19607;591147;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;648367;958789;129851;529;1578123;64283;0;955;0.116399;552266;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;485078;567556;537613;1408;6183289;964295;0;1074;1.69811;567862;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1175334;1035537;284229;750;3674030;251041;0;1074;0.433083;579660;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;626886;437084;155699;804;1776748;259064;0;1074;0.437369;592323;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;635719;734204;195681;965;2314470;425307;0;1074;0.756706;562050;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;316104;997118;458606;1634;5530990;648212;0;1074;1.11508;581313;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;47649;976084;558601;1290;6555144;523346;0;1074;0.963067;543416;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;915484;1137906;165384;637;2219966;230048;0;1074;0.410554;560335;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;72419;669854;530353;1509;6188684;797909;0;1097;1.44742;551262;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1121375;296229;257576;939;2972476;408609;0;1097;0.720238;567325;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;873937;1184806;135445;898;1799018;264002;0;1097;0.46953;562269;mA*;? Unchecked;v1.6.0-12-g7668b80
