domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1184114;193764;0;1163;4668772;843126;0;996;1.35419;622606;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;457060;1134187;0;827;3674166;756931;0;1068;1.1057;684569;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;648367;958789;0;529;1578123;70033;0;1068;0.105735;662342;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;485078;567556;0;1408;6183289;979818;0;1113;1.40336;698196;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;1175334;1035537;0;750;3674030;297271;0;1113;0.417527;711980;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;626886;437084;0;804;1776748;308454;0;1113;0.454638;678461;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;635719;734204;0;965;2314470;457887;0;1113;0.653774;700375;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;316104;997118;0;1634;5530990;691412;0;1113;0.966686;715239;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;47649;976084;0;1290;6555144;697661;0;1113;1.01228;689195;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;915484;1137906;0;637;2219966;248305;0;1113;0.362489;685000;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;72419;669854;0;1509;6188684;851235;0;1132;1.24086;686004;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;1121375;296229;0;939;2972476;455365;0;1132;0.652913;697436;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;873937;1184806;0;898;1799018;281846;0;1132;0.362467;777577;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;193531;355264;0;251;1753516;108311;0;1132;0.164154;659813;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;147031;633056;0;545;2055676;276215;0;1132;0.419141;659002;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;362446;482465;0;712;2280332;347264;0;1132;0.53325;651222;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;770308;417500;0;1747;8930013;1204223;0;1258;1.78573;674358;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;908330;720411;0;291;1791568;228281;0;1132;0.322857;707066;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;1038933;130295;0;840;3271273;643934;0;1132;0.885607;727111;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;652846;858648;0;625;3457795;426551;0;1132;0.62083;687066;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;676969;283827;0;2077;6738959;1053982;0;1134;1.47652;713830;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;910826;680529;0;778;2574537;483164;0;1134;0.698788;691431;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;515058;865076;0;1219;4602631;800531;0;1134;1.27141;629643;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;348482;108720;0;1426;5713066;861287;0;1134;1.27219;677010;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1204965;881288;0;703;2391428;265231;0;1134;0.406414;652614;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;907042;523545;0;508;2344892;474322;0;1134;0.68684;690585;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;752817;293040;0;1044;4298020;732469;0;1134;1.11172;658863;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;491779;520998;0;1495;6000959;964048;0;1134;1.38336;696886;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;1009615;1162067;0;790;1605959;110549;0;1134;0.165384;668439;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;701030;1127091;0;1086;4938716;848109;0;1134;1.29092;656981;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;472756;557148;0;334;573047;109867;0;1134;0.151031;727446;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;155407;436004;0;424;1196121;150663;0;1134;0.223515;674063;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;456711;311070;0;1193;4546914;933778;0;1134;1.38279;675287;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;442126;981906;0;981;2240093;353061;0;1134;0.551465;640224;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;245025;364323;0;885;3395675;352553;0;1134;0.560127;629417;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;5294;359682;0;1055;5856522;451597;0;1134;0.762045;592612;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;971272;420382;0;1018;5522898;636985;0;1134;0.96337;661205;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;1085133;900426;0;1649;6548895;1161831;0;1205;1.66567;697516;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;428123;175918;0;509;2186889;344267;0;1205;0.505445;681117;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;371133;254310;0;825;4059009;547150;0;1205;0.784976;697027;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;145885;494504;0;937;4004045;697563;0;1205;0.969376;719600;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;1033980;1115849;0;954;3386370;635804;0;1205;0.882949;720092;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;678373;779275;0;984;2863584;432344;0;1205;0.620198;697107;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;1204962;531023;0;818;2886868;529917;0;1205;0.769811;688373;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;1004218;821966;0;1280;3036130;253476;0;1205;0.383855;660343;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;675354;512610;0;1634;7038241;1020215;0;1205;1.42527;715804;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;86859;596027;0;2718;11007481;1200310;0;1231;1.85999;645331;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;681418;478587;0;1149;2669597;504580;0;1231;0.71671;704022;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;760397;372153;0;1933;4697477;790048;0;1231;1.18458;666944;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;93813;542722;0;1384;5909708;665506;0;1231;1.0215;651500;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;447380;364700;0;951;4094396;662443;0;1231;0.955107;693580;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;247986;234915;0;564;4052621;223524;0;1231;0.364836;612670;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;980356;494879;0;621;3778449;236556;0;1231;0.371575;636630;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
