domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;185304;78004;0;769;879154;247318;0;579;0.812129;304530;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;75504;232776;0;504;772613;196181;0;531;0.577182;339895;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;164668;56964;0;611;724732;228308;0;550;0.672378;339553;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;185932;65044;0;727;792693;243870;0;598;0.730117;334015;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;260054;76690;0;681;894539;236340;0;598;0.67833;348415;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;208831;68322;0;461;590995;204417;0;598;0.635376;321726;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;171352;103936;0;538;564877;135720;0;598;0.398732;340379;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;67586;5493;0;741;851161;245132;0;598;0.701917;349232;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;240171;101021;0;492;655777;221062;0;598;0.652515;338785;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;8686;57324;0;652;824558;253460;0;598;0.724541;349822;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;70116;192949;0;581;857283;247301;0;598;0.702698;351931;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;62502;51055;0;286;536664;87785;0;598;0.23306;376663;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;259123;74258;0;674;1022546;236367;0;598;0.681765;346698;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;155875;101452;0;783;733551;189967;0;598;0.568861;333943;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;260290;94483;0;491;770131;212631;0;598;0.629964;337529;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;158172;231849;0;568;720536;173589;0;598;0.488878;355076;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;173317;97062;0;763;887371;218721;0;598;0.655019;333915;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;86025;11504;0;508;799108;150337;0;598;0.417375;360197;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;159691;41106;0;558;549131;111806;0;598;0.331586;337186;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;137601;92107;0;499;610821;225024;0;598;0.664802;338483;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;167163;120829;0;523;614611;162544;0;598;0.451601;359929;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;91132;107074;0;600;706705;146315;0;598;0.410795;356175;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;67727;19338;0;490;755485;130752;0;598;0.3672;356078;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;60442;259746;0;785;1198519;259689;0;790;0.765312;339324;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;103204;263077;0;556;797183;247759;0;629;0.715568;346241;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;207887;73900;0;557;629326;217362;0;629;0.649019;334909;K0;? Unchecked;v1.6.0-12-g7668b80
